puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
78,5.3,"['Gabriel Carrer', 'Reese Eveneshen']","['Reese Eveneshen', 'Gabriel Carrer']",-,80,Accion,for the sake of vicious,tt11014390
,5.5,Yûichirô Hirakawa,"['Posuka Demizu', 'Noriko GotôKaiu Shirai']",-,119,Accion,yakusoku no neverland,tt11027510
,8.2,Haruo Sotozaki,Koyoharu Gotouge,-,117,Accion,kimetsu no yaiba: mugen ressha-hen,tt11032374
,4.9,Savage Steve Holland,"['Jed Elinoff', 'Scott Thomas', 'Savage Steve Holland']","It's summer again, and everyone's favorite Junior Rescuers, The Flounders, are back at Tower 2. With the International Junior Rescue Championships headed to Southern California, the eyes of the entire planet are on Malibu Beach. But when Team USA falls victim to a bout of food po... Leer todo",68,Accion,malibu rescue: the next wave,tt11032990
,6.2,Radoslav Iliev,Teo Chepilov,"An American action star from the 90's is shooting a movie in Bulgaria, while three of his (now grown up) fans try to meet their childhood idol. After a series of bad decisions, the three fans are between the Russian mafia, huge amount of drugs, and huge debt. So they decide to ro... Leer todo",-,Accion,action,tt11041352
0,5.1,Ant Horasanli,"['Ant Horasanli', 'Ezra Sholeh']",-,91,Accion,rev,tt11056594
,6.5,"['Frederik Louis Hviid', 'Anders Ølholm']","['Anders Ølholm', 'Frederik Louis Hviid']",-,108,Accion,shorta,tt11081050
,-,"['Aaron Jacob Boys', 'Jacob P. Stout']",-,-,-,Accion,the yami's first emperor movie,tt11110770
80,8.4,Tamir x Singleton,Rick Mordecon,"This story follows Drew (played by emerging musical artist, Vyse), an aspiring young rapper as he is faced with the life struggles that led to his residence in a group home while balancing his job, untamed anger, family life and the pursuit of his musical dreams. Deacon, a music ... Leer todo",-,Accion,16 bars,tt11131480
,-,Si Shu-bu,-,-,90,Accion,lady detective shadow ii,tt11137992
,-,Mercedes Sierra,Mercedes Sierra,-,-,Accion,madre anoche en las trincheras,tt11148078
90,6.6,Takaharu Ozaki,"['Kumo KagyûNoboru Kannatsuki', 'Hideyuki Kurata']",-,85,Accion,goblin slayer: goblin's crown,tt11151982
,7.8,Mahendra Patel,Sanjay Prajapati,An upcoming Indian Gujarati-language action film directed by Mayur Kachhadiya and produced by Mahendra Patel under their banner of Ashadeep Cine Productions. It is the Biggest Action Entertainer film ever made in the history of Gujarati cinema. The film stars Abhimanyu Singh and ... Leer todo,-,Accion,g the film,tt11162502
,6.5,"['Teng Cheng', 'Li Wei']","['Qianying Xie', 'Zhonglin Xu']","Banished to the mortal world, a warrior has to slay a demon to return to the heavenly realm and become a god.",110,Accion,jiang ziya,tt11177804
,4.7,Ahmed Khaled,"['Mohamed Nasser Hamza', 'Tamer Ibrahim', 'Mahmood Jumaah']",The search for a lost treasure involves each of the heroes of this film in an atmosphere of suspense and excitement.,102,Accion,baghdad thief,tt11187484
,6.6,Venky Kudumula,"['Venky Kudumula', 'Gautam Siddharth']","Tired of being single, a smart-aleck meme creator has a chance to prove himself to the girl he loves when he is suddenly appointed CEO of her workplace.",150,Accion,bheeshma,tt11199356
22,5.4,Tarek Boudali,"['Tarek Boudali', 'Pierre Dudan', 'Grégory Boutboul']",-,87,Accion,30 jours max,tt11206302
,-,Richard Ryan,Richard Ryan,-,-,Accion,remington,tt11210084
,8.6,Raju Parsekar,-,"The story follows a woman's journey joining the police force, excelling in exams and training, becoming an IPS officer, and earning awards for bravery fighting Naxalites.",-,Accion,ahilya: zunj ekaki,tt11210110
,-,"['Andrew Sarcone', 'Casey Wooden']","['Jimi Jones', 'Corinne Kassor', 'Andrew Sarcone']",-,-,Accion,six: one by one,tt11212666
