puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
nan,-,Daniel Stemen,Cedric Gegel,A young farmer and his wife must save the farm from failure while navigating the combined pressure of a family legacy and a recent cancer diagnosis.,-,Drama,growing season,2021
54,-,Sylvain Pelissier,Sylvain Pelissier,-,-,Drama,instinct,2021
nan,7.9,Lucas Vasconcelos,Lucas Vasconcelos,A man questions himself about a political doctrine during his last birthday.,12,Drama,nada de bom acontece depois dos 30,2021
80,-,Irina Hall,Irina Hall,A mother of two loses her husband and gets caught in a chain of unfortunate events that leave her and her children on the street. She must find a way to bring her family back home while overcoming an internal struggle.,-,Drama,hidden,2021
nan,-,Adam Swain Ferguson,"['Adam Swain Ferguson', 'Caitlin R. Williams']",-,-,Drama,the exit interview,2021
nan,-,Brett Puglisi,Brett Puglisi,"When Edward, a determined father struggling with anger issues and a coke addiction, searches for his daughter at his druggie brother's crazy party, he must keep her from making the same mistakes he made and reconnect with them both.",10,Drama,playboy eddy,2021
nan,-,Grace Kim,Grace Kim,"A portrait of a woman's humdrum existence told from the perspective of a voyeuristic, unlikely love interest.",7,Drama,an interloper's kiss,2021
13,4.6,Shane Hartline,Shane Hartline,A young woman who loses her voice tries to pursue her dream of acting,13,Drama,cookie,2021
nan,7.3,Loïc Darses,"['Loïc Darses', 'Lucie Simone Tremblay']","-May 20, 1980. After his father's passing, Raymond Tremblay, tax investigator, begins to suspect the funeral home of fraudulent activities. Accompanied by his daughter, little Lucy, he decides to go investigate in his native Saguenay against the backdrop of a referendum on Quebec... Leer todo",29,Drama,"cercueil, tabarnak!",2021
nan,-,Alex Kamb,Alex Kamb,-,5,Drama,four strokes,2021
nan,-,Indra Villaseñor Amador,Indra Villaseñor Amador,"Grandmother, mother and daughter return to an old abandoned house that was once their home. Now the place is full of family ghosts and painful memories of the men who abandoned them. Confronting the past is the only way to heal their broken hearts.",20,Drama,bedtime story for ghosts,2021
71,-,"['Gerard Michael Mac', 'Carthy']","['Gerard Michael Mac', 'Carthy']","Moscow investment banker Vyacheslav is on his way to the grand opening of the Renaissance theatre, the three year restoration of which he has funded. His driver is ill and the city is in gridlock, so he calls a limousine service so that he can pick up his highly-strung actress gi... Leer todo",-,Drama,restoration,2021
nan,6.9,"['Maxime Caperan', 'Thomas Finkielkraut']","['Maxime Caperan', 'Thomas Finkielkraut']",-,15,Drama,pornstar,2021
nan,-,Joseph Guinan,Joseph Guinan,"ELVIS and PRISCILLA explain to everyone the Scientific factual locations on earth that match Biblical Scripture of ""PROOF OF GOD""",-,Drama,proof of god,2021
33,5.9,Rob Padilla Jr.,"['Marie D. Jones', 'Stephen King']",Events take an unexpected turn when a young woman attends her boyfriend's graduation party at his parents' home Adapted from the Stephen King short story.,17,Drama,graduation afternoon,2021
nan,-,Jenny Gärtner,Jenny Gärtner,-,-,Drama,aimbot,2021
nan,-,Ahmed Khaled Farag,Ahmed Khaled Farag,-,-,Drama,the woman who predicted her own death,2021
nan,-,Alexandre Bilardo,Alexandre Bilardo,"In a cabin on the edge of a forest, Karen, Keeper of the Hourglass, Master of Time, relives moments of her life and sends herself a last message through time.",14,Drama,le sablier,2021
nan,10.0,Samuel C. Morrison Jr.J. Branden Turner,J. Branden Turner,A war veteran's attempt to get past his decades-long pain of unrequited love begins to affect his perception of reality.,6,Drama,years,2021
nan,-,Rachna Suri,Paddy Campbell,"As a bloody conflict between rival drug gangs operating out of ice cream vans rages in '80s Glasgow, the limits of love and loyalty are tested.",15,Drama,mr whippy,2021
nan,-,Azadeh Nikzadeh,Azadeh Nikzadeh,The Girl sitting Here tackles the culture of sexual violence against women in the Middle East as we follow Bahar getting pushed to into a temporary marriage.,4,Drama,the girl sitting here,2021
nan,-,Jennifer Reeder,Jennifer Reeder,A young woman struggling with loss fakes a pregnancy and lies to the lesbian couple she is supposed to be surrogate for. The discovery of the dead body of a woman about her age helps her to cope.,13,Drama,forevering,2021
nan,10.0,Angela Matemotja,Lita Lopez,A grieving sister finds a ray of light amidst the darkness with the help of an unusual balloon.,-,Drama,the good balloon,2021
nan,-,Joel Ström,Joel Ström,-,-,Drama,the simplicity of life,2021
nan,-,Karin Lee,-,-,-,Drama,ts'ekoo cha ke: the girl with big feet,2021
