puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
26,4.2,Stuart St Paul,Stuart St Paul,"A Russian gang in the UK traffic Eastern Europeans then enslave them, the women to sex, the men to illegal fights. They cross a local businessman and a war escalates.",92,Accion,freight,2010
11,2.4,Joe Black,Joe Black,"1965 South Vietnam, two American Soldiers find themselves trapped in the Jungle with a War surrounding them. The only thing keeping them alive is the promises in their hearts they kept to their families - to return home at any cost. One Soldier, Private David M. Church awakes from being rendered unconscious to find all of his squad killed by the Vietcong. Three Days b... Leer todo",-,Accion,when soldiers cry,2010
86,4.7,William Wedig,"['Manny Perez', 'William Wedig']",An ex-thug and his son attempt to find a way to move past impossible circumstances to forge a bond that has been forever broken by the murder of the child's mother.,77,Accion,forged,2010
nan,7.1,"['Ben Budde', 'Kerstin Sellerberg']","['Ben Budde', 'Martin Hoyer', 'Thomas Walden']",-,105,Accion,die bielefeld verschwörung,2010
18,5.5,Kevin Smith,"['Robb Cullen', 'Mark Cullen']",-,107,Accion,cop out,2010
79,6.6,"['Adam Mc', 'Kay']","['Adam Mc', 'Kay', 'Chris Henchy']",-,107,Accion,the other guys,2010
74,5.7,"['Howard J. Ford', 'Jonathan Ford']","['Howard J. Ford', 'Jonathan Ford']","An American mercenary, the sole survivor of a plane crash, has to run the gauntlet across Africa, battling with the living dead.",105,Accion,the dead,2010
97,7.5,Wilson Yip,"['Tai-Lee Chan', 'Hiu-Yan Choi', 'David Tadman']",-,108,Accion,ip man 2,2010
41,5.1,Brendon O'Loughlin,"['Rishi Opel', 'Freddie Connor', 'Sheraiah Larcher']","The Baseline is the centre of the East London grime club scene and the queue regularly stretches around the block. Danny works on the door - breaking up fights and managing drunk kids. However, when he rescues Terry, the club owner and local gang leader, from a hitman, Danny is suddenly plunged deep into an underworld he had tried so hard to avoid. Danny is promoted t... Leer todo",96,Accion,baseline,2010
nan,5.2,"['Julio Bracho', 'Jorge Luquín']","['Julio Bracho', 'Catalina Maria Irwin', 'Monobloc']",A professional race car driver faces hardships when he switches teams and leaves his family.,89,Accion,desafío,2010
nan,7.4,Milan Luthria,"['Rajat Arora', 'Bhrigu Brinda', 'Aditi Mediratta']","As a smuggler rises to power in in 1970s Mumbai, a younger gangster seeks to overthrow him and a police officer is caught in the middle.",134,Accion,once upon a time in mumbaai,2010
-,4.7,Kantz,"['Kantz', 'Lei Mowatt']","A virus manufactured accidentally wipes out mankind leaving few survivors. The dead have returned to life and they're attacking the living. The virus has turned the infected humans into raging, savage cannibals. They roam the earth looking for human flesh to feed. The survivors do their best to lead a normal life in a violent and hostile world, when a stranger appears... Leer todo",82,Accion,project purgatory,2010
nan,5.2,Junji Sakamoto,Kikumi Yamagishi,A blind master swordsman attempts to lead a quiet life with his wife but he is provoked back into battle.,132,Accion,zatôichi: the last,2010
21,4.4,Gregory Lamberson,Gregory Lamberson,"In the wake of a ""dirty bomb"" attack, a New York City neighborhood known as ""Slime City"" has been evacuated, except for the homeless (""displaced refugees""). Four squatters searching for food in the ruins of the Zachary Devon Soup Kitchen (Jennifer Bihl, Kealan Patrick Burke, Debbie Rochon, Lee Perkins) discover a supply of Zachary Devon's Home Brewed Elixir and Himala... Leer todo",85,Accion,slime city massacre,2010
22,4.4,Chris Witherspoon,Chris Witherspoon,"A thirty something man who lives in a suburb just outside of Portland says goodbye to his beautiful and loving wife and heads into town. There he unintentionally provokes the wrath of a mysterious motorcyclist. The confrontation between the two, sets in motion a day long battle. Beginning in the form of harmless taunts then quickly escalating into something more serio... Leer todo",85,Accion,rage,2010
32,5.2,Jesse Warren,"['Jesse Warren', 'Mark Gantt']",-,93,Accion,the bannen way,2010
nan,6.3,John Vidor,"['Kala Alexander', 'Tito Fuego', 'John Vidor']","A reformed gambler searching for his ex-wife and daughter; an amateur private-eye he hires; an assassin on a mission, and; a recruiter of mixed-martial arts fighters. Their lives intertwine when they come to Hawaii to accomplish their respective objectives. Rich McShane has overcome issues which years earlier served to extricate him from his wife and kid. He now wants... Leer todo",-,Accion,six days in paradise,2010
