puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
nan,-,Julien A. Ansault,Julien A. Ansault,"Roar of engines, contact with metal, smell of oil and petrol fumes... This is the story of 2 champions of stock-car, Turtle and Teddy. They come from the same place, they are the best pilots of the country, and they hate each other. When comes the selection to the Biggest Race, both driven on by there instincts, victory is there only option... But there will be blood ... Leer todo",21,Accion,love race,2015
nan,-,Kyle Popovich,"['Marco Deufemia', 'Kyle Popovich']","The year is 2020. John's on a revenge streak for the death of his wife. Out to find what she protected most, he must target the man behind this, before the man targets him.",15,Accion,chrome steel,2015
44,7.9,Akiko Izumitani,"['Akiko Izumitani', 'Hunter Woo']","An undercover detective must infiltrate an Asian gang's compound and rescue his kidnapped fiancé. However, the reality is much different than he expected.",15,Accion,the other side,2015
77,5.4,Robin Schmidt,"['Robin Schmidt', 'Simon Wan']","DOG, the local triad 'enforcer' finds himself dying of boredom when he's ordered to keep a derelict building free from intruders but when a wily heroin addict tricks her way into staying he soon finds himself looking at violence in a very different way.",40,Accion,dog,2015
nan,6.0,Nesrin Bachir,Christian Skibinski,"In the year 1500 AD. A monk mets a peasant in the forest, who is relentlessly pursued by a knight. The peasant begs the monk for help to lead him out of the woods. The odd couple forms an alliance and a dangerous journey into the closest city begins, that seems to promise shelter for them.",15,Accion,die alraune und das schwert,2015
nan,-,Williams Naranjo,Williams Naranjo,A New Civilization' is a thrilling political drama inspired on Venezuela's controversial 2013 presidential elections.,15,Accion,a new civilization,2015
nan,8.2,Seung-Hyun Chong,Seung-Hyun Chong,"Taeshik, a 26 years old German-born boy of Korean descent is in turmoil. Despite his Korean upbringing he doesn`t quite identify with the Korean way to be his parents had in mind for him. He remains adrift. His only passion is boxing. But his adversary in the boxring also seems too much to deal with.",25,Accion,steh auf,2015
67,8.4,Uzair Sipra,"['Kashif Akhtar', 'Uzair Sipra', 'Iftikhar Ahmad Usmani']",The hidden awful life of Hong Kong Asylum Seekers and their untold shocking stories.,-,Accion,asylum,2015
nan,-,"['Royal Jackson', 'Brenda Perryman']","['Roy Mc', 'Mullen', 'Brenda Perryman', 'Jason Topp']",Cynical Detroit television news anchorman Michael Peters crosses an ill-fated path with destiny after voicing his views on the Trayvon Martin story.,18,Accion,in trayvon's footsteps,2015
nan,-,Jonathan Machado,Jonathan Machado,Society is undergoing great changes.,22,Accion,the shift rising,2015
nan,-,Mark Anthony Marez,Mark Anthony Marez,"After a Halloween party, Kathleen's prince charming becomes her worse nightmare.",5,Accion,ghost white,2015
-,-,John T. Connor,Chadwick Pelletier,"A man wakes up to find himself buried alive, then recounts his steps on how he got there.",11,Accion,boxed,2015
29,6.4,Ben Ramsey,Philip Daay,"With time winding down towards world-ending devastation, the fate of mankind rests in the hands of Interpol agent Samuel Tharpe.",30,Accion,black salt,2015
nan,4.1,Jack Hartnett,"['Jack Hartnett', 'Scott Levy']","Plagued with survivor's guilt, an Iraq war veteran turned mercenary stumbles upon a plot to sabotage America's energy independence. Fighting to free the demons in his head, he sets out to eradicate the traitors amongst us.",18,Accion,sovereign,2015
nan,-,Paul Joe Johny,"['Travis James Annabel', 'Paul Joe Johny']","A criminal couple who try to pull off a high-profile robbery - but when one partner tries to steal the glory for themselves, the whole plan is turned on its head and everything dominoes into complete chaos.",21,Accion,"run baby, run!",2015
-,8.8,Erin Brown Thomas,Jake Thomas,"When the love of his life threatens to go overseas, Stan, a shy daydreamer, must become the hero of his action movie fantasies to win her heart.",13,Accion,hotwire,2015
nan,6.9,Osokwe Tychicus Vasquez,"['Mayra Martinez', 'Osokwe Tychicus Vasquez']","One year after the events of Arkham City, Gotham City has found itself in a state of complete disarray. While newly appointed mayor, Quincy Sharp, seeks to capture the remaining inmates of Blackgate, John Blake, now donning the mantle of the Dark Knight, must contend with the diabolical Black Mask and his band of hired mercenaries - a struggle that will bring the youn... Leer todo",8,Accion,batman: arkham knight,2015
nan,-,Brady Brandwood,-,"A documentary on the heritage of Moonshine in rural North Georgia, with interesting and emotional details told about the lifestyle and techniques used to avoid getting caught by the 'Narks', as well as a first-hand look into the culture, risk, personal pride, and passion poured into the art. One touching and revealing scene at the end sums up the emotional human facto... Leer todo",13,Accion,moonshine heritage,2015
nan,8.7,Jordan Mears,Jordan Mears,"Raven, a vampire hunter who poses as a prostitute, has spent years searching for the vampire who killed her father when she was just a child. One night, after slaying another vampire, she is kidnapped by a group of people who reveal themselves to be fellow hunters. They require her assistance in finding and killing a deranged scientist turned vampire with plans to des... Leer todo",16,Accion,vampire-killing prostitute,2015
44,6.0,Samuel Jørgensen,"['Ian Fried', 'Samuel Jørgensen', 'Jeremy Pronk']","In the midst of a war between humans and sentient androids, a Delta Force team must battle a dangerous enemy to rescue the US President.",9,Accion,singularity,2015
nan,9.2,James Kingstone,"['James Kingstone', ""Tim O'Rourke"", 'Sean Ofm']","Mallory Costello wants to change her life. She auditions for ""Becoming Mr. Buyer"" a contest to demonstrate ones particular brand of sociopathy.",-,Accion,becoming mr. buyer,2015
-,7.6,Colin Riendeau,Colin Riendeau,"Jimmy unknowingly buys a prize winning Betta fish in a pet store and plunges into the electrifying and dangerous world of high stakes fish fighting complete with a gun, a kiss, and a kidnapping.",20,Accion,the fish,2015
86,8.0,David Sandberg,David Sandberg,"In 1985, Kung Fury, the toughest martial artist cop in Miami, goes back in time to kill the worst criminal of all time - Kung Führer, a.k.a. Adolf Hitler.",31,Accion,kung fury,2015
nan,-,"['Evelien Raps', 'Marc Raps']","['Evelien Raps', 'Marc Raps']","In the year 2045, the rulers of District 24 of The Netherlands have cut all connections to the outside world. Their Organization rules with an iron fist and their laws have taken a hard toll on the district's inhabitants. Until one day a young cleaning lady enters the Organization's headquarters to confront both those in power and the ghosts that haunt her own past.",19,Accion,de schoonmaakster,2015
nan,-,Puja Maewal,Puja Maewal,"Young Jaya survives gruesome gang life on Mumbai's unforgiving streets by posing as a boy. When she encounters a wealthy businessman who may be the father who abandoned her, she sets out to reclaim her identity.",19,Accion,jaya,2015
nan,-,Quantrelle King,Quantrelle King,"Set in the dirty suburban streets, three women go to unlikely lengths to get what they want.",-,Accion,the things we do,2015
85,7.6,J. Mackye Gruber,"['Georgia Gwynne Gruber', 'J. Mackye Gruber']","When a courier discovers the true nature of his job, he is given unexpected powers to make amends with startling consequences.",20,Accion,the courier,2015
100,-,Robert Rugan,Robert Rugan,A struggling street magician is given a magical book explaining ten simple steps to becoming a real magician.,10,Accion,abracadabra,2015
nan,-,Javier Urtasun,"['Gabriel Castro', 'Javier Urtasun']",-,-,Accion,happiness under the tree,2015
nan,-,Cengiz Dervis,"['Cengiz Dervis', 'Senol Dervis']","Two brothers, an item to acquire or a life and death decision to make, the clock is ticking.",9,Accion,brothers promise,2015
nan,-,-,Genia Nunez,-,-,Accion,overpowered,2015
