puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
nan,-,Will Storie,Jeremiah Budin,-,-,Comedia,country song,2015
nan,-,Jeremiah Budin,Jeremiah Budin,-,-,Comedia,podcast cube,2015
nan,-,Nasos Gatzoulis,"['Connor Lloyd Crews', 'Nasos Gatzoulis']",Three friends get into very intense fights in middle school until a very nasty accident happens.,11,Comedia,action kids,2015
nan,-,Matthew Rinker,"['Andrew Cardy', 'Raleigh Jones', 'Katie Knowles']",-,-,Comedia,office case,2015
nan,-,Joseph Yates,Joseph Yates,"The lead actor is stoned, the director has an obsessive crush on the actress, and this weird guy from Craigslist won't stop handing out his headshots. What could go wrong?",8,Comedia,jim's fry joint,2015
nan,-,Daniel Montanarini,-,-,6,Comedia,shamewich,2015
nan,-,Chris Principe,-,-,-,Comedia,poop shoes,2015
nan,-,"['Andrew Chapman', 'Mark Mc', 'Intyre']",Andrew Chapman,Two down and out fanboys have their ultimate fantasy come true. They get to LIVE in a STAR WARS Universe. Turns out it sounds a lot like Star Wars but isn't what they expected.,-,Comedia,bar wars,2015
-,-,Adam Pedersen,"['Steven Patoine', 'Adam Pedersen', 'Ryan Visser']",A young priest finds himself trapped in a woman's house after a long night of drinking and is torn between discovering how he ended up in her house.,7,Comedia,dear lord,2015
nan,-,Fabrizio Talavera Hentschel,Francisco Landa,-,-,Comedia,cancion de amor,2015
nan,-,Alicia Gracia,Alicia Gracia,-,9,Comedia,en transito,2015
86,-,-,"['Shane Cubis', 'Ashleigh Hanley']","After eight and a half years, today is Mike Pritchard's last day at Hunt Publishing. With magazine readership dwindling by the day, Mike has landed a much sought after job in the company's digital division. As is tradition, his co-workers make him a farewell card and collect money for a gift. Mike's farewell card is being passed around - but is anyone sad to see him g... Leer todo",7,Comedia,farewell,2015
nan,-,Carly Usdin,Jocelyn Guest,-,-,Comedia,too full to f***,2015
nan,-,Juan Carlos Salazar,Juan Carlos Salazar,A couple at a restaurant can't decide if it's a waiter or a waitress.,4,Comedia,la cuenta porfavor,2015
nan,-,-,Ekaitz Cruz,-,-,Comedia,o.k. correo,2015
nan,-,Charles Kudla,Charles Kudla,-,5,Comedia,seeing stephen,2015
nan,-,Lavene Gass,-,"Have you ever been lost in the throes of love? The best love is self-love. Consciously Unconscious explores love - the good, the bad and the ugly. Kendra Blake must overcome her fears of not being loved and throw herself full into her poetry writing. She deals with cheating, lying all while trying to express herself though the pen and the pad.",9,Comedia,consciously unconscious,2015
-,-,Alessandro Tamburini,"['Alessandro Tamburini', 'Ciro Zecca']",-,20,Comedia,camper,2015
nan,-,P.J. Kotze,P.J. Kotze,-,-,Comedia,ooms,2015
nan,-,Pablo González,Pablo González,Politics is the best way to consolidate a friendship in today's Spain.,-,Comedia,un plato y un vaso,2015
nan,-,Matthew Shapiro,Graham Beckett,-,-,Comedia,kobe,2015
nan,-,Daniel Riser,Eric Crepeau,"Sirious Business, a comedy about friendship and Siri: A raging gamer gets in a fight with his best friend via Siri, he must come to terms with the fact that he might just be an A-Hole.",-,Comedia,sirious business,2015
80,-,Indranil Banerjee,Indranil Banerjee,the chase is about the pursuit of a very well-planned pick pocketing incident that happens in a busy railway station in India.,6,Comedia,the chase,2015
nan,-,Andrew Kiker,Andrew Kiker,Cybershell slowly plays Sonikku adobenchâ (1998).,12,Comedia,#agds (awful games done slowly 2015: sonic adventure),2015
nan,-,"['Pawel Sarbinowski', 'Piotr Zukowski']",Pawel Sarbinowski,-,23,Comedia,malarz,2015
nan,-,-,"['Katie Hartman', 'Ben Jaeger-Thomas', 'Evan Kaufman']",-,42,Comedia,gypsy danger noir,2015
nan,-,Esteban Alfaro,"['Esteban Alfaro', 'Laura Camila Cortés', 'Francisco Mejía']",-,-,Comedia,chryzantéma,2015
nan,-,Michal Bernas,Michal Bernas,-,-,Comedia,johnny & mary,2015
nan,-,Joseph Péloquin-Hopfner,-,-,4,Comedia,deux gars s'essayent... à la pêche,2015
nan,9.0,Sélim Gribâa,Sélim Gribâa,"Hsan, an unemployed man in his fifties, has been looking for work for quite some time, but without success. On his wife's insistence, he decides to go and see Ammar, a local politician, to ask for help. Ammar agrees to find him a job under one condition: that he paints his house purple - the color of the ruling party, adding a splash of color amid the uncertaim of the... Leer todo",30,Comedia,loun el-barka,2015
nan,-,Travis Bain,Travis Bain,An arrogant photographer on a blind date experiences the meal from hell when he discovers that African tribal curses are not to be taken lightly.,8,Comedia,little nippers,2015
nan,-,-,-,Ver la información de la producción en IMDbPro,-,Comedia,future guy,2015
nan,-,Jamille van Wijngaarden,"['Joeri Kloppert', 'Jamille van Wijngaarden']",-,14,Comedia,the wild wild west,2015
nan,-,-,-,Ver la información de la producción en IMDbPro,-,Comedia,bambai nagariya,2015
nan,-,Wei Shen,Wei Shen,Woman trying to convince her long-absent husband that she's pregnant with the son of God.,3,Comedia,annunciation,2015
nan,-,Jade Joray Robbins,"['Jade Joray Robbins', 'Jrake Robbins']",-,14,Comedia,the morning ritual,2015
nan,-,Marvin Tolentino,Marvin Tolentino,-,6,Comedia,quiero ser como raditz,2015
43,-,Pepe Martínez,Pepe Martínez,-,-,Comedia,café,2015
nan,-,Marvin Tolentino,"['Joaquín Alvez', 'Javier Laorden', 'John Peña']",-,14,Comedia,test de cooper,2015
nan,-,Juniper Ymonde,Juniper Ymonde,A vampire named Draculalala walks around and does some questionable silly things.,5,Comedia,draculalala - to be continental,2015
nan,-,Orion Lyman,Orion Lyman,"Two men determined to create a film refuse to be held back by local bathhouse film restrictions, and instead set out to turn their own edit bay into a sauna of their own. Antics ensue.",6,Comedia,trapped in the edit bay,2015
nan,3.6,Dan Eckman,"['Dan Eckman', 'Meggie Mc', 'Fadden', 'D.C. Pierson']",-,-,Comedia,the boy who couldn't sleep and never had to,2015
nan,-,Tom Titulaer,Torgeir Blok,-,-,Comedia,onverwacht,2015
nan,-,Marina Moretti,"['Marina Moretti', 'Clara Zamith']","Cecília and Marcelo have a date to celebrate their two years anniversary. In a world where the internet says when, how and where people are, they struggle to be at the same bar at the same time.",25,Comedia,presente,2015
63,-,James Schuler,James Schuler,A disastrous job interview goes from bad to worse as this odd-couple becomes glued to each other.,4,Comedia,glue,2015
nan,-,Yujun Chen,Yujun Chen,-,4,Comedia,help me clean up,2015
24,-,Tameka Fox,"['Yujun Chen', 'Tameka Fox']",-,3,Comedia,the dilemma,2015
nan,-,James Schuler,James Schuler,"Roommates Red and Brown look forward to the ""awesomest getaway ever!"" when Brown insists they bring his really weird brother along. Red's not going for it.",4,Comedia,what about green?,2015
nan,-,Erik Boccio,Bob Harper,-,-,Comedia,homeboys: my first tag,2015
nan,-,Bob Harper,Bob Harper,-,-,Comedia,8 millimeter daydream,2015
nan,-,Michael J. Allen,Michael J. Allen,-,-,Comedia,3 guys in a room (talking about suicide),2015
nan,-,John Holleman,Emily Smith,-,-,Comedia,no-r,2015
nan,-,Manu Cabrera,Manu Cabrera,-,10,Comedia,tormenta de verano,2015
-,-,Nabila Rahmani,-,-,14,Comedia,desafio,2015
nan,-,"['Chris De', 'Witt']","['Chris De', 'Witt']",Two women find out that all ride shares are not created equal.,5,Comedia,guber: a redneck ride share,2015
nan,-,Sammy Bates,Kenny Bates,-,1,Comedia,high (mi)stakes,2015
nan,-,Rodrigo Durán,Rodrigo Durán,-,2,Comedia,mudanzas,2015
nan,-,"['Lorenzo Ci', 'Ruben Quasi']","['Lorenzo Ci', 'Esmeralda Elizalde', 'Laia Farrera']","In a Southern European, formerly industrial colony, an international group of politically active filmmakers is working on a documentary in order to discover more about the economical problems plaguing the continent.",27,Comedia,a colony,2015
-,-,-,-,Reparto principal,2,Comedia,movie night,2015
nan,-,Alberto Sastre,"['Manu Cabrera', 'Gemma Calatayud', 'Hector Cañizares']",-,-,Comedia,quién te viste y quién te ve,2015
-,-,Sam Fuhrer,Sam Fuhrer,-,-,Comedia,money shot,2015
nan,-,Adam Russell Vires,"['Andrew Brantley', 'Jeromy Ko', 'Ronnie Sang']",Two friends are in for the ride of their lives when a mysterious package arrives at their doorstep.,7,Comedia,the unwrappening,2015
nan,-,Joe Staehly,Allory Anderson,-,20,Comedia,high priority,2015
nan,-,Casey Nicholas Price,-,College students celebrate the season and the end of a semester at a house party.,-,Comedia,drunken personalities,2015
-,-,Jay Buim,"['Jay Buim', 'Rachel Gayle Webster']","Born to Love You is a musical portrait of a New Jersey dreamer who spends the day musing about his life's purpose or lack thereof. This short emerged from a collaboration with musical artist Nedelle Torrisi to feature her music in a short documentary-style music video. The concept of the music video was expanded to create this short film, which screened in New York at... Leer todo",11,Comedia,born to love you,2015
