actor,año_nacimiento,que_hace,conocido_por,lista premios
Jonathan Bray,2005.0,"['Reparto', 'Producción', 'Dirección']","['El método Williams (2021)', 'Castle (2009)', 'The Walkaround (2012)']",[]
Julia Christmas,,['Reparto'],[],
Julia Felts,,"['Reparto', 'Guion']",[],
Uri Thier,,"['Reparto', 'Cámara y electricidad']","['Foreign Letters (2012)', 'A Summer Rain (2009)']",
Kara Greenberg,,['Reparto'],[],
Marie-Anne Chazel,1951.0,"['Reparto', 'Guion', 'Dirección']","['Le père Noël est une ordure (1982)', 'Los visitantes (1993)', 'Los bronceados (1978)']","['César Awards, France']"
Athena Michaelides,,['Reparto'],[],
Marlon Kittel,1983.0,['Reparto'],"['Tormenta de verano (2004)', 'Die Wache (1994)', 'Mi mundo y yo (2001)']",[]
Cary Mosier,,"['Cámara y electricidad', 'Dirección', 'Reparto']",[],
José María Blanco,,"['Reparto', 'Guion', 'Dirección']",['Bueno y tierno como un ángel (1989)'],[]
Poly Reshef,,['Reparto'],[],[]
Shahruk Khan,,['Reparto'],[],
Paige Smith,,"['Reparto', 'Guion', 'Producción']","['This Is Us (2016)', 'Goliat (2016)']",['Wild Bunch Film Festival']
Tat-Ming Cheung,1964.0,"['Reparto', 'Guion', 'Producción']","['Mak lo yan (2019)', 'Maai hung paak yan (2001)', 'Yan gan sik seung (1996)']",['Hong Kong Film Awards']
Lorenz Mathys,,['Reparto'],[],
Özlem Savas,1969.0,['Reparto'],"['Cinayet Masasi (1996)', 'Çember (2017)', 'Salincakta Üç Kisi (1988)']",
Cristina Del Basso,1987.0,['Reparto'],"['Cosi fan tutte (2008)', 'Una cella in due (2011)']",[]
Veronica Afflerbach,1992.0,['Reparto'],['Escuela de rock (2003)'],[]
Matt Barnish,,['Reparto'],[],
George Wallace,1917.0,['Reparto'],"['Planeta prohibido (1956)', 'Minority Report (2002)', 'Radar Men from the Moon (1952)']",[]
Dylan Bond,,"['Producción', 'Música', 'Reparto']",[],
Valentina Akiyama,,['Reparto'],[],
Javier Albalá,1969.0,"['Reparto', 'Dirección', 'Guion']","['Actriz (2017)', 'Pelotas (2009)', 'Chevrolet (1997)']",['Spanish Actors Union']
Mark Potts,1984.0,"['Dirección', 'Reparto', 'Guion']",['Simmons on Vinyl (2009)'],[]
Dominique Lamure,,['Reparto'],[],
Ingrid Söderblom,,['Reparto'],[],
Jason Shaffette,,['Reparto'],[],
Ravi Kale,,['Reparto'],[],['The Buddha International Film Festival']
Madison Elliott,,"['Reparto', 'Maquillaje', 'Arte']",[],
Sorel Carradine,1985.0,"['Reparto', 'Producción', 'Equipos adicionales']","['El buen doctor (2011)', 'Runaways (2017)', 'Southland (2009)']",[]
Anthony Craig,,['Reparto'],[],
Victor Battle,,"['Dirección de casting', 'Reparto', 'Producción']",[],
Molly Cheek,1950.0,"['Reparto', 'Producción', 'Dirección']","['American Pie (1999)', 'American Pie 2 (2001)', 'Arrástrame al infierno (2009)']",[]
Cynthia Werner,,['Reparto'],[],
Luis Cenzual,,"['Reparto', 'Producción']",[],
Bru Muller,,"['Reparto', 'Dirección', 'Producción']","['El futuro (2011)', 'Diwa (2018)']","['Catalina Film Festival', 'Asians On Film Festival', 'DOC LA']"
Matt Offerman,,"['Reparto', 'Arte']",[],[]
Ana Stojanovska,1989.0,"['Reparto', 'Equipos adicionales']","['Od denes za utre (2010)', 'Insajder (2017)', 'Radius (2023)']",
Roxana Guttman,,['Reparto'],[],[]
Babette Bombshell,,"['Reparto', 'Maquillaje', 'Efectos especiales']",['Model Hunger (2016)'],[]
Frank Payne,1962.0,"['Reparto', 'Dirección', 'Producción']","['Big News TV (2010)', 'Jack y las judías mágicas (2009)']",[]
Tristam Summers,,"['Efectos visuales', 'Reparto', 'Cámara y electricidad']",['Nación cautiva (2019)'],['Orlando Film Festival']
Bérengère Krief,,"['Reparto', 'Guion']",[],[]
Nicole Blume,,"['Reparto', 'Dirección', 'Guion']",[],
Eliza Dushku,1980.0,"['Reparto', 'Producción', 'Equipo ejecutivo']","['A por todas (2000)', 'Jay y Bob el Silencioso contraatacan (2001)']",[]
Carla Gugino,1971.0,"['Reparto', 'Producción', 'Banda sonora']","['Watchmen (2009)', 'El juego de Gerald (2017)', 'American Gangster (2007)']","['Capri, Hollywood', 'Fright Meter Awards', 'iHorror Awards']"
