actor,año_nacimiento,que_hace,conocido_por,lista premios
Petra Wright,,"['Reparto', 'Equipos adicionales', 'Casting']","['John Wick 4 (2023)', 'El pacto (2012)']",['Method Fest']
Lennie James,1965.0,"['Reparto', 'Guion', 'Producción']","['The Walking Dead (2010)', 'Colombiana (2011)']","['BAFTA Awards', 'Method Fest', 'Royal Television Society, UK', 'CinEuphoria Awards', 'Online Film & Television Association', 'Clarence Derwent Awards']"
Jason Ertola,,"['Reparto', 'Producción']",[],
Claudia Renner,,['Reparto'],[],
David Miller,1909.0,"['Dirección', 'Guion', 'Producción']","['La historia de Esther Costello (1957)', 'La bella desconocida (1954)', 'Tigres del aire (1942)']",[]
Ladislav Hampl,1981.0,['Reparto'],"['La casa de la esperanza (2017)', 'Ordinace v ruzové zahrade 2 (2008)']",
Adel Karam,1972.0,['Reparto'],"['El insulto (2017)', 'Broken Keys (2021)', 'Caramel (2007)']","['The Lebanese Movie Awards', 'FEST International Film Festival']"
Vernon Dobtcheff,1934.0,"['Reparto', 'Guion', 'Equipos adicionales']","['La espía que me amó (1977)', 'Indiana Jones y la última cruzada (1989)', 'El violinista en el tejado (1971)']","['Italian National Syndicate of Film Journalists', 'Hollywood Blood Horror Festival']"
Isabelle Jonieaux,,"['Maquillaje', 'Reparto']",[],
Mark Griffin Jr.,,"['Especialistas', 'Reparto', 'Efectos especiales']","['Spotless (2005)', 'Looking for Sunday (2006)']",
Wojciech Zielinski,1979.0,['Reparto'],"['Sluzby specjalne (2014)', 'Czlowiek z magicznym pudelkiem (2017)', 'El bautizo (2010)']",
Clémentine Castel,,"['Dirección de la segunda unidad o asistencia a dirección', 'Casting', 'Dirección de producción']",[],
Dana Emberson,1972.0,"['Reparto', 'Especialistas']","['Mentes criminales (2005)', 'True Love (2007)', 'Dunsmore (2003)']",
Barbara Roland,,['Reparto'],[],
Frank Rigter,1960.0,['Reparto'],"['Van Speijk (2006)', 'Onderweg naar morgen (1994)']",
Russell Porter,,"['Reparto', 'Equipos adicionales']","['Cómo perder la cabeza (2001)', 'Harsh Realm (1999)', 'El hombre en el castillo (2015)']",
Callum Blue,1977.0,"['Reparto', 'Dirección', 'Guion']","['Princesa por sorpresa 2 (2004)', 'Colombiana (2011)', 'Tan muertos como yo (2003)']",[]
Jefferson da Fonseca,,['Reparto'],[],
Maeve McCaffrey,,['Reparto'],[],
Megan Holloway,1993.0,"['Reparto', 'Equipos adicionales']","['Polar Express (2004)', 'Ocean Girl (1994)', 'Mental (2012)']",
Valerie Campanella,,['Reparto'],[],
Jamie Harding,1979.0,['Reparto'],"['United 93 (2006)', 'El doble del diablo (2011)', 'Rain Shadow (2007)']",[]
