,0,1,2
485,Xiong ba si hai,2000,
486,Bhad No Dikaro,2000,
487,Kaigaikenkaretuden,2000,
488,Asene Kunuba Hiyat,2000,
489,Russkie detki 2,2000,
490,Ajker Dapot,2000,
491,Beyond Pardon,2000,
492,Janer Jaan,2000,
493,Oshantir Agun,2000,
494,Palta Hamla: The Counter Attack,2000,
495,Kasam Banglar Mati,2000,
496,The Silent Force,2001,
497,The Lord of the Rings: The Fellowship of the Ring,2001,91
498,Blazin',2001,
499,Driven,2001,14
500,Planet of the Apes,2001,44
501,The Ghost,2001,12
502,Lara Croft: Tomb Raider,2001,20
503,Camouflage,2001,17
504,The Demo Crew,2001,
505,Behind Enemy Lines,2001,37
506,Final Solution,2001,100
507,Jurassic Park III,2001,49
508,Net Worth,2001,
509,Vidocq,2001,65
510,Final Fantasy: The Spirits Within,2001,44
511,15 Minutes,2001,32
512,Osmosis Jones,2001,56
513,A Knight's Tale,2001,59
514,Dragon and the Hawk,2001,0
515,The Order,2001,13
516,Texas Rangers,2001,2
517,Ticker,2001,18
518,Vital Parts,2001,
519,Birds of Passage,2001,40
520,Lo Foo Ji,2001,
521,Longshot,2001,50
522,Joy Ride,2001,74
523,"Was tun, wenn's brennt?",2001,
524,The Mummy Returns,2001,46
525,Jason X,2001,19
526,The Rage Within,2001,
527,Fall,2001,79
528,Pearl Harbor,2001,24
529,Soulkeeper,2001,35
530,Route 666,2001,27
531,Enemy at the Gates,2001,54
532,Die grüne Wolke,2001,
533,Ablaze,2001,35
534,Critical Mass,2001,12
535,Antitrust,2001,24
536,Black Friday,2001,65
537,Mint Condition,2001,
538,On the Borderline,2001,11
539,Livvakterna,2001,
540,Final Payback,2001,
541,G.O.D.,2001,
542,One 2 Ka 4,2001,
543,The Score,2001,73
544,Posljednja volja,2001,
545,The 51st State,2001,25
546,Ghosts of Mars,2001,
547,Two Coyotes,2001,
548,Spy Kids,2001,93
549,Jarrett,2001,
550,Atlantis: The Lost Empire,2001,49
551,High Explosive,2001,
552,BattleQueen 2020,2001,
553,Crocodile Dundee in Los Angeles,2001,11
554,The Fast and the Furious,2001,54
555,3000 Miles to Graceland,2001,15
556,Sakura taisen: Katsudou shashin,2001,
557,Brotherhood of the Wolf,2001,73
558,Devi Putrudu,2001,
559,Double Take,2001,12
560,Replicant,2001,27
561,Cats & Dogs,2001,53
562,Out of Line,2001,17
563,Exit Wounds,2001,33
564,Going Back,2001,50
565,American Outlaws,2001,13
566,To End All Wars,2001,62
567,The Elite,2001,0
568,When Strangers Appear,2001,57
569,Swordfish,2001,26
570,Tmavomodrý svet,2001,
571,Firetrap,2001,12
572,Queen's Messenger,2001,
573,The Enemy,2001,8
574,Extremedays,2001,
575,Rage of the Innocents,2001,
576,The Forsaken,2001,7
577,False Start,2001,-
578,Who Is Cletis Tout?,2001,23
579,Auf Herz und Nieren,2001,
580,The Musketeer,2001,11
581,Ignition,2001,5
582,Down,2001,20
583,Crash Point Zero,2001,25
584,Rat Race,2001,45
585,New Alcatraz,2001,20
586,Asoka,2001,100
587,Spot,2001,
588,Double Deception,2001,
589,Ethirum Puthirum,2001,
590,High Heels and Low Lifes,2001,20
591,Pledge of Innocence,2001,
592,Mrugaraaju,2001,
593,L.A.P.D.: To Protect and to Serve,2001,8
594,All the Queen's Men,2001,7
595,Heist,2001,30
596,No Turning Back,2001,60
597,The Fourth Angel,2001,28
598,The Point Men,2001,36
599,Dead Awake,2001,42
600,Young Blades,2001,
601,Road to Redemption,2001,62
602,Beneath Loch Ness,2001,10
603,Torrente 2: Misión en Marbella,2001,
604,Pootie Tang,2001,27
605,Knight Club,2001,37
606,Outlaw,2001,21
607,Kuen sun,2001,
608,Carman: The Champion,2001,11
609,Thug Life,2001,40
610,Mindstorm,2001,4
611,Megiddo: The Omega Code 2,2001,
612,Let's Get Skase,2001,
613,Chinna,2001,
614,Black Hawk Down,2001,77
615,Scenes of the Crime,2001,50
616,Dubai,2001,
617,Blood and Guts,2001,
618,Zoe,2001,80
619,Firestorm Rising,2001,
620,Extreme Honor,2001,
621,Gangland,2001,63
622,Extreme Force,2001,
623,The Breed,2001,32
624,The One,2001,13
625,Officer,2001,
626,Home Invaders,2001,
627,Rain,2001,85
628,The Pharaoh Project,2001,
629,Facing the Enemy,2001,29
630,Yamakasi - Les samouraïs des temps modernes,2001,63
631,Avalon,2001,83
632,Rush Hour 2,2001,51
633,Last Run,2001,13
634,Dakota Bound,2001,
635,She,2001,-
636,Spy Game,2001,
637,Jimmy Neutron: Boy Genius,2001,74
638,Pressure Point,2001,-
639,Donzi: The Legend,2001,
640,Manhattan Midnight,2001,
641,Kiss of the Dragon,2001,52
642,Soul Assassin,2001,13
643,MacArthur Park,2001,80
644,The Last Castle,2001,52
645,Heinrich der Säger,2001,
646,Gerak Khas the Movie,2001,
647,Hidden Agenda,2001,30
648,Dead Dogs Lie,2001,
649,Farz,2001,
650,Arachnid,2001,12
651,The Accidental Spy,2001,25
652,Focus,2001,56
653,Aashiq,2001,56
654,Feindliche Übernahme - althan.com,2001,
655,High Point,2001,
656,Sezon na leszcza,2001,
657,Snowbound,2001,17
658,Musa,2001,
659,Sohasevolt Glória,2001,
660,Snipers,2001,
661,Cowboy Bebop: Tengoku no tobira,2001,
662,Witness to a Kill,2001,38
663,Rain,2001,85
664,Amazons and Gladiators,2001,32
665,Electric Dragon 80.000 V,2001,
666,So weit die Füße tragen,2001,
667,Posers,2001,23
668,Snipes,2001,25
669,Title to Murder,2001,
670,Randam Bhavam,2001,-
671,"Gojira, Mosura, Kingu Gidorâ: Daikaijû sôkôgeki",2001,
672,Ajnabee,2001,51
673,Jeetenge Hum,2001,
674,42K,2001,57
675,Wasabi,2001,43
676,Chingoo,2001,
677,Spiders II: Breeding Ground,2001,
678,Chung chong ging chaat,2001,
679,Fighting Chance,2001,
680,Killer Tattoo,2001,62
681,No te fallaré,2001,
682,Mole,2001,
683,Lay It Down,2001,
684,Shadow Glories,2001,50
685,Come and Take It Day,2001,
686,Gadar: Ek Prem Katha,2001,82
687,Netto Perde Sua Alma,2001,
688,Flying Virus,2001,9
689,V avguste 44-go,2001,
690,Novela Novela,2001,
691,The Arena,2001,
692,Biohazardous,2001,33
693,Vadí nevadí,2001,
694,Paagalpan,2001,-
695,Requiem,2001,
696,Chuen zik saat sau,2001,
697,Maniacts,2001,60
698,An dou,2001,
699,Vengeance,2001,81
700,Hanuman Junction,2001,-
701,Shadow Fury,2001,25
702,Orey Thammudu,2001,
703,Onnaman,2001,
704,Shaolin Soccer,2001,89
705,Pisutoru opera,2001,
706,Shu shan zheng zhuan,2001,
707,The Homecoming of Jimmy Whitecloud,2001,
708,Ye shou zhi tong,2001,
709,Praja,2001,
710,Guardian,2001,44
711,Pokémon 4Ever,2001,16
712,Chuet sik san tau,2001,
713,Aks,2001,-
714,Serafín: La película,2001,
715,Instinct to Kill,2001,40
716,Suriyothai,2001,51
717,Nayak: The Real Hero,2001,70
718,Pleasures of Sin,2001,
719,Burû rimein,2001,
720,Apsolutnih sto,2001,
721,Last Ride,2001,93
722,Tail Sting,2001,35
723,O Grilo Feliz,2001,
724,Yeh Raaste Hain Pyaar Ke,2001,
725,Red Shadow: Akakage,2001,
726,Aalavandhan,2001,-
727,Kamo,2001,
728,2002,2001,65
729,Lajja,2001,65
730,MOB 2025,2001,
731,La loi du cochon,2001,
732,Girafot,2001,
733,Cornman: American Vegetable Hero,2001,-
734,Killerdeului suda,2001,
735,Wo de Ye man Tong xue,2001,
736,Zou tou you lu,2001,
737,Heugsuseon,2001,67
738,Jopog manura,2001,
739,Gwangsigog,2001,
740,Koroshiya 1,2001,
741,Xtreme Warriors,2001,
742,High Adventure,2001,
743,"Death, Deceit & Destiny Aboard the Orient Express",2001,-
744,Beautiful Bounty,2001,
745,Kyo Kii... Main Jhuth Nahin Bolta,2001,
746,Virtualna stvarnost,2001,
747,Ravanaprabhu,2001,
748,Ittefaq,2001,91
749,Mananabas,2001,
750,Senza filtro,2001,
751,Elixir,2001,
752,Tragedi,2001,
753,Card Sharks,2001,
754,The Deadly Disciple,2001,
755,Indian,2001,62
756,Igeoshi beobida,2001,
757,Hwasango,2001,
758,Deewaanapan,2001,
759,Nada x perder,2001,
760,Kameleon,2001,
761,Doosaboo ilchae,2001,
762,Reich,2001,
763,Deli Yürek: Bumerang Cehennemi,2001,
764,Super Star,2001,
765,Sanggano't 'sanggago,2001,
766,Thirty Minutes or Less,2001,
767,Sunstorm,2001,18
768,Family,2001,44
769,Bat sei ching mai,2001,
770,Lei yan sha xing zhi ba bai long bing tuan,2001,
771,Shadow Mask,2001,
772,Mindstorm,2001,4
773,Blood of the Samurai,2001,12
774,Doraemon: Nobita to tsubasa no yûsha tachi,2001,
775,The Barrio Murders,2001,
776,Marie,2001,
777,Jesus Christ Vampire Hunter,2001,80
778,The Princess Blade,2001,57
779,Yamashita: The Tiger's Treasure,2001,
780,Enjo-kôsai bokumetsu undô,2001,
781,Palco & Hirsch,2001,
782,Maai hung paak yan,2001,
783,Chui hau tung dip,2001,
784,Süd. Grenze,2001,
785,Dei seung chui keung,2001,
786,Kasam,2001,
787,Him gok,2001,
788,Saivar Thirumeni,2001,
789,Rakshasa Rajavu,2001,
790,WXIII: Patlabor the Movie 3,2001,50
791,Akasthile Paravakal,2001,-
792,Nagaravadhu,2001,-
793,Sharja To Sharja,2001,-
794,Death Game,2001,
795,Inuyasha - Toki wo koeru omoi,2001,
796,Fort Kochi,2001,
797,Krai Thong,2001,
798,Nariman,2001,
799,Bagong buwan,2001,
800,Undercover X,2001,
801,Majunu,2001,
802,Lethal Force,2001,60
803,Akumyô,2001,
804,Out Kold,2001,17
805,Total Aikido,2001,
806,Alas-dose,2001,
807,Buhay kamao,2001,-
808,Hostage,2001,35
809,Onsehan,2001,
810,Yee ng chuen suet,2001,
811,Shark Hunter,2001,25
812,Santo: Infraterrestre,2001,
813,Jack of Diamonds,2001,43
814,"Ooops, teka lang... Diskarte ko 'to!",2001,
815,Sukedachi-ya Sukeroku,2001,
816,Mosafere rey,2001,
817,El error del comandante,2001,
818,Hindi sisiw ang kalaban mo,2001,
819,Cheonsamong,2001,
820,Di kita ma-reach,2001,
821,Avgat,2001,
822,Bagansya,2001,
823,Super Idol,2001,
824,Tortura Selvagem - A Grade,2001,
825,Carta alas... Huwag ka nang humirit,2001,
826,Apoy sa karagatan,2001,-
827,Parehas ang laban,2001,
828,Basagan ng mukha,2001,-
829,Dudurugin ko pati buto mo,2001,
830,Bala ko... bahala sa 'yo,2001,
831,Lakas at pag-ibig,2001,-
832,"Bukas, babaha ng dugo",2001,-
833,"Masikip na ang mundo mo, Labrador",2001,-
834,Kaaway hanggang hukay,2001,
835,Hayup sa sex appeal,2001,
836,Pilak,2001,
837,Tusong Twosome,2001,
838,"Dugong aso: Mabuting kaibigan, masamang kaaway",2001,
839,Huli sa akto,2001,
840,Uubusin ko ang bala sa katawan mo,2001,
841,Panabla,2001,
842,Aagos ang dugo,2001,
843,Goal Club,2001,
844,"Amasona.... kumakasa, pumuputok",2001,
845,Sgt. Maderazo: Bayad na pati kaluluwa mo,2001,
846,Mahal kita... Kahit sino ka pa!,2001,
847,Booking Sonata,2001,
848,Mano mano 2: Ubusan ng lakas,2001,
849,Oras na para lumaban,2001,
850,Onmyôji,2001,47
851,Neighborhood Watch,2001,31
852,Siu nin cheong dong,2001,
853,Recoil,2001,27
854,Fallen Dreams,2001,
855,Reluctant Hitman,2001,-
856,Sharp and Sudden,2001,
857,Lvinaya dolya,2001,
858,The Ultimate Game,2001,40
859,Udar Lotosa,2001,
860,Barbaarit menneisyydestä,2001,
861,Yingxiong Zheng Chengong,2001,
862,"The Good, the Bad & the Innocent",2001,
863,Desired Effect,2001,
864,Dhill,2001,
865,Nandha,2001,54
866,Master,2001,75
867,El soplo de la muerte,2001,
868,El cholo,2001,
869,Zana,2001,100
870,La dama de la Texana 1000x,2001,
871,Orquidea sangrienta,2001,
872,Initial D: Third Stage,2001,82
873,Troy & Julie,2001,
874,Desafiando a la mafia,2001,
875,Las dos caras del señor,2001,
876,Tres fronteras,2001,
877,Ya la barranca pario,2001,
878,El árbol de la horca,2001,
879,El agricultor,2001,
880,3 metros bajo tierra,2001,
881,Me gusta pegarle al polvo,2001,
882,Galleros de tierra caliente,2001,
883,Revolver cachas de oro,2001,
884,Perros de pelea,2001,
885,El patrón,2001,
886,Hadh: Life on the Edge of Death,2001,-
887,El rey de los coleaderos,2001,
888,Cactus,2001,100
889,El ángel de mi guarda,2001,
890,Songshan xiao yao gu,2001,
