,0,1,2,3,4,5,6
120,7.2,Karel van Bellingen,Karel van Bellingen,"London, 2084. An interstellar migration cop's fateful encounter with a young prostitute leads to a violent shot at redemption.",-,the leap,2015
121,-,"['Patrick Michael', 'Canino Keith Romine']",['Patrick Michael Canino'],A story of two professional hired killers who are face with a moral dilemma when executing a job. They are two brothers who do not share the same allegiance. One is loyal to his family and the other is loyal to the code he lives his life by. There is love and there is betrayal.,-,accept not,2015
122,-,"['Hilton Belle', 'Romane Orlando Robb']",Hilton Belle,A secret government agency consisting of a group of highly trained females band together to fight the various forces that endanger mankind.,-,the sisterhood,2015
123,-,Mick Dow,Mick Dow,Footsteps always sound louder when they're behind you.,-,shortcut,2015
124,-,Eric Ramos,"['Jeff Mc', 'Comsey Eric Ramos']","November 11th, 2041. Nobody celebrates Veteran's Day anymore. Victor Sheppard is an old man in a new world of peace and equality. Millions of people died and the world is a better place, but nobody remembers why. Haunted by his dead comrades. Now in his old, he fights an internal war of guilt, unsure if he will find peace in a warless world.",-,american terror,2015
125,,,,,,fuerza,2015
126,9.3,Todd Sklar,Todd Sklar,-,-,let's do it,2015
127,-,['Matthew Byori Mann'],"['Chris Gearhart', 'Chris Gearheart', 'Matthew Byori Mann']","Caught in a war between humans and vampires, Special Officer Michael Phoenix uncovers a conspiracy that forces him to question on which side should he fight.",-,twiceborn,2015
128,-,['Julien A Ansault'],['Julien A Ansault'],"Roar of engines, contact with metal, smell of oil and petrol fumes... This is the story of 2 champions of stock-car, Turtle and Teddy. They come from the same place, they are the best pilots of the country, and they hate each other. When comes the selection to the Biggest Race, both driven on by there instincts, victory is there only option... But there will be blood ... Leer todo",-,love race,2015
129,,,,,,chrome steel,2015
130,6.7,Roberto Minervini,"['Roberto Minervini', 'Denise Ping', 'Lee Diego Romero']","In an invisible territory at the margins of society lives a wounded community who face the threat of being forgotten by political institutions and having their rights as citizens trampled. Disarmed veterans, taciturn adolescents, drug addicts trying to escape addiction through love; ex-special forces soldiers still at war with the world; floundering young women and fu... Leer todo",-,the other side,2015
131,,,,,,dog,2015
132,6.0,Nesrin Bachir,Christian Skibinski,"In the year 1500 AD. A monk mets a peasant in the forest, who is relentlessly pursued by a knight. The peasant begs the monk for help to lead him out of the woods. The odd couple forms an alliance and a dangerous journey into the closest city begins, that seems to promise shelter for them.",-,die alraune und das schwert,2015
133,-,Williams Naranjo,Williams Naranjo,A New Civilization' is a thrilling political drama inspired on Venezuela's controversial 2013 presidential elections.,-,a new civilization,2015
134,8.2,['Seung Hyun Chong'],['Seung Hyun Chong'],"Taeshik, a 26 years old German-born boy of Korean descent is in turmoil. Despite his Korean upbringing he doesn`t quite identify with the Korean way to be his parents had in mind for him. He remains adrift. His only passion is boxing. But his adversary in the boxring also seems too much to deal with.",-,steh auf,2015
135,6.0,-,-,Two men are trapped together under the threat of extradition in a London embassy.,-,asylum,2015
136,-,"['Royal Jackson', 'Brenda Perryman']","['Roy Mc', 'Mullen Brenda', 'Perryman Jason Topp']",Cynical Detroit television news anchorman Michael Peters crosses an ill-fated path with destiny after voicing his views on the Trayvon Martin story.,-,in trayvon's footsteps,2015
137,-,Jonathan Machado,Jonathan Machado,Society is undergoing great changes.,-,the shift rising,2015
138,-,['Mark Anthony Marez'],['Mark Anthony Marez'],"After a Halloween party, Kathleen's prince charming becomes her worse nightmare.",-,ghost white,2015
139,-,['John T Connor'],Chadwick Pelletier,"A man wakes up to find himself buried alive, then recounts his steps on how he got there.",-,boxed,2015
140,6.4,Ben Ramsey,Philip Daay,"With time winding down towards world-ending devastation, the fate of mankind rests in the hands of Interpol agent Samuel Tharpe.",-,black salt,2015
141,4.1,Jack Hartnett,"['Jack Hartnett', 'Scott Levy']","Plagued with survivor's guilt, an Iraq war veteran turned mercenary stumbles upon a plot to sabotage America's energy independence. Fighting to free the demons in his head, he sets out to eradicate the traitors amongst us.",-,sovereign,2015
