puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
7.2,Petr Zelenka,Petr Zelenka,"A black comedy based on director Petr Zelenka's successful stage play. It treats a simple theme: Jana has left Petr (Ivan Trojan), a boy 'who's not doing very well at the moment,' and he wants her back. In a film in which love seems like madness (and vice versa) many bizarre things rise to the surface. Petr's mother (Nina Divísková) sends blood to Chechnya. His father... Leer todo",100,Comedia,príbehy obycejného sílenství,2005
4.3,Jeff Arch,"['Jeff Arch', 'Dave Barry']",Pulitzer Prize-winning columnist Dave Barry's novel attempts to follow the stereotypes of male behavoir from the stone ages to modern times.,83,Comedia,complete guide to guys,2005
2.4,Zdenek Troska,"['Zdenek Troska', 'Evzen Gogela']","The third in a series of clamorous comedies about the everyday tribulations of the inhabitants of the Southern Bohemian town of Kamenákov. A Romany family moves into Police Chief Pepa's (Václav Vydra) neighborhood. Leo Khon (Josef Laufer), the richest man in Kamenákov, owns a soccer team made of friends and acquaintances. They play miserably, however, managing to lose... Leer todo",101,Comedia,kamenák 3,2005
3.2,Elemér Ragályi,"['András Kern', 'Elemér Ragályi']",A homeless Hungarian finds out he inherited a luxury hotel in Greece.,-,Comedia,csudafilm,2005
6.4,Michael Mabbott,Michael Mabbott,"A faux documentary about the rise and fall of fictional country singer Guy Terrifico, featuring some legendary real-life performers.",86,Comedia,the life and hard times of guy terrifico,2005
5.3,Guillaume Pixie,Guillaume Pixie,"A man who works as a theater prompter and can't always tell the difference between fantasy and reality, asks a girl on a date and then writes a successful script based on said date without telling her.",79,Comedia,le souffleur,2005
7.1,Dagur Kári,"['Dagur Kári', 'Rune Schjøtt']",A young man spurs romance and helps his friend and himself go through times and struggles of their ordinary life in Denmark.,109,Comedia,voksne mennesker,2005
6.8,Martin Koolhoven,Mieke de Jong,"Bonnie, a nine-year-old single child, is part of a family of three living in the Netherlands. They have a love of elephants, passed on by Bonnie's grandfather's grandfather who worked on a game reserve in Africa, and Bonnie feels that she instinctively does things like an elephant as a result. Her single mother, Lis, is bi-polar and at times spends days on end without... Leer todo",83,Comedia,knetter,2005
7.0,Cédric Klapisch,Cédric Klapisch,-,125,Comedia,les poupées russes,2005
4.6,"[""Yvan Le Bolloc'h"", 'Bruno Solo']","['Alexandre Apergis', 'Jérôme Apergis', 'Alain Kappauf']","At the bottom of the Veule, an imaginary French province, the Geugène Electro Stim, a medium-sized enterprise, survives thanks to the manufacture and sale of the C14, an old but inexpensive electrical stimulation device.",102,Comedia,espace détente,2005
