puntuacion_imdb,direccion,guion,argumento,genero,duracion,titulo,anio
6.2,Mika Kaurismäki,"['Daniela Hakulinen', 'Tuomas Kyrö']",The Grump goes to search for a second-hand car in Germany to replace his broken one but ends up settling accounts with his past.,109,Comedia,mielensäpahoittaja eskorttia etsimässä,2022
5.2,Sebastian Niemann,"['Dirk Ahner', 'Sebastian Niemann']",-,88,Comedia,hui buh und das hexenschloss,2022
8.3,Joshua Courtade,Joshua Courtade,"Carrie and Jess, a couple of rad besties, take a vacation to the Beach Planet, but their plans are interrupted when they encounter the heinous Space Queen, who's using a portable black hole to usurp power from the President of Earth.",78,Comedia,carrie and jess save the universe!,2022
-,Tuzarae Aroze,Kennedy Drysdale,"Three friends find themselves £250, 000 in debt on the same day. They partake in comical escapades, which entangle them with a Ukrainian Gangster, the Police and a Homosexual Hitman. As the debts soar their friendship is tested.",70,Comedia,chasing paper aka get rich,2022
5.0,Luke Covert,"['Samantha Oty', 'Luke Covert', 'Matas Kiskis']","With all of his friends headed to a party on the last night of 1999, Austin takes an extra shift at the Quality Mart gas station and is forced to look down the barrel of what it means to graduate high school and face a future stuck in his middle of nowhere hometown. He's got one ... Leer todo",94,Comedia,turbo cola,2022
-,"['Elijah Keyi', 'Brian North']","['Abraham Keyi', 'Brian North']",A story about a young girl that travels around the world as a refugee and her collection of stories that she hears along the way.,-,Comedia,we all laugh,2022
5.2,Rudolf Havlik,-,Romance love story about female president who's trying to experience a glimpse of a normal life.,-,Comedia,prezidentka,2022
6.3,Adam Rybanský,"['Lukás Csicsely', 'Adam Rybanský']","When a villager is injured by a car at a party, firefighter Brona is immediately convinced that it is an attack perpetrated by an ""Arab"". His colleague Standa sees things differently. A laconic film that explores the causes of racism.",85,Comedia,kdyby radsi horelo,2022
6.4,Ed Herzog,"['Stefan Betz', 'Ed Herzog']",Provincial police officer Eberhofer has to save the gambling addict Lotto Otto from collecting money and clarify the murder of his mother.,97,Comedia,guglhupfgeschwader,2022
4.5,Jesús Font,José Pérez Quintero,-,87,Comedia,hollyblood,2022
-,Mike Goodreau,Mike Goodreau,"""Labor Day"" is a spoof on a multitude of horror movies. Two years after the events of ""Arbor Day,"" a production company has come to town to make a movie about serial killer Marvin Sullivan. Once they begin, mayhem ensues.",100,Comedia,labor day,2022
6.3,Alessio Maria Federici,Martino Coli,-,105,Comedia,4 metà,2022
-,Ethan Maniquis,"['Tristan Desechenes', 'Ethan Maniquis', 'Junior Rosario']","A couple go to a vacation villa with their parents to plan their wedding, then drink a lemonade adulterated with psychotropic drugs that they found in the fridge.",-,Comedia,lemonade,2022
7.6,"['Masanori Uetaka', 'Kôdai Kakimoto']",Yuniko Ayana,"After Poppin'Party, Roselia, and RAISE A SUILEN's successful concert at the Budokan, Kasumi and the others, who have left a lingering sound on the stage of their dreams, are approached by a mysterious woman. Their next stage is - overseas?",70,Comedia,bang dream! poppin'dream!,2022
6.3,Wanuri Kahiu,April Prosser,-,110,Comedia,look both ways,2022
-,Constantine254,Constantine254,Rikka and Kakashi embark on a journey through the worlds of the metaverse in search of a forgotten meme.,-,Comedia,vrchat the movie,2022
-,-,-,-,-,Comedia,my alien girlfriend 2,2022
5.1,John Hamburg,John Hamburg,-,101,Comedia,me time,2022
6.7,Nicolas Giraud,"['Nicolas Giraud', 'Stéphane Cabel']","An aeronautical engineer at Ariane Espace, Jim has devoted himself for years to a secret project: building his own rocket and accomplishing the first manned space flight as an amateur. But to realize his dream, he must learn to share it.",110,Comedia,l'astronaute,2022
5.1,Ángeles Reiné,Antonio PrietoÁngeles Reiné,-,86,Comedia,héroes de barrio,2022
-,Bernardo Quesney,"['Diego Ayala', 'Simon Sobo']",-,-,Comedia,historia y geografía,2022
6.5,Delphine Lehericey,Delphine Lehericey,"After his wife dies, a 75 year old retiree has to put up with the intrusion into his idle life of other family members.",84,Comedia,last dance,2022
