,puntuacion_imdb,direccion,guion,argumento,duracion,titulo,anio;;;;;
"70,4.6,Catrine Telle,Beate Grimsrud,""Denise plays football, though she is near sighted, and suddenly she gets a ball in her face, and her glasses break. She wakes up in hospital she is double sighted."",81,ballen i øyet,2000";;;;;
71,5.6,Eric Blakeney,Eric Blakeney,An undercover agent relies on the support of an unstable therapy group while working a sting operation.,101,gun shy,2000;;;;;
"72,6.3,""['Neil La', 'Bute']"",""['John C. Richards', 'James Flamberg']"",-,110,nurse betty,2000";;;;;
"73,4.6,Tracy Alexson,Tracy Alexson,""Sarah and Ryan were a great couple. They had their fun together, but the man's fear of commitment pushed the woman away. Yet the situation between them isn't over because Sarah is pregnant and she's trying to find ways to hide this news from Ryan and everyone else - except her best friend, who probably won't be of much help in this matter."",90,labor pains,2000";;;;;
"74,3.1,Neil Mandt,""['Mark Twain', 'Gregory Poppen']"",-,91,the million dollar kid,2000";;;;;
75,-,Bryan Snyder,Bryan Snyder,-,102,naked with loons,2000;;;;;
76,-,-,-,Reparto principal,103,l.a.,2000;;;;;
77,6.2,John Waters,John Waters,-,87,cecil b. demented,2000;;;;;
"78,4.6,Billy Milionis,Jeff Bollow,-,-,""6,000 miles from hollywood"",2000";;;;;
79,4.4,Peter M. Cohen,Peter M. Cohen,-,82,whipped,2000;;;;;
"80,7.4,Thom Steinhoff,Tony Winters,""A thirty-something avowed bachelor from Los Angeles invites a jazz singer that he is barely acquainted with, to accompany him to Detroit for his father's retirement celebration."",108,retiring tatiana,2000";;;;;
81,6.5,Gil Brenton,Gil Brenton,A beautiful woman comes between a father and son.,79,just for the time being,2000;;;;;
"82,6.3,Keenen Ivory Wayans,""['Shawn Wayans', 'Marlon Wayans', 'Buddy Johnson']"",-,88,scary movie,2000";;;;;
"83,4.1,Clinton Smith,""['Clinton Smith', 'Peter Buckmaster', """"Anthony O'Connor""""]"",""This edgy Australian film stars an ensemble cast headed up by pop superstar Kylie Minogue, David Field, and Simon Lyndon. Various characters interact under strange circumstances, calling to mind movies such as GO and PULP FICTION."",97,sample people,2000";;;;;
"84,5.2,""['Peter Askin', 'Douglas Mc', 'Grath']"",""['Peter Askin', 'Douglas Mc', 'Grath']"",-,95,company man,2000";;;;;
85,6.2,Terence Gross,Terence Gross,A chef (Toni Collette) seeks reconciliation with her brother (Daniel Craig) by helping him run a decaying resort and health spa.,98,hotel splendide,2000;;;;;
"86,6.2,Eric Bross,""['Tim Garrick', 'Scott Russell']"",Lives spiral out of control when four friends cover up a murder.,90,stranger than fiction,2000";;;;;
"87,7.6,Fatih Akin,Fatih Akin,""A young, insecure teacher embarks on a journey through Europe to Turkey, where he wants to see a woman again whom he believes to be his fate."",99,im juli,2000";;;;;
"88,5.3,Martin Edwards,Martin Edwards,""Marisa has never achieved the success of her mother, a famous figure in the art world. And that's led her on a monumental search for new artistic outlets (as well as quite a few hours spent on the therapist's couch). But when she meets Paul, a shy neighbor who's having the same problems, it could be love at first sight. Or maybe just a case of misery loving a little c... Leer todo"",95,all the wrong places,2000";;;;;
"89,3.9,Steven Nevius,""['India Allen', 'Khara Bromiley']"",""Danger, deceit and dust. The Wild West of 1886 is no place for a woman, but it's the perfect place for The Rowdy Girls, fabulous females fighting for fortune and freedom on the frontier."",90,the rowdy girls,2000";;;;;
"90,5.6,Adam Collis,""['Randall Jahnson', 'Russell De', 'Grazier']"",""A comedy that takes place over twenty-four hours on the Sunset Strip, in 1972."",90,sunset strip,2000";;;;;
"91,5.3,Stephen Lennhoff,Michael Jones,""John (Paul Blackthorne), lonely and living in London, unexpectedly meets outlandish druggie skinhead Byron (Ian Henderson), and suddenly, John's life turns to wacky. When Byron takes him to Boys Galore, a gay escort agency, John is introduced to wealthy American Bad Daddy (Angus MacInnes), who hires John on the spot. But the hovering presence of a strange and sinister... Leer todo"",98,rhythm & blues,2000";;;;;
92,7.4,-,Tom Sawyer,A lonely computer wiz creates a robot with human-like intelligence. They will influence and teach each other as their lives spin out of control.,91,the strange case of señor computer,2000;;;;;
93,3.7,John Shepphird,Robert Easter,A law clerk juggles romance and work while tracking down the owner of an art gallery in order to settle a claim.,-,just sue me,2000;;;;;
"94,5.1,Lewis Furey,""['Pascal Arnold', 'Lewis Furey', 'George F. Walker']"",""A killer is loose and the mayor's head happens to be missing. Various ghetto misfits stomp through dreams, lust, and delusions, some trying to find the truth, some trying to hide it, others not knowing what's going on at all."",90,rats and rabbits,2000";;;;;
