,0,1,2,3,4,5,6
1360,-,Bud Roberts,Bud Roberts,Butcher Bation embarks on his first adventure delivering an impassioned soliloquy expounding the virtues of proper meat tenderization.,3,butcher bation,butcher bation
1361,5.5,Kat Coiro,Jenny Mollen,A dark comedy about accidentally kidnapping your ex-boyfriend's new girlfriend.,10,kidnapping caitlynn,kidnapping caitlynn
1362,-,Bud Roberts,Bud Roberts,"In his second adventure, Butcher Bation must overcome almost insurmountable odds to keep his business afloat when a disagreeable customer visits his shop.",5,butcher bation's flesh emporium,butcher bation's flesh emporium
1363,7.7,"['Paul De', 'Nigris']",Steve Briscoe,"Gunfighter Wild Bill is haunted by dreams in which he faces a soulless menace out for vengeance. As Bill is driven to share his nightly terrors with other cowboys in the firelight, their reactions prove to be enlightening and humorous.",8,cowboy dreams,cowboy dreams
1364,-,Addison Bhuyan,Addison Bhuyan,"One quiet morning, a middle-class black family is confronted with the use of the N-word.",7,the end of the n-word,the end of the n-word
1365,8.2,Ann Finnegan,Ann Finnegan,-,-,how to train your pet,how to train your pet
1366,7.8,Vincent Gargiulo,Vincent Gargiulo,"Throughout the last 50 years, penguins have been making experimental & avant-garde films. These films are just now getting the recognition they deserve via the 'Mondo Penguin' organization set up by Dr. Charles Heathrow. Our documentary chronicles briefly the history of penguin experimental film and the steps Heathrow is putting through to get people to notice. We tal... Leer todo",4,mondo penguin,mondo penguin
1367,-,Victor Martin,"['Fabian Martin', 'Victor Martin']","What happens in TJ, stays in TJ. That's the rule that applies to Rene and Jesús, two lifelong friends returning home from a confusing and tequila-fueled night at Chorizo Joe's, a Tijuana bar. Self-professed latin-lover Rene and his trouble-making, anti-authority best bud Jesús have only three things keeping them from their homes in Los Angeles: one intimidating U.S. b... Leer todo",21,what would jesús do?,what would jesús do?
1368,-,Hillary Andujar,Hillary Andujar,A hard-working caterer delivers dinner to a secluded mansion and finds himself surrounded by a group of wealthy young killers. He tries to appease the irrational snobs with his gourmet dishes before he ends up like the decapitated pizza delivery guy on the dining room floor.,9,the caterer,the caterer
1369,-,Rene Alberta,Rene Alberta,A wife tries to spice up her love life with the aid of a self-help tape.,5,dream date,dream date
1370,7.8,Nathan Fleet,"['Nathan Fleet', 'Derek Dwyer', 'Marty Fleet']","An acoustic air guitarist into folk music is sitting on his front stoop playing. He is challenged into an air guitar duel by the guy who lives directly across the street who is an electric air guitarist into rock music. The electric air guitarist's girlfriend and a young boy passing by on his bicycle watch the duel. With each guitar lick, the duel steps up a notch. Fi... Leer todo",8,air knob,air knob
1371,9.6,Raphael Stephens,Raphael Stephens,-,13,double time and a half,double time and a half
1372,7.0,"['Brad De', 'Marea']","['Brad De', 'Marea']","On a cold Saturday afternoon, as day gives way to night, industrial carpet salesman Emery Long prepares for his first date with the sales department's receptionist, Della. Della used to date Emery's closest co-worker and friend, Ted Pinkenton, who has never gotten over her. Emery has planned the perfect evening, but soon realizes things might not turn out as he imagin... Leer todo",14,an evening with emery long,an evening with emery long
1373,8.2,"['Jessica Sue Burstein', 'Robbie Norris']","['Jessica Sue Burstein', 'Robbie Norris']","After their mutual friends cancel at the last second, two couples that have never met survive an unforgettable evening of embarrassing moments, inappropriate behavior and hidden agendas.",16,abbie cancelled,abbie cancelled
1374,-,Jason C. Sting,Jason C. Sting,"A young man 'Him' is in a loving relationship with 'Her', the only problem is they just can't get any sleep.",8,twilight tango,twilight tango
1375,6.3,Corrie Chen,Corrie Chen,"A pregnant Chinese woman and her over confident Chinese husband, both trying hard to be ""Australian"", set off for Sydney by car and discover that distance is not confined to the landscape.",13,happy country,happy country
1376,-,Avery Kidd Waddell,Avery Kidd Waddell,The story of a young girl telling the story of how her father put himself at great personal risk so that she could be here. Its the story of a man who sacrifices himself for everybody else.,29,n.c.b.s,n.c.b.s
1377,-,"['Anna Bolt', 'Meghan Maureen Mc', 'Donough']","['Meghan Maureen Mc', 'Donough']","Todd and Sue, a couple comfortable with themselves and their two year relationship, go to a restaurant to have lunch. Ordering lunch isn't always as easy as it seems. The simple question ""what are you going to get?"", begins the unraveling of unspoken issues. As the debate on what to order progresses, so does the insecurity of their relationship. Ultimately, it's never... Leer todo",6,the burger,the burger
