puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
-,"['Gavin Mc', 'Donnell']","['Gavin Mc', 'Donnell', 'Tim Mc', 'Donnell']",A hustler on the run and desperate takes one last job to pay off his debt to a psychotic kingpin. But all is not as it seems in a dog eat dog world.,15,Accion,dog eat dog,2015
-,"['Ben Adler', 'Carter Baker']",Ben Adler,"Jim is a hit man looking to get out of the game. He is tasked with taking the bosses kid, Tyler, on a job with him, in order to teach him a thing or two.",17,Accion,at the bottom of everything,2015
-,Mauro Blanco,Mauro Blanco,"Upon regaining consciousness, tainted with blood on her face, Katja, an FBI agent, realizes she was running for her life, after investigating a Russian spy ring. She can't trust anyone, not even the FBI. While trying to put the pieces of the past together, she's cornered into facing two powerful figures and their henchmen. Fear, betrayal and espionage become the last ... Leer todo",18,Accion,crossing shadows,2015
-,Van Dickranian,"['Arshag Dickranian', 'Van Dickranian']",An errand boy with unrealistic dreams gets more than what he asks for from the mob.,-,Accion,kill to live,2015
-,Jennifer Jordan,"['David Garver', 'Jennifer Jordan']","The Walking Shadow of Danny O'Shea In the shady and unforgiving world of International crime syndicates men are paid to kill with impunity on a whim. After years of toiling in theater as an underpaid actor, trying to please audiences by acting like someone he was not, Danny O'Shea has found salvation in the seedy underworld of Hit Men for hire. By accessing his most t... Leer todo",28,Accion,the walking shadow of danny o'shea,2015
5.2,"['Ryan Unicomb', 'Jordan Bailey']","['Jordan Bailey', 'Ryan Unicomb']","The rise and fall of the worlds first superhero, Guardian.",15,Accion,gifted,2015
-,Jacob Crumbley,Jacob Crumbley,Two young boys find themselves entangled in a notorious drug gangs' affairs after they witness a robbery gone wrong in their trailer park.,15,Accion,look twice,2015
-,Cole Daniel Hills,Cole Daniel Hills,"A zombie meets Ben. They become very close friends, until a new threat comes - the Crows.",25,Accion,dead inside,2015
-,D.G. Balazs,"['D.G. Balazs', 'Lynn Spidell']","Have you ever gone into a store to make a purchase, only to be accosted by a Clerk that seemed to be there for no other reason than to royally screw up your day?",14,Accion,dark noir,2015
4.4,Philippe Joly,Philippe Joly,"When the news that the head of the feared Russian organized crime, the Vori v Zakone (Thieves in Law), died in a ferry crash in Hong Kong, reaches his second in command in Moscow, Alexander Orlov rushes to Hong Kong to meet with Hu Wong, the son of the Dragon's head, in order to renegotiate the future collaboration with the Triads in the region. He soon discovers tha... Leer todo",-,Accion,vor,2015
-,Francisco Escobar,Paul Nandzik,"By the time the uninfected survivors of the zombie apocalypse start to rebuild their lives, their zombie foes evolve into clever and seemingly immortal enemies who not only use guns and set traps, but take slaves as well.",-,Accion,after the infection,2015
8.1,Akkim Lee,Akkim Lee,Simone (Sissy) is an everyday type of girl...who is learning to be a mixed martial artist. And her first full contact fight will prove to be the challenge of her life.,21,Accion,what it takes,2015
9.0,Yuri Alves,Yuri Alves,"Dane thought he left his demons and his drug addiction behind him, but his first day out of prison challenges both his promise to go clean and his very survival.",13,Accion,exit road,2015
8.9,Jake Thomas Armbruster,Jake Thomas Armbruster,"A godly man has everything taken from him, left questioning his faith and integrity, retaliation seems to be the only way to ease the Animus.",12,Accion,animus,2015
-,Dan Liu,"['Mc', 'Kay Stewart']","The ""Jets"" chase the ""Sharks"" over a fence and land in... a warehouse! With swords in their hands. And Deadmau5 controls them all!",9,Accion,west side swordy,2015
-,Joe Pavlo,"['Stuart Barr', 'Andy Mackie']","What if 'Downsizing' was taken literally? A bloody, funny, short action flick exploring that Work, not War is Hell.",12,Accion,downsizer,2015
-,Lanlin Wong,"['Clark Koelsch', 'Lanlin Wong']","Three Marines out on a recon mission in the Iraq desert in 2006, find themselves in a morale dilemma that leads them to a power struggle between protocol, survival, and morality.",20,Accion,domino 21,2015
6.7,Teddy Cecil,Teddy Cecil,One worker sparks a revolution when he attempts to break free of his dystopian underworld.,20,Accion,helio,2015
6.5,"['Jamie Stanton', 'Liam Tate']","['Jamie Stanton', 'Liam Tate']","Delivering justice, one innocent bystander at a time.",14,Accion,isaac and quincy,2015
-,Paul Amstone,Paul Amstone,"Garrick Harland has a near death experience that allows him to see ghosts. but there is just one problem, he can't help the spirits he sees. And a new visitor aims to change that.",10,Accion,seeing ghosts,2015
7.2,Karel van Bellingen,Karel van Bellingen,"London, 2084. An interstellar migration cop's fateful encounter with a young prostitute leads to a violent shot at redemption.",30,Accion,the leap,2015
-,"['Patrick Michael Canino', 'Keith Romine']",Patrick Michael Canino,A story of two professional hired killers who are face with a moral dilemma when executing a job. They are two brothers who do not share the same allegiance. One is loyal to his family and the other is loyal to the code he lives his life by. There is love and there is betrayal.,12,Accion,accept not,2015
-,"['Hilton Belle', 'Romane Orlando Robb']",Hilton Belle,A secret government agency consisting of a group of highly trained females band together to fight the various forces that endanger mankind.,-,Accion,the sisterhood,2015
-,Mick Dow,Mick Dow,Footsteps always sound louder when they're behind you.,3,Accion,shortcut,2015
-,Eric Ramos,"['Jeff Mc', 'Comsey', 'Eric Ramos']","November 11th, 2041. Nobody celebrates Veteran's Day anymore. Victor Sheppard is an old man in a new world of peace and equality. Millions of people died and the world is a better place, but nobody remembers why. Haunted by his dead comrades. Now in his old, he fights an internal war of guilt, unsure if he will find peace in a warless world.",30,Accion,american terror,2015
-,Ralph Henriquez,Ralph Henriquez,"A young woman's strength, power and courage are the only things standing between Earth's survival...or its annihilation!",9,Accion,fuerza,2015
9.3,Todd Sklar,Todd Sklar,-,10,Accion,let's do it,2015
-,Matthew Byori Mann,"['Chris Gearhart', 'Chris Gearheart', 'Matthew Byori Mann']","Caught in a war between humans and vampires, Special Officer Michael Phoenix uncovers a conspiracy that forces him to question on which side should he fight.",14,Accion,twiceborn,2015
-,Julien A. Ansault,Julien A. Ansault,"Roar of engines, contact with metal, smell of oil and petrol fumes... This is the story of 2 champions of stock-car, Turtle and Teddy. They come from the same place, they are the best pilots of the country, and they hate each other. When comes the selection to the Biggest Race, both driven on by there instincts, victory is there only option... But there will be blood ... Leer todo",21,Accion,love race,2015
-,Kyle Popovich,"['Marco Deufemia', 'Kyle Popovich']","The year is 2020. John's on a revenge streak for the death of his wife. Out to find what she protected most, he must target the man behind this, before the man targets him.",15,Accion,chrome steel,2015
7.9,Akiko Izumitani,"['Akiko Izumitani', 'Hunter Woo']","An undercover detective must infiltrate an Asian gang's compound and rescue his kidnapped fiancé. However, the reality is much different than he expected.",15,Accion,the other side,2015
5.4,Robin Schmidt,"['Robin Schmidt', 'Simon Wan']","DOG, the local triad 'enforcer' finds himself dying of boredom when he's ordered to keep a derelict building free from intruders but when a wily heroin addict tricks her way into staying he soon finds himself looking at violence in a very different way.",40,Accion,dog,2015
6.0,Nesrin Bachir,Christian Skibinski,"In the year 1500 AD. A monk mets a peasant in the forest, who is relentlessly pursued by a knight. The peasant begs the monk for help to lead him out of the woods. The odd couple forms an alliance and a dangerous journey into the closest city begins, that seems to promise shelter for them.",15,Accion,die alraune und das schwert,2015
-,Williams Naranjo,Williams Naranjo,A New Civilization' is a thrilling political drama inspired on Venezuela's controversial 2013 presidential elections.,15,Accion,a new civilization,2015
8.2,Seung-Hyun Chong,Seung-Hyun Chong,"Taeshik, a 26 years old German-born boy of Korean descent is in turmoil. Despite his Korean upbringing he doesn`t quite identify with the Korean way to be his parents had in mind for him. He remains adrift. His only passion is boxing. But his adversary in the boxring also seems too much to deal with.",25,Accion,steh auf,2015
8.4,Uzair Sipra,"['Kashif Akhtar', 'Uzair Sipra', 'Iftikhar Ahmad Usmani']",The hidden awful life of Hong Kong Asylum Seekers and their untold shocking stories.,-,Accion,asylum,2015
-,"['Royal Jackson', 'Brenda Perryman']","['Roy Mc', 'Mullen', 'Brenda Perryman', 'Jason Topp']",Cynical Detroit television news anchorman Michael Peters crosses an ill-fated path with destiny after voicing his views on the Trayvon Martin story.,18,Accion,in trayvon's footsteps,2015
-,Jonathan Machado,Jonathan Machado,Society is undergoing great changes.,22,Accion,the shift rising,2015
-,Mark Anthony Marez,Mark Anthony Marez,"After a Halloween party, Kathleen's prince charming becomes her worse nightmare.",5,Accion,ghost white,2015
-,John T. Connor,Chadwick Pelletier,"A man wakes up to find himself buried alive, then recounts his steps on how he got there.",11,Accion,boxed,2015
6.4,Ben Ramsey,Philip Daay,"With time winding down towards world-ending devastation, the fate of mankind rests in the hands of Interpol agent Samuel Tharpe.",30,Accion,black salt,2015
4.1,Jack Hartnett,"['Jack Hartnett', 'Scott Levy']","Plagued with survivor's guilt, an Iraq war veteran turned mercenary stumbles upon a plot to sabotage America's energy independence. Fighting to free the demons in his head, he sets out to eradicate the traitors amongst us.",18,Accion,sovereign,2015
-,Paul Joe Johny,"['Travis James Annabel', 'Paul Joe Johny']","A criminal couple who try to pull off a high-profile robbery - but when one partner tries to steal the glory for themselves, the whole plan is turned on its head and everything dominoes into complete chaos.",21,Accion,"run baby, run!",2015
8.8,Erin Brown Thomas,Jake Thomas,"When the love of his life threatens to go overseas, Stan, a shy daydreamer, must become the hero of his action movie fantasies to win her heart.",13,Accion,hotwire,2015
6.9,Osokwe Tychicus Vasquez,"['Mayra Martinez', 'Osokwe Tychicus Vasquez']","One year after the events of Arkham City, Gotham City has found itself in a state of complete disarray. While newly appointed mayor, Quincy Sharp, seeks to capture the remaining inmates of Blackgate, John Blake, now donning the mantle of the Dark Knight, must contend with the diabolical Black Mask and his band of hired mercenaries - a struggle that will bring the youn... Leer todo",8,Accion,batman: arkham knight,2015
-,Brady Brandwood,-,"A documentary on the heritage of Moonshine in rural North Georgia, with interesting and emotional details told about the lifestyle and techniques used to avoid getting caught by the 'Narks', as well as a first-hand look into the culture, risk, personal pride, and passion poured into the art. One touching and revealing scene at the end sums up the emotional human facto... Leer todo",13,Accion,moonshine heritage,2015
8.7,Jordan Mears,Jordan Mears,"Raven, a vampire hunter who poses as a prostitute, has spent years searching for the vampire who killed her father when she was just a child. One night, after slaying another vampire, she is kidnapped by a group of people who reveal themselves to be fellow hunters. They require her assistance in finding and killing a deranged scientist turned vampire with plans to des... Leer todo",16,Accion,vampire-killing prostitute,2015
6.0,Samuel Jørgensen,"['Ian Fried', 'Samuel Jørgensen', 'Jeremy Pronk']","In the midst of a war between humans and sentient androids, a Delta Force team must battle a dangerous enemy to rescue the US President.",9,Accion,singularity,2015
9.2,James Kingstone,"['James Kingstone', ""Tim O'Rourke"", 'Sean Ofm']","Mallory Costello wants to change her life. She auditions for ""Becoming Mr. Buyer"" a contest to demonstrate ones particular brand of sociopathy.",-,Accion,becoming mr. buyer,2015
7.6,Colin Riendeau,Colin Riendeau,"Jimmy unknowingly buys a prize winning Betta fish in a pet store and plunges into the electrifying and dangerous world of high stakes fish fighting complete with a gun, a kiss, and a kidnapping.",20,Accion,the fish,2015
8.0,David Sandberg,David Sandberg,"In 1985, Kung Fury, the toughest martial artist cop in Miami, goes back in time to kill the worst criminal of all time - Kung Führer, a.k.a. Adolf Hitler.",31,Accion,kung fury,2015
-,"['Evelien Raps', 'Marc Raps']","['Evelien Raps', 'Marc Raps']","In the year 2045, the rulers of District 24 of The Netherlands have cut all connections to the outside world. Their Organization rules with an iron fist and their laws have taken a hard toll on the district's inhabitants. Until one day a young cleaning lady enters the Organization's headquarters to confront both those in power and the ghosts that haunt her own past.",19,Accion,de schoonmaakster,2015
-,Puja Maewal,Puja Maewal,"Young Jaya survives gruesome gang life on Mumbai's unforgiving streets by posing as a boy. When she encounters a wealthy businessman who may be the father who abandoned her, she sets out to reclaim her identity.",19,Accion,jaya,2015
-,Quantrelle King,Quantrelle King,"Set in the dirty suburban streets, three women go to unlikely lengths to get what they want.",-,Accion,the things we do,2015
7.6,J. Mackye Gruber,"['Georgia Gwynne Gruber', 'J. Mackye Gruber']","When a courier discovers the true nature of his job, he is given unexpected powers to make amends with startling consequences.",20,Accion,the courier,2015
-,Robert Rugan,Robert Rugan,A struggling street magician is given a magical book explaining ten simple steps to becoming a real magician.,10,Accion,abracadabra,2015
-,Javier Urtasun,"['Gabriel Castro', 'Javier Urtasun']",-,-,Accion,happiness under the tree,2015
-,Cengiz Dervis,"['Cengiz Dervis', 'Senol Dervis']","Two brothers, an item to acquire or a life and death decision to make, the clock is ticking.",9,Accion,brothers promise,2015
-,-,Genia Nunez,-,-,Accion,overpowered,2015
-,Spencer Showalter,Spencer Showalter,A lone greaser and his cyborg sidekick thwart a syrup-junkie Sheriff's plan to overthrow a desolate town.,14,Accion,forcer baby,2015
