puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,5.3,Michael Worth,Michael Worth,"When Valenitine, a lifelong assassin, tries to leave her old life behind, she enters a world that may be stranger than the one she just left. Searching for the son of a man she has killed she finds the road paved with good intentions can sometimes still have potholes...",101,Accion,killing cupid,tt0389073
41,5.2,Hal Hartley,Hal Hartley,A comic drama about a time in the near future when citizens are happy to be property traded on the stock exchange.,84,Accion,the girl from monday,tt0388973
71,4.8,Steve Pasvolsky,Steve Pasvolsky,"Poker, Spasm and Blue Flame, are trying to escape the law, school, parents, their demons and a couple of criminals to realise their burning ambition; to meet world class skating champion, Tony Hawk and compete in his skating competition.",90,Accion,deck dogz,tt0389911
11,5.3,David J. Burke,David J. Burke,-,99,Accion,edison,tt0389957
29,5.3,Young Man Kang,"['Young Man Kang', 'Richard B. Phillips', 'Tony T.L. Young']","""The Last Eve"" is a film that takes the audience on an emotional adventure through history. In a way never before seen, the story of Eve is shown from front to back. We start in the future and ride all the way back to the loss of all innocence. Our ride through time shows us three greatly contrasting tales that in their own unique ways reveal the dark tragedy at the h... Leer todo",88,Accion,the last eve,tt0391282
80,7.1,Rian Johnson,Rian Johnson,-,110,Accion,brick,tt0393109
21,5.6,Adam Shankman,"['Thomas Lennon', 'Robert Ben Garant']",-,95,Accion,the pacifier,tt0395699
28,4.3,Jesse V. Johnson,Jesse V. Johnson,-,83,Accion,pit fighter,tt0396096
17,5.5,Lee Daniels,Will Rokos,"When an assassin is diagnosed with terminal cancer, she decides to carry out one final killing, assisted by her lover and stepson, Mikey.",93,Accion,shadowboxer,tt0396857
80,2.9,Peter Sullivan,"['Max Miller', 'Kasim Saul']","Street fighter Victor Knox (Andre McCoy), just freed from prison, needs money to be re-united with his wife and child. When invited to join an underground fight tournament promising easy cash, he quickly signs up. Under constant surveillance by virtual spectators, the matches becomes increasingly violent; Vic soon finds himself held captive in a game of endless fighti... Leer todo",90,Accion,game over,tt0397436
38,5.0,James Seale,"['Neil Elman', 'James Seale']","Every day, millions of people descend into underground parking garages, get into their cars and drive to the safety of their homes. But tonight, five levels down in a deserted corporate parking structure, financial analyst Tom Weaver won't be going home. After finishing a late night business deal, Tom arrives at section E5 of the garage only to discover his car won't ... Leer todo",86,Accion,throttle,tt0398033
59,6.3,Jean-François Richet,"['John Carpenter', 'James De', 'Monaco']",-,109,Accion,assault on precinct 13,tt0398712
40,6.8,Michael Bay,"['Caspian Tredwell-Owen', 'Alex Kurtzman', 'Roberto Orci']",-,136,Accion,the island,tt0399201
,4.1,Kelly Schwarze,Edward Dentzel,"An independent filmmaker, Kevin Sanderson, has his best screenplay stolen by Hollywood uber producer Robert Wynn. Now the film is coming out and Kevin schemes with his old cast and crew to steal the premiere print and get his rightful credit.",105,Accion,the indie pendant,tt0399186
,5.4,Laurits Munch-Petersen,"['Laurits Munch-Petersen', 'Lars Andreas Pedersen']",-,80,Accion,ambulancen,tt0400156
62,7.6,Andrew Niccol,Andrew Niccol,-,122,Accion,lord of war,tt0399295
12,5.5,Les Mayfield,"['Jim Piddock', 'Margaret Oberman', 'Stephen Carpenter']",-,83,Accion,the man,tt0399327
88,7.4,David Cronenberg,"['John Wagner', 'Vince Locke', 'Josh Olson']",-,96,Accion,a history of violence,tt0399146
50,5.8,Sturla Gunnarsson,"['Anonymous', 'Andrew Rai Berzins']",-,104,Accion,beowulf & grendel,tt0402057
9,5.4,Karyn Kusama,"['Phil Hay', 'Matt Manfredi', 'Peter Chung']",-,93,Accion,æon flux,tt0402022
,6.1,Xavier Durringer,"['Véra Belmont', 'Dida Diafat', 'Xavier Durringer']",The Biography of an incarcerated petty thief receiving a Second Chance. To become the first foreigner to become Muay Thai World Champion. An intimate immersion into the Muay Thai Art of fighting. Shot for over 5 months in Thailand and in the best Muay Thai Training Camp. Dida is playing himself fighting against the actual Muay Thai Champions. Real fights filmed live i... Leer todo,105,Accion,chok-dee,tt0402102
