,0,1,2,3,4,5,6
100,6.3,Don Roos,Don Roos,"Happy Endings weaves multiple stories to create a witty look at love, family and the sheer unpredictability of life itself.",128,happy endings,happy endings
101,4.5,Luis Ortega,"['Carolina Fal', 'Luis Ortega']","The godmother and Pearl are the world for ""la nenita"", a world delimited by the four walls of a one room with a single window that faces nowhere. They only alter the space and the monotony, the sessions of blood transfusion to which Pearl must be subjected and the almost anonymous sexual encounters of the girl.",83,monobloc,monobloc
102,6.6,Julia Solomonoff,Julia Solomonoff,-,88,hermanas,hermanas
103,7.2,Carroll Ballard,"['Carol Cawthra Hopcraft', 'Xan Hopcraft', 'Carol Flint']",An orphaned cheetah becomes the best friend and pet of a young boy living in South Africa.,100,duma,duma
104,4.1,Dharmesh Darshan,"['Dharmesh Darshan', 'Raj Sinha']","Anjali sacrifices her love for Raja after her sister's death and marries her brother-in-law. Years later, she meets Raja and is torn between him and her loyalties.",151,bewafaa,bewafaa
105,2.5,Sam B. Lorn,Sam B. Lorn,"Faced with the pressures of family, tradition, and culture, a Cambodian woman is forced into a marriage to a man she doesn't know. Love has its own plan when she meets another man and falls in love. Now she must choose to honor her family's wishes or follow her heart.",93,lovesick,lovesick
106,6.5,Art Jones,Art Jones,"""Lustre"" chronicles a change in heart, a spiritual awakening through the rise of an unlikely holy man. Filmed on the streets of New York in the year after the Twin Towers fell, ""Lustre"" tells a story of renewal in uncertain times.",81,lustre,lustre
107,5.6,Steven Woodcock,"['John Braine', 'Steven Woodcock']",A reserved schoolteacher battles against family conflict when he falls in love with the 'wrong' young woman.,91,the jealous god,the jealous god
108,5.9,Al Corley,Rodney Patrick Vaccaro,-,106,bigger than the sky,bigger than the sky
109,6.9,Van Fischer,Tim Boughn,"Like most kids, Ned idolized his father and dreamed of following in his footsteps. Unfortunately, his father was a two-bit crook who spent most of his life in jail. Without a family of his own, Ned falls in with the Aryan Brotherhood. Soon after, Ned is placed in a mental hospital where he is mesmerized by a young black girl who believes Adolf Hitler was reincarnated ... Leer todo",97,neo ned,neo ned
110,7.0,Robert Guédiguian,"['Georges-Marc Benamou', 'Gilles Taurand']",A young journalist (Lespert) helps the French President compile his memoirs.,116,le promeneur du champ de mars,le promeneur du champ de mars
111,3.6,Karl Kozak,"['Karl Kozak', 'Don J. Rearden']","When a group of poachers are found dead in the deep forests of the Pacific Northwest, a mob of revenge hungry hunters pursue the beast while four high school seniors try to save it.",85,the unknown,the unknown
112,7.6,Israel Adrián Caetano,"['Victoria Carreras', 'Roberto Gispert', 'Daniel Kuzniecka']",-,80,después del mar,después del mar
113,6.8,Mike Binder,Mike Binder,-,118,the upside of anger,the upside of anger
114,6.8,"['Martín De Salvo', 'Vera Fogwill']",Vera Fogwill,-,97,las mantenidas sin sueños,las mantenidas sin sueños
115,-,Jim Boukis,"['Yiorgo Aretos', 'Allison Cameron Gray']",Overcoming one's addictions is more difficult as it appears. A satirical look at the dysfunctions of American Culture.,79,lickin' the quits: a slice of american culture,lickin' the quits: a slice of american culture
116,6.9,Stephen Gaghan,"['Stephen Gaghan', 'Robert Baer']",-,128,syriana,syriana
117,6.1,Stanley Tong,"['Stanley Tong', 'Hui-Ling Wang', 'Hai-shu Li']",-,122,the myth,the myth
118,6.3,Guy Ritchie,"['Luc Besson', 'Guy Ritchie']",-,111,revolver,revolver
