INDICE,puntuacion,direccion,guionista,descripcion,mes_estreno,titulo,anio
1982,-,Frédérique Carrier,Frédérique Alain,-,8,narkomany,2018
1983,-,Eric Wood,Eric Wood,"Stephen, an idealistic romantic, tries to convince Darelene, a cynic at heart, of the power of love.",-,parabolic,2018
1984,-,Matthew W.F. Senior,Matthew W.F. Senior,"Stranded on an island, Gabriel is losing his mind.",4,free,2018
1985,-,Aaron Parpart,Aaron Parpart,-,-,nightingale,2018
1986,-,Sakari Sankkinen,Jere Aalto,"Matias (13) has once again struggled through one ponderous school day. After school he ran all the way back home, where he could breathe and set his over-compulsive-order free. At home he immediately straightens the doormat and steps over it almost as a ritual. In the living room symptoms continue systematically by straightening the remote control and fluffing the cou... Leer todo",9,lintu,2018
1987,-,Dmytro Miliienko,Dmytro Miliienko,-,-,lil bro,2018
1988,-,-,Zane Berry,"Together, Tom and Jaxon find joy in life.",-,go fetch,2018
1989,-,Zachary Ye,Zachary Ye,A grieving vampire forms an unlikely bond with a little girl.,7,thank you for your time,2018
1990,-,Tamim Aoude,Tamim Aoude,"Adam struggles to find his confidence on the first day of College, which is riddled with discomfort, due to his fear of stuttering.",5,my name is stutter,2018
1991,-,Alec Knopf,Alec Knopf,-,5,the meeting,2018
1992,-,Omprakash Choudhary,Omprakash Choudhary,Is marriage in India now a business deal? Have we stooped so low as to label women as products? Is this the path to women empowerment and emancipation? The questions are long but the answers are important . Find them in ' DEAL DONE',12,deal done,2018
1993,-,Phillip Woßler,"['Markus Christen', 'Wanda Ullrich']",-,7,creation,2018
1994,-,Chadlee Skrikker,Chadlee Skrikker,"Beset with guilt brought on by his father's past as a police officer in apartheid, a young Afrikaner man pays a black man to torture him over a weekend.",10,solatium,2018
1995,-,Claudia Kaleta,"['Simon Deeley', 'Claudia Kaleta']",After a fatal accident two sisters must come to terms with where they now belong and understand what is best to help them soar in this world. Even if it's the hardest thing to do.,10,clipped,2018
1996,-,Marlon Morales,Marlon Morales,A dark and rainy night brings old demons alive while Adán invites his oppressive mother to a special dinner.,11,cortando sangre,2018
1997,-,Johnnie Hector,"['Boyd Barrett', 'Robin Scott']","An estranged son returns home to try to connect with his father, and they find themselves trapped together in an abandoned missile silo, forcing them to face the decades-old tragedy that destroyed their relationship.",19,silo,2018
1998,6.8,Laura Baumeister de Montis,Laura Baumeister de Montis,-,23,ombligo de agua,2018
1999,-,Paul Verrier,-,-,-,conditions épicées,2018
2000,-,DC Brandon,DC Brandon,IT worker and general shy-guy Neil has gone two dates without kissing out of his league hottie Carmen and is now facing a do or die situation going into their third date.,16,kissing carmen,2019
2001,-,Celik Kayalar,Celik Kayalar,"The conflict between a religious father (devout Catholic) and his son with a violent-temper and a criminal-record escalates. Issues of the origin of violence (nature vs nurture); abortion are passionately argued, culminating in a surprising and explosive climax.",7,dna,2019
2002,8.1,Rob Levinson,Rob Levinson,"A self centered radio personality, learns the most valuable life lesson on the morning of September 11, 2001 - humility. The ever growing popularity of the Paul Lavigan Morning Show takes on new depths when Paul receives what seems to be his everyday mundane typical call. In the midst of conversation, a thunderous roar changes the course of both caller and Paul.",39,where were you,2019
2003,-,Leanne Nicole,Leanne Nicole,A day in life of a teenager that resides in a dysfunctional home.,-,okay,2019
2004,-,Lina Jalala,Giorgio Paoletti,-,14,hanna wins,2019
2005,-,Agostino Devastato,Agostino Devastato,Cafèsigaret is an unexpected meeting between Silvio and Giggino in a smoky bar lost among the quarries of the suburbs of Naples. A meeting that happens today after twenty years when a dramatic secret has divided their paths.,14,cafèsigaret,2019
2006,-,George Salcedo,George Salcedo,"A young man struggles to deal with his father's life sentence in prison. As a result of this, he goes after the men who got his father locked up.",4,witness to murder,2019
2007,-,Dan Hewitt Owens,Dan Hewitt Owens,-,-,good friends,2019
2008,-,"['Natalia Montecinos', 'Cristian Costa']","['Cristian Costa', 'Natalia Montecinos']","MIA, who suddenly stopped talking, needs to find her lost words in order to reveal the truth behind crimes she witnessed.",-,voiceless,2019
2009,-,Ryan Henry Knight,Ryan Henry Knight,A girl haunted by grief is reconnected with her estranged sister as they come to terms with the dark truth behind their distanced relationship.,16,ludere,2019
2010,-,Nick Azzaro,Nick Azzaro,"While an insecure young actress prepares for an audition, her hospitalized grandmother encourages her to step up to the challenge.",-,melodrama,2019
2011,9.3,K.J. Chaves Santos,K.J. Chaves Santos,"In the Azores Islands, three young teenagers hoping to reunite their Coven.",8,the coven,2019
2012,-,Xavi Casanova,Xavi Casanova,A young couple with communication issues starts to finally share intimacy when they are stuck home with no electricity and in darkness.,-,candle light,2019
2013,-,Carol Bellhouse,Carol Bellhouse,"With her dreams purveying the past and future, a young woman is unsure if her adventure in love is ahead of her or a memory.",-,erewhile,2019
2014,-,Paul Tully,Paul Tully,-,-,atonement,2019
2015,-,Jon Perry,"['Adam Masnyk', 'Jon Perry']","After communication ceases, Kevin breaks out of prison to find his lifelong girlfriend, but is met with some unfortunate news.",-,facing life,2019
2016,-,C. Nathaniel Brown,"['C. Nathaniel Brown', 'Kenya Hendricks']","When love is warming everyone's heart around the office, Ellis seems to be getting the cold shoulder. But the office won't be the same come Friday.",10,for ellis,2019
2017,9.8,Branden J. Stanley,"['Gregory Krajewski', 'Christopher Magruder', 'Julie Nelson']","A supernatural thriller about where heaven and earth meet. A captivating short film about the coming together of heaven and earth, The Veil Removed depicts the depth and power of the Mass as seen by saints and mystics, revealed by scripture and explored in the Catechism of the Catholic Church.",7,the veil removed,2019
2018,8.6,Jason Fragale,"['Jason Fragale', 'Christopher Fragale']","Raffi, still plagued by grief from his mother's death, has his friendship tested by terminally ill David, who begs for help during his dying days.",17,riviera,2019
2019,-,Young Man Kang,"['Heaven Choi', 'Young Man Kang']",-,17,destiny,2019
2020,-,Ryan Berry,Alexandera Yetman,A woman decides whether to heed the signs the universe is sending her about her desires.,11,along the line,2019
2021,-,Lauren Kelly,Lauren Kelly,Two slaves are put to the test when their owner forces them to fight each other.,11,chadwick manor,2019
2022,-,"['Ross Heath', 'Chris John Livermore']",Ross Heath,-,-,controlling intentions,2019
2023,-,Maverick Knox,Maverick Knox,-,6,the chair,2019
2024,-,Nathaniel Shields,Nathaniel Shields,A young girl moves to Hollywood against her father's wishes in hopes of becoming a famous actress. Will she finally gain his support?,14,fantasyland,2019
2025,-,Pau Domingo,"['Àlex Clusellas', 'Jaume Cortada', 'Gabriel Di Pastena']",-,-,el barber,2019
2026,6.5,Noémie Merlant,Noémie Merlant,"While trying to save her family from a return to the street, Shakira, a young gypsy woman, meets Marius, a member of a robber gang.",27,shakira,2019
2027,-,-,-,A desperate man goes to church to confess himself and ask for help from a priest. From their conversation will spring unexpected events.,4,confession,2019
2028,-,Eric Ogden,Eric Ogden,"When her distressed younger sister isolates herself in a secluded motel, Caitlin takes it upon herself to do an intervention. But as day turns to night and her sister's paranoia takes hold, the world she describes to Caitlin begins to seem almost plausible.",27,motel,2019
2029,-,Anthony Lucido,Anthony Lucido,"Over the course of a tense weekend, a young man tries to reclaim power over his guardian and stalkers.",15,tender,2019
2030,-,Andrés Cámara,"['Emma Aguirre', 'Andrés Cámara']","A basketball player is in the final. He suffers an accident, from that moment he will change his life, he will have to start from scratch. She and her grandmother will have to deal with several experiences, how will it affect their lives? what would you do?",14,partir de cero,2019
2031,-,Gerard Corporon,Gerard Corporon,-,-,cheyenne,2019
2032,-,Elisabeth Seth Rippe,Angelika Roberts,"A successful bussines woman living in New York decides to go back to her home country Sweden after many years, to support her best friend who is newly divorced. They make a trip together to a magical place where they meet odd people that changes their lives forever.",30,greta's bed & breakfast,2019
2033,-,Hayden Hayes,Hayden Hayes,"Set in one room, three friends are packing up their close friends house; they must have it cleared by week's end. One friend hasn't shown up yet; He arrives, late, and the others start asking questions he's reluctant to answer.",13,stay for the weak,2019
2034,-,Jess Taylor,-,A college student struggles with social anxiety at a causal dorm gathering.,2,anxiety,2019
2035,-,Michael Wolfe,Michael Wolfe,-,-,the theology of friendship,2019
2036,-,Michael Thomas Griffin,Michael Thomas Griffin,A lonely botanist is freed from misery after the blossoming of a mysterious flower.,-,memoria,2019
2037,-,Jason Linere-White,Jason Linere-White,A zombie apocalypse told by three different groups of people.,-,it could be worse,2019
2038,-,Brendan Prost,Brendan Prost,"At a moment of mutual desperation, two restless souls in different cities match online and decide to meet up at a point of compromise. When they come face-to-face in the small town of Bellingham, they fail to connect, and are left to wander the coastline-- basking in the luminosity of their shared despair.",12,bellingham,2019
2039,-,Ganesh Davuluri,"['Gunjan Kuthiala', 'Manisha Sri']",-,-,nri story,2019
2040,7.2,Melissa Anastasi,Melissa Anastasi,A neglected 11-year-old girl steals from pregnant women at the local swimming pool.,17,chlorine,2019
2041,-,"['Ana Atanassova', 'Kalin Ivanov']",Ana Atanassova,"In a remote village in Bulgaria a German teenager with a rare bone disease finds hope and courage in the unlikely friendship with a sleepwalking kid. When Stefan is dragged by his father to the mountains to hike and heal, his apathy is challenged by a haunting melody he hears one night.",15,freaky forest,2019
2042,-,George Salcedo,"['George Salcedo', 'Andrew A. Smith']",The story follows Ryan Dean West as he remembers past events in his journey of high school.,4,winger,2019
2043,7.9,Ellen Marmol,"['Dani Fiondella', 'Alex Mc', 'Fry']","Inspired by true events that took place in White Plains, Alabama in 1959, Viola tells the story of Viola Hyatt and the night her life changed forever.",13,viola,2019
2044,-,Doris Tääker,Tom Butcher Cury,A lonely teenager fakes her first menstruation to fit in with her same-age peers in a secluded women-only community.,17,andros,2019
2045,-,"['Amanda Michelle Tenney', 'Essi Virtanen']",Amanda Michelle Tenney,"To protect her heart, Sophie is determined to cut ties with the womanizing man she has come to fall in love with, as she can no longer take being one of many.",10,delicious poison,2019
2046,-,Pedro Tamames,Pedro Tamames,A girl spends her time eavesdropping on a young couple whose relationship is falling apart.,10,leaves,2019
2047,-,Vladislav Rytkov,Yuriy Afanasyev-Shirokov,"Six year old Kolya's father is a professional criminal who doesn't live with his family. He visits his son and takes him on countryside drives from time to time. Naturally, Kolya at his young age can't fully comprehend what's happening. He loves his daddy and in a way imitates him in effort to protect this love from a prostitute, who happens to be in the way",15,he's mine,2019
2048,7.0,Adrian Silisteanu,"['Adrian Silisteanu', 'Claudia Silisteanu']","Sporadic gunshots echo among the ruins of a village which, though abandoned, is an objective of great import for the authorities. This forces two young men to lead a hard negotiation, both for the fate of the settlement and for their own future.",17,afganistanii,2019
2049,-,Marinthia Gutierrez,"['Isobel Hyland', 'Sandra Itzel Licea']",A young woman comes to terms with the death of her girlfriend.,-,something,2019
2050,6.7,"['Sami Khan', 'Smriti Mundhra']",-,"Bruce Franks Jr. is a 34-year-old battle rapper, Ferguson activist and state representative from St. Louis, Missouri. Known as Superman to his constituents, he is a political figure the likes of which you've never seen - full of contradictions and deep insights, who has overcome unspeakable loss to become one of the most exciting and unapologetic young leaders in the ... Leer todo",28,st. louis superman,2019
2051,-,Quentin Persia,"['Quentin Persia', 'Pierre Sabrou']",-,13,passage,2019
2052,-,"['Denis Mc', 'Ardle']","['Denis Mc', 'Ardle']",A young boy wants a timeworn trumpet from an irascible Antique shop owner.,16,the silver lining,2019
2053,-,Jeonggil Han,-,"Counselor Eeju gets an emergency call from her daughter's school. As Eeju is leaving her office, a distressed girl who resembles her daughter comes in.",27,stormy,2019
2054,-,Eric Chan,"['Micah Burns', 'Eric Chan', 'Andrew Hunt']",Father and Son survive a difficult time through the use of their imagination.,11,agente secret,2019
2055,-,Pasquale Avella,Pasquale Avella,A working class couple's life is turned upside down when they try to have a baby in a dystopian future where the government controls birthing rights.,15,iparent,2019
2056,-,Kevin Uskokovic,Kevin Uskokovic,'Lilac' Follows trouble teenager Chloe as she deals with her newly discovered pregnancy.,17,lilac,2019
2057,5.5,Iria Ares,-,"A tribute to the cinema of Orson Welles, shot in Galicia and in 16mm. A romantic story with a single protagonist: Death.",17,chimes of love and death,2019
2058,-,Amanda Hinkley,Amanda Hinkley,"When Emma's boyfriend leaves for a guys' night, her deepest insecurities and wildest fears about their relationship come to life before her very eyes.",-,uncertainship,2019
2059,-,Bree Webber,Bree Webber,"In 2022 after Roe v. Wade is overturned, a woman struggles to find the care that she needs after being sexually assaulted.",10,it happened one night,2019
2060,-,Lee Shorten,Lee Shorten,"Makoto (Mayumi Yoshida), a Japanese American single mother, struggles to reconcile with her father, Musashi (Hiro Kanagawa) a notorious Yakuza enforcer following his release from prison.",-,parabola,2019
2061,-,Michael Chaput,"['Jarrett Barnes', 'Michael Chaput']","Ali, grieving from her fathers death, anticipates her distant sister's arrival after missing the funeral. While the two are cleaning out their father's house, Ali finds a hidden time travel machine, that may just be the only thing that can bring the two together.",-,42,2019
2062,6.0,Stephan Eigenmann,Stephan Eigenmann,A mother is suppressing her fear of losing her daughter in combat through the usage of futuristic technology.,14,rewind,2019
2063,-,Kristal Glover-Wing,Kristal Glover-Wing,"Two best friends lives are disrupted when one moves away, only to eventually find each other in the most unsuspecting way.",-,it's a small world,2019
2064,-,"['Lisa Sanchez', 'Michelle Sanchez']",Michelle Sanchez,-,3,heaven,2019
2065,-,Billy Rudberg,-,"A dejected man holed up in a motel room, aided by a phone sex operator, attempts reincarnating an absent lover. Ultimately blurring the lines between reality and fiction.",17,hanging on a telephone,2019
2066,-,Arepo,"['Arepo', 'Alberto Bona', 'Federico Cicardi']",A relaxing walk in the countryside unexpectedly turns into an existential mystery.,5,piercing stillness,2019
2067,-,Kenneth Ross,Kenneth Ross,-,14,bluefish,2019
2068,-,Alejandro Cervantes Polanco,Alejandro Cervantes Polanco,"Don Hector, seeks to keep alive the memory of his wife by keeping alive her roses until he discovers that someone is stealing them, unveil his darkest and most hidden side.",18,don héctor,2019
2069,9.2,"['Mariana Arriaga', 'Santiago Arriaga']",Guillermo Arriaga,"A couple travels to Cuba for a romantic getaway. Paula convinces Lorenzo to take a detour at the tobacco plantations in the Viñales region. On the way, their vehicle hits something. The accident will lead the couple into a moral conflict.",-,la hora cero,2019
2070,-,"['Jannik Ohlendieck', 'Kyle Ohlendieck']",Jannik Ohlendieck,"Down The Barrel is the tale of an aspiring boxer, Roy Kovac, who accidentally kills his opponent in the ring. The film centres on his moral anguish and alcohol abuse following the fight. Roy wants to reconcile with the bereaved family but the weight of his guilt makes this increasingly difficult.",10,down the barrel,2019
2071,-,Hayley Tibbenham,Hayley Tibbenham,"When Alice, a plus-sized, jaded and seemingly insecure teenage girl, moves to a small town in northern Michigan, she develops a budding romance with Elliot, a sunny high school golden boy. However, this romance quickly leads to the discovery that she is not some washed-out stereotype, but something farthest from it.",14,inhuman,2019
2072,6.9,Alicia K. Harris,Alicia K. Harris,A young girl wears her afro to school on picture day and must deal with the unexpected consequences.,11,pick,2019
2073,-,Bob Colaers,"['Cedric Ceglowski', 'Bob Colaers']",-,-,cirque,2019
2074,-,Jeremy Lu,"['Yatian Chen', 'Heng Kang']",-,-,dear deer,2019
2075,-,Anna Fredrikke Bjerke,Anna Fredrikke Bjerke,"In 1992, the wedding of Kaya is disrupted by the unexpected visit from her former lover, Iben, as their heartfelt reunion reveals that there is still love between them.",4,fragmenter,2019
2076,-,Sylwia Pecio,Sylwia Pecio,"A documentary photographer and local driver operate through a myriad of majestic of landscapes in Ethiopia. Desensitized to the cruelty of life for the vulnerable in the horn of Africa, the duo finds their numbed sympathy compromised when dramatic events take place throughout their journey.",25,tesfa,2019
2077,-,Peter Noel,Peter Noel,-,-,nina,2019
2078,-,Patrice Bowman,Patrice Bowman,"A young woman, filled with grief and struggling with her faith, forms an unexpected bond with a homeless lady via dance.",7,saturday grace,2019
2079,-,Adrian Picardi,Scott Sigler,A father tries to buy away his daughter's grief.,3,the present,2019
2080,-,Kyanna Mai-Lee Bosworth,-,-,-,you should be on my side,2019
2081,-,Carol Bellhouse,Carol Bellhouse,The waterfalls of Iceland--a dancer tries to remember her love but it's been too long.,-,waterfrost,2019
2082,-,Faisal Al-Jadir,Faisal Al-Jadir,A director of a failing theatre company finds himself in a quandary after he uncovers a sinister plot.,19,i stem the tide,2019
2083,-,Kyanna Mai-Lee Bosworth,-,-,-,you're just a kid,2019
2084,-,Kyanna Mai-Lee Bosworth,-,-,-,like crazy,2019
2085,-,Colburn South,-,-,-,what momma wants,2019
2086,6.8,Kathy Wells,Scott Abrams,"When Kent, A rude and obnoxious business man enters a coffee shop and decides to piss off the wrong man at the wrong time, His whole life changes.",11,coffee with a madman,2019
2087,-,Rebecca Ruhm,-,-,-,resistant,2019
2088,-,Kyanna Mai-Lee Bosworth,-,-,-,help me help you,2019
2089,-,Alana Grace,Alana Grace,"A seemingly perfect woman has what appears to be a happy 30th birthday party with the ones she loves. But under her perfect facade lies a hidden life full of secrets, tragedy, and unfinished business. When tragedy strikes, it is those closest to her that are caught the most off guard, begging the question, can you ever truly know someone?",13,the strangers we know,2019
2090,9.3,Dora Endre,Dora Endre,"After facing self-recognitional questions at a call center interview Katrina is advised by her psychologist to return to her hometown, the foggy Positano. Fogotten memories of loss and love suddenly come to the surface.",7,haze,2019
2091,-,Isaiah Todman,Isaiah Todman,"Brothers, Luther and Desmond, face the struggle of taking care of themselves since the death of their mother. They must learn to deal with each other before they are able to deal with their own problems.",-,brothers,2019
2092,-,Frøydis Fossli Moe,"['Frøydis Fossli Moe', 'Mari Ørstavik']",-,-,man made,2019
2093,-,Natasha Waugh,Natasha Waugh,-,-,power out,2019
2094,-,Kyanna Mai-Lee Bosworth,-,-,-,the darkness,2019
2095,-,Mohamed el-Gohary,Mohamed el-Gohary,A day in a life of an employee working in a private company suffering from the work atmosphere which made him in struggle between being cruel as them or stay himself.,13,the circle,2019
2096,-,Kyanna Mai-Lee Bosworth,-,-,-,this is bigger than us,2019
2097,-,Tamara Hansen,-,-,-,osiris iii,2019
2098,-,Colburn South,-,-,-,i have to fake it,2019
2099,-,Kyanna Mai-Lee Bosworth,-,-,-,trust me,2019
2100,-,James Grimley,-,"A lonely and unsettled Sam is looking to find love every New Year's Eve with Rose the call girl. Hiding from their true identities stalls Sam's best efforts, to find out more about his affection towards Rose.",37,31st of decembers,2019
2101,6.2,Cloudy Rhodes,Llewellyn Michael Bates,Three spirited women usurp a religious community.,11,deluge,2019
2102,-,Terri Potoczna,"['Justin Hamlin', 'Terri Potoczna']","In the grease-stained world of an auto repair shop Sean grapples with coming out as trans. This bittersweet film navigates the intricate lanes of identity, mentorship, and acceptance in the face of personal revelation.",25,being marilyn,2019
2103,-,Kyanna Mai-Lee Bosworth,-,-,-,you need to get it together,2019
2104,-,Kyanna Mai-Lee Bosworth,-,-,-,just answer one question,2019
2105,-,Kyanna Mai-Lee Bosworth,-,-,-,the choice is yours,2019
2106,-,Hannah Myvanwy Driscoll,Doulos Kun,-,-,from this day forward,2019
2107,-,Ben Sheridan,-,-,-,a labour of loaf,2019
2108,-,Babour Zainullah,Sara A. Smith,-,-,masterpiece,2019
2109,5.3,Ceylan Özgün Özçelik,Ceylan Özgün Özçelik,"A fourteen-year old girl, communicates with a spider in a dark basement, without knowing the time and place.",15,witch trilogy 13+,2019
2110,6.9,Phoenix Vaughn,"['Victor Boc', 'Phoenix Vaughn']",A successful but emotionally fractured woman must confront a horrific secret from her past when her daughter befriends a spirit haunting the cellar.,18,the girl in the cellar,2019
2111,-,Kyanna Mai-Lee Bosworth,-,-,-,i'd die for this family,2019
2112,-,Alessio Schiazza,Alessio Schiazza,Awakened by the sound of rain an office employee skips work to visit the ocean in this brief visual exploration of the ephemerality of human life.,5,morning rain,2019
2113,-,Kyanna Mai-Lee Bosworth,-,-,-,enough is enough,2019
2114,-,Buddy Ketelle,Buddy Ketelle,-,13,the writer,2019
2115,-,Kyanna Mai-Lee Bosworth,-,-,-,it's stranger than we thought,2019
2116,-,"['Matej Chlupacek', 'Maja Hamplova', 'Martin Hradský']","['Aneta Honzkova', 'Olga Tokarczuk']",-,25,noc v mariandu,2019
2117,-,Kit Wilson,Kit Wilson,"In war-torn Germany, a frightened young girl submits to Hitler-Youth culture, only to realize she's been duped. Famed director Leni Reifenstahl aids her sister's escape with a newborn, but must outwit the Gestapo or die.",-,fragile ghost,2019
2118,-,Louis-Charles Blais,Louis-Charles Blais,"-Escape from a life controlled by another, from a place where she did not feel well, from an oppression animated by someone she thought she loved.",2,s'échapper vers la vie,2019
2119,-,Marshall Frick,"['Anna Lena Felgentreu', 'Marshall Frick', 'Gordon Spandern']",-,2,kunst und die freiheit,2019
2120,-,Renée Stork,Renée Stork,"A quirky oracle employed as an Uber driver, elevates the lives of her unknowing passengers, while risking her own life and what's most precious to heal her darkest and deepest wound of all.",34,uber oracle,2019
2121,-,Finian Robbins,Finian Robbins,A young man seeking his father's approval finally confronts him about their relationship on a boardwalk across a bog in the Irish Midlands,10,boardwalk,2019
2122,-,Chris Craymer,Chris Craymer,This is the poignant journey of a young widow as she comes to understand that her late husband's heart has given more than just the gift of life to the recipient. The story is about her realization that life is full of mystery and charts her growth as an emotional being.,23,gifts of the heart,2019
2123,-,Kyle Couch,Kyle Couch,-,-,nightmare,2019
2124,-,Travis James Annabel,Travis James Annabel,"A young girl attempts to escape her home, which is plagued by domestic violence.",6,my home of thorns,2019
2125,-,-,Lauren Scott-Berry,"19 year old Katie races along a ruggedly beautiful cliff path leading to a sheer drop to the sea crashing below. Desperate and in anguish, she is running to prevent an impending tragedy. Her nine year old brother, Charlie stands on the edge, motionless. As she approaches, he spreads his arms and calmly steps off. During the investigation into Charlie's death, the unco... Leer todo",5,little bird,2019
2126,-,Jahmal Holland,Cuete Yeska,-,-,the turnaround,2019
2127,-,Karson Kennedy,"['Nick Driscoll', 'Gavin Harper', 'Karson Kennedy']","A film that tells the story of teenager Andrew Peters taking on a new school and dealing with all the complications that accompany. The mission of this film is to combat bullying and raise awareness for teenagers, just like Andrew, struggling with the trials and tribulations of high school. Hardships, tragedy, and betrayal all appear in this introspective motion pictu... Leer todo",30,as simple as hello,2019
2128,-,Deborah Domínguez,Deborah Domínguez,-,-,gaia,2019
2129,-,Emilia Copeland,Emilia Copeland,A young woman wakes up in the middle of the night. A monologue.,3,sleep - a monologue,2019
2130,-,Santiago Castelo,Santiago Castelo,-,10,tóxico,2019
2131,-,Parag Vijra,"['Mohit Sharma', 'Parag Vijra']",Giving up on everything for the soul reason of bestowing a better and a blessed life to their child is what parents have been doing for ages but what they receive in return is a bundle full of questions and anguish behavior. Kaveri unfolds the brutality faced by a mother who wanted to see the world with her son's eyesight.,12,kaveri,2019
2132,-,Charles Gray,"['Kaitlyn Fae', 'Charles Gray']","Social media influencer Jamie Chen moves to LA and befriends Quinn, a shy waitress with dreams of performing on Broadway. Quinn realizes that Jamie cares more about gaining online followers than an actual friendship.",17,following jamie,2019
2133,-,Shardin Johnson,Shardin Johnson,-,5,we'll go north,2019
2134,8.1,Leon Lozano,"['Leon Lozano', 'Ron Sierra']","A US born Belizean man travels to Belize Central America to scatter the ashes of his deceased father, only to discover that he himself conceived a son during a past visit to the country. He must now face his own conflicted feelings about fatherhood caused by the estranged relationship he had with the man who gave him life.",30,my father belize,2019
2135,-,Bruno Brichetti,Bruno Brichetti,-,-,las alturas,2019
2136,-,Kingslee Purcell,Kingslee Purcell,A female photographer stalks a man searching for his missing Rolex.,15,the rolex,2019
2137,8.8,"['Nikoloz Khomasuridze', 'Lasha Kankava']","['Nikoloz Khomasuridze', 'Medea Kurtanidze']",What happens when young Hitler meets young Stalin in Train in 1907 in Vienna Station?,13,priest or painter,2019
2138,-,Cajardo Lindsey,Cajardo Lindsey,-,-,the minstrel and the bard,2019
2139,-,Michael Lindsey,"['Branden Hampton', 'Kayla Higgenbottom', 'Michael Lindsey']","Kaila is having a rough time. She can't find a job, lives with her aunt, and did I mention her best friend is an imaginary camera crew? But if she crushes this job interview it can all turn around for her.",15,the camera loves kaila,2019
2140,-,J. Zachary Thurman,J. Zachary Thurman,A young girl comes across a mysterious box that will change her life forever.,10,daddy's girl,2019
2141,-,Nicholas Bombana,Nicholas Bombana,A desperate man goes to church to confess himself and ask for help from a priest. From their conversation will spring unexpected events.,4,confessione,2019
2142,-,Jed Vinson,Jed Vinson,A drama about a middle-aged man who's struggling with his mental health during a long drought.,7,desiccation,2019
2143,-,Carl A. Schwennesen,-,-,-,flying with the birds,2019
2144,-,Carol Bellhouse,Carol Bellhouse,"At a French canal, a lush woman entices her lover.",-,tamarind,2019
2145,-,Wendi Sun,-,-,-,caps,2019
2146,-,Jesús Muga,"['Diana Ferrando', 'David Díaz', 'Jesús Muga']",-,1,no lo digas,2019
2147,-,Greg Payton,"['Sarah Mc', 'Lean']",A normally by-the-books detective crosses the line when her family is at risk.,3,lost canyon,2019
2148,-,Michael Le Blanc,Michael Le Blanc,"After discovering on social media that she's been dumped by her boyfriend, a young woman finds a new love online but is shocked to learn the truth about her new interest.",18,someone likes you,2019
2149,-,Phil Ramcke,Bobby Emprechtinger,A boy and a girl trapped within their own bubble of ideas use this interconnection to harm instead of help. Their relationship will build to reveal the true issue and force plaguing them and everyone else in our modern day.,-,parallel path trailer,2019
2150,8.9,"['Mc', 'Kinley Benson', 'Enzo Hui']","['Mc', 'Kinley Benson', 'Enzo Hui']","Martha, a single mother and working nurse, struggles with her son leaving for college. When a mysterious woman invites Martha to a dinner party of other ""empty nest"" mothers, she soon realizes the gathering is not as innocent as it seems.",26,martha,2019
2151,-,Yann Mokhtari,Jean-Louis Milesi,"Waiting for her crazy boyfriend in the car during a robbery, Adele dreams about the life she could have.",3,starving (miff),2019
2152,-,Dieter Berner,Hilde Berger,-,-,kunststücke,2019
2153,-,David D. Haynes II,David D. Haynes II,-,-,the receipt,2019
2154,-,Gabar Choli,-,Kurdish bbq is a short drama based on true events. Kurdish bbq is story of an abducted Yazidi Kurd in Isis jail who refuses to convert to Islam.,9,kurdish bbq,2019
2155,-,Camille van Wessem,-,"In that sticky place between child and adult lies adolescence. Awkward silences and clumsy words are the norm. In the fading evening light, Julia finally finds a way to express herself. Starring Shannon Berry (Offspring, Hunters, Romper Stomper) and Olivia Junkeer (Neighbours).",2,shadow animals,2019
2156,8.7,Michael Ballard,Michael Ballard,"Based on true events, a man makes his final promise to his love; a dying girl.",-,tap tap tap,2019
2157,-,Cameron Goold,"['Ted Echo', 'John Newton']",-,28,cipher,2019
2158,-,Beau Han Bridge,John Patrick Shanley,"A short film adaptation of the play of the same name by John Patrick Shanley (From the one-act collection ""Welcome To The Moon"")",12,the red coat,2019
2159,-,Connor Colby,Connor Colby,-,-,time has changed,2019
2160,-,Andrea Scala,-,The main character of the story is a young business woman who start to feel threatened by her new neighbor and possible competitor Harras.,5,la vicina,2019
2161,-,Xindi Lou,"['Xindi Lou', 'Riley Hanyue Shen']",A closeted autopsy assistant finds his boyfriend's dead body in the morgue.,3,mortis,2019
2162,-,Mario Scarinci,-,"When back to the burial spot to make sure it remained intact as it had been left, something very disturbing happens.",8,the burial consequence,2019
2163,-,Arthur Wilde,Arthur Wilde,-,-,come what may,2019
2164,-,"['Aisling Rose Mc', 'Grogan']",-,A gender-bending short about love lost in the person it should most be found.,4,loveless,2019
2165,-,Louise Deschamps,Louise Deschamps,"After separating from the father of her 5-year-old, Solveig spends her first summer without her son at a friend's country home. Distraught, she summons the power of nature to bring him back to her.",20,le lait magique,2019
2166,-,Adrian Velasquez,-,A one dollar bill travels through different individuals.,9,plutus,2019
2167,5.2,José Luis Mora,José Luis Mora,-,5,x27,2019
2168,-,Stefano Tammaro,"[""Vincenzo D'Onofrio"", 'Daniele Malavolta']",-,-,marinai di foresta,2019
2169,-,Barbara Zemljic,Barbara Zemljic,-,-,koncert,2019
2170,-,Darius Ledbetter,Darius Ledbetter,-,-,desperate,2019
2171,-,-,Devin Carri,-,4,7 minutes,2019
