puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
-,Cecilia Araneda,Cecilia Araneda,-,12,Drama,halley's comet,halley's comet
6.1,Mehdi Jafari,"['Mahin Abbaszadeh', 'Mehdi Jafari']",-,12,Drama,kami balatar,kami balatar
-,Soo Hugh,Soo Hugh,"STATIC, a haunting family drama, follows Jay Stewart as he returns to his childhood home to take care of his dying mother. Their relationship is now a fragile thread of bitterness and regret. As Jay waits in a house he no longer considers home, he is drawn to the girl across the street. Their furtive glances through window panes lead to memories of a tragic past. Can ... Leer todo",15,Drama,static,static
6.6,Brian Philip Davis,Barry Falls,Ruth's dreams of leaving her childhood home in rural Northern Ireland for the excitement and culture of Europe's finest Art College take a surreal and frightening twist.,7,Drama,the poet and the bear,the poet and the bear
6.8,Phillip Van,Simon P. Biggs,"In the near-future, a woman whose robotic husband fails to meet her standards returns and upgrades him for a better version with standards that she now fails to meet.",9,Drama,high maintenance,high maintenance
-,John Sobrack,John Sobrack,-,15,Drama,nearlife,nearlife
6.7,François Ozon,"['François Ozon', 'Henry de Montherlant']",A young Frenchman is determined to dump his girlfriend due to her invariable excessive tardiness.,30,Drama,un lever de rideau,un lever de rideau
7.4,Kathi Carey,Kathi Carey,"""Reflections of a Life"" is an intimate portrait of a woman's life. This narrative short film chooses an experimental approach that confines the story to a single location, as well as positioning the camera in one fixed spot, all with the intent to maximize the emotion and intimacy the audience feels. How much more personal can you get than to spend time with a woman, ... Leer todo",30,Drama,reflections of a life,reflections of a life
6.6,João Pupo Correia,João Pupo Correia,-,15,Drama,ao fundo do túnel,ao fundo do túnel
-,Gilbert Nash,Gilbert Nash,-,11,Drama,hallelujah,hallelujah
-,Ema Konstantinova,Ema Konstantinova,"Iza and Irina decide to spend the weekend in Irina's new flat. Ivan Michailov, a TV journalist lives in the same building. Iza decides she is in love with him and starts inventing charmingly naive schemes to just get closer to him...",25,Drama,nutmeg,nutmeg
5.6,Fernando Merinero,Javier Batanero,"Mario is a magician who has a daughter of six years, Alicia, by which it feels as much adoration as admiration undergoes by him the girl, whenever it sees him match of magic, or is in house or the theater. The mother of Alicia and companion of Mario is called Elena, and works at night, exerting prostitution. In its humble home the joy reigns until to Mario they detect... Leer todo",28,Drama,háblame bajito,háblame bajito
-,Ewa Dimitrova,"['Ewa Dimitrova', 'Vasil Mavrikov']","Tzveti is quite an ordinary 18-year-old girl. And quite alike any girl of her age, she is having trouble with her parents - this is the dawning of her life, and they ride around wild on a bike...",27,Drama,prikazka za rasteneto,prikazka za rasteneto
6.9,Daniel Stieglitz,Daniel Stieglitz,"Paul and Lisa are heroin addicts and live together in a small, dirty room. One day the dealer doesn't arrive in time to bring the beloved drug and they start to argue. Finally Paul leaves the room to try to organize something on his own and lets Lisa alone with her addiction. She nearly goes mad because of the withdrawal symptoms until she suddenly hears a noise in th... Leer todo",13,Drama,fliegen und fallen,fliegen und fallen
-,Dimitar Sardzhev,Dimitar Sardzhev,"While Slav is in America, Maria tells him she got married. When he returns, the two of them start seeing each other once again. Hotel, Pigeons is about one day and one rendezvous of two people, and about that very moment of the embrace before the parting, ""forever, not for just another day"".",27,Drama,"hotel, pigeons","hotel, pigeons"
-,Kevin Schlanser,"['Sean Michael Beyer', 'Kevin Schlanser']",-,19,Drama,the utopian,the utopian
8.1,"['Suzanna Laine', 'Len Peltier']",Suzanna Laine,"After fighting with his girl, Eddie discovers that somewhere between giddiness and exasperation, there lies balance.",29,Drama,ed i hide,ed i hide
-,Christina Beck,Christina Beck,-,6,Drama,so hot for you,so hot for you
7.0,Elan Gale,Elan Gale,A group of life long friends learn of a death in Iraq that will challenge the strength of their friendship forever. What ensues is a struggle between personal beliefs and personal loss.,28,Drama,tomorrow's yesterday,tomorrow's yesterday
6.7,John Lochland,John Lochland,Sam finds a soul mate in his new room mate,11,Drama,goodboys,goodboys
-,Anna-Carin Andersson,-,-,15,Drama,mellan natt och dag,mellan natt och dag
7.8,"['Matthew Kowalchuk', 'Daniel Smith Arnold']","['Daniel Smith Arnold', 'Matthew Kowalchuk']",William B Davis plays a reclusive night janitor who meets a young cleaning lady through a video-conference connection that's been left on.,12,Drama,the janitors,the janitors
-,Matt Kovalakides,Matt Kovalakides,-,12,Drama,the militant,the militant
5.5,Daniel J. Pico,David Bianchi,Depicts the inner struggle of a soldier suffering from the loss of a fallen comrade at the front lines of the Iraq War. Told entirely in performance poetry and Gaelic verse.,10,Drama,soldier,soldier
7.4,Eva Haßmann,Eva Haßmann,"""Mad Lane"" tells the story of a young ambitious writer, Madeleine, and her struggle through different relationships to finally reach her place in life. A place that she would not have chosen beforehand but that she was lead to by following her principles.",15,Drama,mad lane,mad lane
8.3,Charlie Kessler,Charlie Kessler,"Depressed with his repetitive existence, a lonely mailman contemplates suicide before getting visited by a mysterious dog.",8,Drama,3:20,3:20
8.7,Steven J. Warner,"['Stephen Brown', 'Steven J. Warner']",-,13,Drama,the brothers,the brothers
-,Kenneth Mader,Jody Arensberg,"One year after the loss of her grandfather, a young woman returns home for Father's Day. This is a story about love, loss, and saying goodbye.",-,Drama,father's day,father's day
7.1,"['Evan Moseley', 'Craig Ormiston']","['Evan Moseley', 'Craig Ormiston', 'Brian Rogers']","During an age of conflict and contention deprived of electricity, multiple conflicts erupt that illustrate humanity's strive for survival.",28,Drama,contention,contention
-,Jerker Josefsson,Jerker Josefsson,-,5,Drama,mors dag,mors dag
8.0,Hanni Welter,Hanni Welter,Caught in the metropolis a young woman tries to cope with her emotional chaos. In an experimental way of storytelling both time and place of the story are drifting apart in order to reunite at the end. Past and future describe a circle.,10,Drama,affected,affected
9.1,Marc Cantone,Marc Cantone,"When Sal Stevens, a once-famous Italian-American crooner, learns his estranged son, Michael, has put the family home up for sale, he decides to sneak into the house, slip into the pool and refuse to get out. When Sal won't budge and Michael begins draining the water, father and son find themselves driven to the deep end of a bizarre family conflict.",17,Drama,cutout,cutout
7.5,Eric Lin,Eric Lin,Tension between two brothers explodes when their van breaks down while delivering a dead body to a funeral home.,15,Drama,what remains,what remains
8.3,"['Brian Mc', 'Query']","['Brian Mc', 'Query']","A single guy finds something wrong with every woman he dates, but his best friend thinks that he is the one with the problem.",18,Drama,let go,let go
7.7,Dave Paige,"['Adam Deyoe', 'Eric Gosselin', 'Dave Paige']","Two families, of a very different nature, fight against one another for survival.",15,Drama,the caregiver,the caregiver
7.4,Jason Hallows,Jason Hallows,-,-,Drama,fra gli amici,fra gli amici
7.9,Bo Mehrad,"['Caitlin Mia Cassaro', 'Bo Mehrad']","Josh has inherited an Irish bar in New York from Roxy, his mother, who recently passed. He's in denial: her ashes are in a box under his bed, he can't bring himself to deal with the bar's mail and bills, and he may be seeing things. A date with the woman who delivers the bar's mail ends abruptly when she cottons onto his state of mind. Can he dismiss his mother from h... Leer todo",9,Drama,thirsty,thirsty
5.9,João Nicolau,-,-,25,Drama,rapace,rapace
6.6,Jean-Jacques Joudiau,"['Jean-Jacques Joudiau', 'Will Self']","Michael thought he'd seen his mother for the last time when she passed away in a Paris hospital, but months later she reappears in the neighborhood of Belleville, talkative as ever, and full of insight...",44,Drama,le livre des morts de belleville,le livre des morts de belleville
-,Paula Albuquerque,Paula Albuquerque,-,4,Drama,benção,benção
-,Susana Nobre,Susana Nobre,-,3,Drama,boys & girls,boys & girls
5.5,Péter Hegedüs,Péter Hegedüs,-,11,Drama,hole in the wall,hole in the wall
9.4,Erick Fefferman,Erick Fefferman,A retired journeyman boxer forced to give it up steps back in the ring one last time.,16,Drama,lights out,lights out
5.5,Ali Benkirane,Ali Benkirane,-,19,Drama,casa,casa
-,Chad Bring,"['Chad Bring', 'Eric Dwight']","Justin and Stephanie relationship is coming to an end, only one of them is not willing to let go. Silence tells the story of how breaking up is hard to do.",9,Drama,silence,silence
-,Kai-Foong Kok,Kai-Foong Kok,An artist loses her self portrait on a trip with secret lover. Strange things start to happen to them.,15,Drama,self portrait,self portrait
7.2,Rick Larkin,Rick Larkin,-,30,Drama,triple bill,triple bill
7.7,Eddie Shieh,Eddie Shieh,Two immigrants embrace an ingenious solution while distributing restaurant menus.,15,Drama,no menus please,no menus please
6.7,Matthew Toffolo,"['Daren Foster', 'Matthew Toffolo']",-,10,Drama,nostalgia,nostalgia
8.6,Renie Oxley,"['Ethan Erwin', 'Martin Musatov']",Terminal is a movie about a man being shoved through a door in terminal A train station and be teleported to an unknown world,-,Drama,terminal,terminal
5.9,Milagros Mumenthaler,Milagros Mumenthaler,-,18,Drama,amancay,amancay
-,Zohar Markman,"['Amir Bushari', 'Zohar Markman']","Ya'akov is the manager of Heaven's Gate, a small poor synagogue in Jerusalem, which has known better times. The big synagogue in the next neighborhood attracts all the people, and Heaven's Gate might be closed. Ya'akov arrives to the synagogue with a few people he managed to gather on his way to pray Neilah, but the door is locked and the deaf keeper is asleep inside.",15,Drama,neilah,neilah
6.4,Paola Pelzmajer,Paola Pelzmajer,-,14,Drama,cartas,cartas
5.8,Allen Martinez,Timothy Kernc,"In present day Miami, Colin Mathers follows a hot lead to tie up his feature story and reveal new graphic details behind closed doors in Guantanamo Bay, Cuba. His ""lead"" is a man with the story of a lifetime but also has much more ""intelligence"" than Collin had ever imagined. And things get personal. The background of this politically-charged story is based on true hi... Leer todo",18,Drama,intelligence,intelligence
6.9,Peter Carstairs,"['Peter Carstairs', 'Ant Horn']",-,7,Drama,pacific,pacific
-,Kelsey Kleiman,Kelsey Kleiman,-,2,Drama,a short film,a short film
-,Tracy Sagalow,Tracy Sagalow,A young Japanese woman prepares tea the morning of her wedding when a messenger arrives with important news.,10,Drama,ocha,ocha
-,Ynze Bijl,Ynze Bijl,"Forty year old tough guy Mike likes to think he's in control of his world. But one day when he finds out that his beloved 10 year old son is not his, his world collapses. Enraged and feeling betrayed he races home with a loaded gun to get some answers.",9,Drama,snake bite,snake bite
-,Mark Gillis,Mark Gillis,-,-,Drama,a quiet drink,a quiet drink
7.7,Ryan Ward,"['Victoria Nestorowicz', 'Ryan Ward']","A young couple, Reid (an American soldier bound for Iraq) and Simone Douglas, unable to conceive a child resort to adoption. In desperation Simone participates in 'Rebirthing' and 'Attachment Therapy' with the young boy. Meanwhile Reid gains a new perspective on his military duties when he befriends an Iraqi prisoner in the Um Qasr prison.",21,Drama,rebirth,rebirth
7.8,Matthew Bonifacio,"['Sophia Antonini', 'Matthew Bonifacio']","After her mother's passing, a girl makes the ultimate sacrifice in order to stop her father's spiral into depression and alcoholism.",7,Drama,the watering hole,the watering hole
-,Lynne Moses,Lynne Moses,"Time unfolds backwards in this lyrical tale of a love triangle with a twist. In it, a mature 19-year-old's pregnancy forces her childish young mother to grow up, but is it too late?",25,Drama,mothers be good,mothers be good
6.7,Jane Campion,Jane Campion,A story through a child's eyes about living through a drought.,18,Drama,the water diary,the water diary
