,puntuacion_imdb,direccion,guion,argumento,duracion,titulo, anio
1908,-,Andrew Jans-Brown,Andrew Jans-Brown,"Two brothers; one likes the rush of drugs and fast cars, the other likes the rush of surfing and falling in love.",-,hell is light,2018
1909,-,Vijay Surya,Vijay Surya,Satya's life takes a roller coaster ride while establishing himself among the unoriginal and stale bigwigs in the big bad world of Cinema.,130,a+,2018
1910,-,Sanjay,-,The fight for seats during election among the candidates and to what extent they go to gain support from the common man.,112,aa ondu dina,2018
1911,-,Rajaveera,Rajaveera,-,135,annam parabrahma swaroopam,2018
1912,6.4,Ekaterina Dvigubskaya,Ekaterina Dvigubskaya,"This is the story of a big city, great ambitions, faith, strength, struggle and adherence to principles.",87,opasnie tanci,2018
1913,-,Francisco Bouzas,-,-,90,la cuarta dimensión,2018
1914,-,Anand Kumar,Anand Kumar,-,114,premi diwana,2018
1915,-,Maduve Dibbana,-,-,131,maduve dibbana,2018
1916,-,Suresh G.,Suresh G.,"Devru is a happy go lucky guy who lives in Bengaluru. He falls for Jaanu, the new girl in his colony who he helps get a house. He thinks that Jaanu and he will have their perfect ending, but there is a dark past to Jaanu that he has no idea about.",123,naanu l/o jaanu,2018
1917,-,Edgar Yao,-,-,100,seventeen and a half years old,2018
1918,-,"['Anil', 'Sunil']",Ajay Kumar,-,135,nee nanna usiru,2018
1919,-,V. Ananda Priya,-,"A man gets into trouble in an attempt to expose a priest, who is considered to be very powerful by the whole village.",148,olu munsami,2018
1920,-,"['M.M. Mutthu', 'Siddharth Maradeppa']",-,"Inspired by true events, Preetiya Rayabhari is a story of an educated, public-spirited man Ravi who leaves behind his luxurious life and settles in the village to make himself independent, and falls in love with the village girl Nandita. But, they face a lot of societal pressure, followed by an unfortunate incident. The couple has to survive and fight the phase.",-,preethiya rayabhari,2018
1921,-,S. Srinivas Shidlaghatta,"['K. Venu Gopal', 'S. Srinivas Shidlaghatta']","6 to 6 is a story that happens within the span of 12 hours, from 6 AM to 6 PM. After missing the only bus that connects two villages in the heart of Western Ghats, a man (Thaarak Ponnappa) is forced to walk through the forests to reach his destination. Whilst in the forest, he bumps into a lady (Arohi Narayan), who looks distressed. To make matters worse she is chased... Leer todo",124,6 to 6,2018
1922,-,Kiran Shetty,Shailesh Raj,A girl trying to bring in some changes in her partner Pratham who is tough to handle ends up in a series of comical situations.,123,devrantha manushya,2018
1923,-,Vivin Surya,"['Guru Channappa', 'Vivin Surya']",A neglected daughter feels isolated when her parents shift her to a boarding school.,122,edakallu guddada mele,2018
1924,-,Raj,-,Man had accident which paralyzed him and he is trying to find happiness for his family and his wife.,65,dirty mind,2018
1925,-,Sriprakash Jaiswal,Nandu Saini,-,-,jung siyasat ke,2018
1926,-,-,-,Ver la información de la producción en IMDbPro,-,tansuiga no kiseki [taipei-hatsu metoroshirizu tansuieki],2018
1927,-,-,-,Ver la información de la producción en IMDbPro,-,"boku wa boku, kujira wa kujira de, oyoide iru.",2018
