puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,5.7,Torbjörn Berg,Torbjörn Berg,-,10,Accion,förhöret,tt0347033
41,5.9,Matthew J. Pellowski,Matthew J. Pellowski,"After an innocent man is released from prison for a crime he did not commit, he seeks out the people he believes responsible for his destiny's unfortunate path...under the impression that he is dieing of a disease due to a disturbing experience in jail, Murphy Berserk decides to no longer be the ""forced"" one in his life, but the ""enforcer."" He takes the advice of his ... Leer todo",-,Accion,forsaken,tt0355452
90,2.8,Zack Resnicoff,Zack Resnicoff,-,-,Accion,the clearing,tt0361449
,-,"['Nicolas Douste', 'Thierry Espasa']","['Nicolas Douste', 'Thierry Espasa']",-,6,Accion,y2 the game,tt0368451
,7.7,"['Raul Allikivi', 'Kaaren Kaer', 'Andres Korberg']","['Raul Allikivi', 'Kaaren Kaer', 'Andres Korberg']",An intrepid (but simple) knight embarks on a quest to save innocent virgins and discovers a Great Evil has been unleashed in a nearby monastery.,32,Accion,tapja õllejogurti rünnak,tt0374267
,-,Phil Turner,Phil Turner,-,10,Accion,bahama mama,tt0384824
31,2.8,Tony Laudati,Tony Laudati,"Slim muscular women, with bare midriffs, demonstrate kuo shu martial arts, fighting with long sticks in front of sleazy rich men. It's an art performed as entertainment; but, when violence breaks out within the troupe, Tyler (the best fighter) leaves. After the death of the troupe's master, the dish-water blond Tyler returns to face honey-blond Morgan, whom Tyler susp... Leer todo",6,Accion,chicks with sticks,tt0388832
,7.4,David O. Rogers,David O. Rogers,"Space weary Averson is sick of Captain Kirk, the Enterprise, and especially the damn redshirt he must wear everyday. While on patrol, he meets Leeds, another Redshirt on his first assignment. Averson must tell Leeds the awful truth: The Redshirts die first. But Leeds may have to learn that the hard way.",9,Accion,redshirt blues,tt0399563
,4.5,"['Julien Lacombe', 'Pascal Sid']","['Julien Lacombe', 'H.P. Lovecraft']",An archaeological excavation uncovers a manuscript written by a Roman commander in Gaul. Most of the local tribes have been pacified but every year terrible hill people ravage the area. The Romans set out to crush them.,14,Accion,le peuple ancien,tt0400731
,5.2,Ross Boyask,Ross Boyask,"Evil druglord Brigman wants a test subject for his new performance-enhancing drug ""Deadly Jade"" so he kidnaps Danny, an expert martial artist. Unfortunately Brigman's crazy second-in-command Eddie kills Danny's girlfriend, sending Danny into a rage. He tries to escape but Brigman force-feeds him an overdose of Deadly Jade, sending Danny's combat potential into overdri... Leer todo",-,Accion,pure vengeance,tt0423008
,-,Mun Chee Yong,Mun Chee Yong,"Keong doesn't talk much, to anyone. His only friends are his goldfish and his television, which is fine with him until one day a pretty girl and two bullies walk into his life.",5,Accion,keong,tt0426063
,6.3,Dennis Lanson,"['Norman Lesperance', 'Tony Montana']",A Vietnam veteran is haunted by the death of his best friend on the battlefield until a salesman enters his home - offering him deal.,17,Accion,3am eternal,tt0438754
,8.1,"['Thomas Romain', 'Savin Yeatman-Eiffel']",Savin Yeatman-Eiffel,"Molly, Star-Racers is the award winning pilot film for the series ""Oban Star-Racers"", which was released by Sav! The World Productions 5 years later.",2,Accion,"molly, star-racer",tt0461035
,8.1,Will Canon,Will Canon,-,8,Accion,roslyn,tt0463362
,-,Christine Crokos,Christine Crokos,-,9,Accion,heroine helen,tt0481538
,7.0,Takahiro Imamura,"['Akiyoshi Hongo', 'Reiko Yoshida', 'Jeff Nimoy']",Diaboromon is back and is planning another invasion upon the Real World.,30,Accion,dejimon adobenchâ 02: diaboromon no gyakushû,tt0804905
33,-,"['Ali Mirza', 'Atif Ali Mirza']","['Ali Mirza', 'Atif Ali Mirza']",-,13,Accion,a new life,tt1051247
,-,Paul Miller,Paul Miller,A cat and mouse game of speed and skill between a mysterious woman driver and a Drifter.,16,Accion,the taste of victory,tt1188204
,-,Marcel Belledin,Marcel Belledin,-,4,Accion,legolomo die 3te,tt12384258
,-,Rich Drezen,Rich Drezen,"The leaders of the violent hate group, The Shaved Taylor Mafia, are in for a rude - and equally violent - awakening from a grotesque creature known as Luckyzilla.",17,Accion,when the doberman calls,tt13029142
30,-,Darin Mangan,Darin Mangan,-,-,Accion,time of death,tt1443374
,8.4,"['Tania Palumbo', 'Thomas Romain']","['Carlo De Boutiny', 'Tania Palumbo', 'Thomas Romain']","The original short pilot episode for what would later become Código Lyoko (2003). A group of kids whose adventures take place in the real world but also in a parallel and virtual world, Xanadu. A boy of about twelve, Odd, arrives one day in his new neighborhood and quickly understands that his three new friends are gifted with extraordinary abilities of their own.",5,Accion,garage kids,tt14746488
,-,Joel Sadilek,Joel Sadilek,"Fidel Castro and his soldiers take a boat trip to Miami in search of Castro's favorite brand of cigar, 'Miami Specials'. After a close encounter with the U.S. Coast Guard, they change course for Los Angeles. While in LA, a day of sightseeing turns into a showdown with a double crossing soldier.",18,Accion,castro's day in los angeles,tt1617043
,-,Marcelo Müller,"['Marcelo Müller', 'Patricia Ramos']",-,12,Accion,bendita tv,tt1782398
,-,Esteban Rojas,Esteban Rojas,Hugo travels more than 400 miles to meet his Internet girlfriend only to find trouble on the road including a loose psycho killer.,-,Accion,siga participando,tt1825953
,5.3,"['Ryan Mc', 'Donald']","['Ryan Mc', 'Donald']",-,-,Accion,terminator,tt1994570
,-,Steve Piscopo,Steve Piscopo,-,7,Accion,mootrix,tt2007984
,8.5,Fran Casanova,Fran Casanova,-,2,Accion,matanza máxima,tt2027164
,-,Satoshi Nakajima,-,-,1,Accion,furutasan kyouryuu ni noru,tt2083189
,-,Satoshi Nakajima,-,-,20,Accion,hoshifuru yoru wa anata to,tt2083211
,7.8,Patricio Valladares,Patricio Valladares,A young man transforms into a zombie. He seems to be demonically possessed. Will he be saved from doom? Or will he bring about the zombie apocalypse?,23,Accion,aberración,tt2582166
,-,Vince Remo,Vince Remo,Four friends go on a hiking adventure and unravel a secret alliance between Aliens and Government Officials and end up fighting for their lives.,-,Accion,archive 21,tt2598076
,6.5,John Frankenheimer,-,Biker Thief steals a bottle of 7UP from a youth then he chases the thief down in a tank.,1,Accion,7up commercial james bond theme,tt2634508
,-,Mike Celestino,Mike Celestino,-,5,Accion,my evil twin,tt2722806
56,-,Julian Ashton,"['Julian Ashton', 'Thomas Meadmore']",-,4,Accion,the penitent man,tt2796448
83,-,Jimmy Lui,Jimmy Lui,An art thief falls is hired to steal a classical manuscript by composer Robert Schumann but falls in love with the ailing piano teacher that owns it.,26,Accion,pianoforte,tt2979782
,-,Chris R. Nelson,"['Andy Berger', 'Chris R. Nelson', 'Mike Stock']","When a New Jersey mob boss discovers that his shipment of cocaine has been replaced with a shipment of Kool-Aid, he heads out on a violent rampage in search of those responsible.",11,Accion,slippery when wet: the movie,tt3015550
,-,Felipe Vergara Vargas,"['Ray Figueroa', 'Felipe Vergara Vargas']",-,12,Accion,death metal trip,tt3476292
,9.3,"['Mark Lewis', 'Jason Impey']",Nick Mcleish,A war is brewing between the humans and the squirrels. There is only one hope - four elite warriors.,8,Accion,the squirrel hunters,tt3542816
75,-,Alice Chen,Alice Chen,-,-,Accion,unconditional,tt3662862
,-,Fran Casanova,Fran Casanova,-,-,Accion,tiempo muerto,tt3885978
,-,Farhad Bazyan,-,-,-,Accion,when you were asleep,tt3997550
,-,Dylan Verrechia,"['Regis Trigano', 'Dylan Verrechia']",-,1,Accion,hugo boss: hugo woman,tt4654732
,-,"['Tim Mc', 'Lachlan']","['Tim Mc', 'Lachlan']",A supermarket trolley boy escapes into his vivid imagination in order to distract himself from his real world troubles.,26,Accion,trolley boy,tt5045712
,-,Bruno Bini,Bruno Bini,"A light bulb. A bible. A gun. You think not, but it could have happened to you.",-,Accion,baseado em fatos reais,tt5621004
,6.5,James Rolfe,James Rolfe,"A blend of sci-fi, horror and martial arts.",26,Accion,kung fu werewolf from outer space,tt5767610
