puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
3.9,Dmitriy Fiks,"['Elena Karavaeshnikova', 'Chris Sturgeon', 'Sergey Fiks']","In the midst of World War 2, intelligence services from England, Germany and Russia collided in a fierce fight for the mind of Nicky Raus, a genius German Jewish scientist who has been developing a powerful state-of-the-art secret weapon.",88,Accion,the second front,2005
3.6,John Alexander Jimenez,"['Wayne Wallace', 'John Alexander Jimenez']","Based on actual events, the action film Fugitive Hunter offers a look at what life was like for the men and women who engaged in this profession before the laws changed dramatically at the turn of the 21st century.",88,Accion,fugitive hunter,2005
7.5,Steven Spielberg,"['Tony Kushner', 'Eric Roth', 'George Jonas']",-,164,Accion,munich,2005
5.7,Alex Alamul,Natalie Zhivolup,"Robbery. Murder. Rape. All in a days work for a young psychopath. But his latest hostage isn't exactly an angel either. Blackmailing her neighbor to cure him of cheating on his wife turns out to be not such a good idea. As Martin cuts a bloody swath through the back roads of the San Francisco Bay Area with Jennifer in tow, two S.F. Homicide detectives race the clock t... Leer todo",-,Accion,wrong turn,2005
3.7,Neil Oseman,"['James Clarke', 'Neil Oseman']","Street sweeper Joe Fallow is approached by the ailing Grim Reaper who offers to train him as his replacement, becoming the new 'face of death'. Elsewhere in town, an evil force threatens to merge the worlds of Hell and Earth into one. And only Joe, assisted by an enigmatic supernatural bounty-hunter, can stop it from happening.",98,Accion,soul searcher,2005
3.3,Ellory Elkayem,"['William Butler', 'Aaron Strongoni']","A group of teenagers, in an attempt to rescue their friend from an evil corporation, end up inadvertently releasing a horde of bloodthirsty zombies.",88,Accion,return of the living dead: necropolis,2005
7.8,Michael Urnikis,Michael Urnikis,"A desperate prostitute seduces Trent, a recently released ex-con, to help her escape her pimp. Only things go horribly wrong when Trent tries to buy her from her pimp and things get violent.",123,Accion,black days,2005
3.8,Jonas Kvist Jensen,"['Kim Sønderholm', 'Jonas Kvist Jensen', 'Claus Lund']","Michael and Jim are contemplating a change of career, but something comes in the way..",87,Accion,brutal incasso,2005
5.4,Emilio Ferrari,Emilio Ferrari,Five teenagers on a trip get caught up in a murder triangle and must survive to escape the snow filled mountains.,90,Accion,i know what you did last winter,2005
5.5,"['Anubhav Sinha', 'Maqbool Khan']","['Yash Gawli', 'Yash Keswani', 'Anubhav Sinha']",A team of specialists must catch a terrorist before he carries out an attack.,152,Accion,dus,2005
