puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
8.0,Frank Ciota,Joseph A. Ciota,"An Italian-American travels back to his ancestors' land to coach a colorful team in Italy's fledgling American Football League. A beautiful young girl forces him to face the same decision as his immigrant grandfather had, 70 years earlier.",100,Drama,ciao america,2002
7.3,"['Dean De', 'Blois', 'Chris Sanders']","['Chris Sanders', 'Dean De', 'Blois']",-,85,Drama,lilo & stitch,2002
4.9,Ate de Jong,"['Michael Lally', 'Ate de Jong']",Three friends get stuck in fog on the way to a holiday. They tell each other stories and confront each other with hidden secrets...,97,Drama,fogbound,2002
6.7,Félix Olivier,"['Michael Philip Del Rio', 'Félix Olivier', 'Richard Schlesinger']",15 year old girl leaves foster care and embraces life on New York's mean streets.,91,Drama,all night bodega,2002
7.1,"['Chris Weitz', 'Paul Weitz']","['Nick Hornby', 'Peter Hedges', 'Chris Weitz']",-,101,Drama,about a boy,2002
6.9,Paul Quinn,Nick Gillie,The story of young men whose recovery from drug abuse hangs on their self-management of a gritty L.A. rehab center.,97,Drama,never get outta the boat,2002
6.2,Michel Jetté,Michel JettéLéo Lévesque,"At the age of nineteen, Claude lands himself in a maximum security penitentiary. His strong will and good looks immediately land him in trouble with Tarzan, the leader of a ruthless prison gang. Claud's talents as a fighter squash Tarzan's brutal advances, but at a high price. Now his life is in danger. Zi zi, a rival gang leader, notices Claude's potential and offers... Leer todo",112,Drama,histoire de pen,2002
4.2,"['Christian Mc', 'Intire']",Michael Johnston,Two teams are in a heated race for the money and the honor that comes with breaking the land speed world record.,94,Drama,landspeed,2002
7.2,Randall Wallace,"['Harold G. Moore', 'Joseph Lee Galloway', 'Randall Wallace']",-,143,Drama,we were soldiers,2002
5.4,"['Glenn Durfort', 'Colin Teague']","['Louis Dempsey', 'Andrew Howard', 'Gary Young']","Gilly, fresh out of prison, and J, a hustler with a major drug problem, just can't shake their criminal ways.",95,Drama,shooters,2002
3.7,Bob Misiorowski,"['Jace Anderson', 'Boaz Davidson', 'Adam Gierasch']",-,91,Drama,panic,2002
5.2,Mark Malone,Mark Malone,-,94,Drama,dead heat,2002
5.0,Michael Vickerman,-,-,89,Drama,clover bend,2002
5.8,Michael Apted,Nicholas Kazan,-,115,Drama,enough,2002
7.2,Christopher Nolan,"['Hillary Seitz', 'Nikolaj Frobenius', 'Erik Skjoldbjærg']",-,118,Drama,insomnia,2002
6.4,Miguel Arteta,Mike White,-,93,Drama,the good girl,2002
4.4,Uwe Boll,"['Robert Dean Klein', 'Uwe Boll']","On the last day of school, two bullied teenagers decide to take revenge on their tormentors.",87,Drama,heart of america,2002
4.8,Alan Swyer,"['Alan Swyer', 'Frank Rossi']","Time of Fear is a taut psychological thriller thrusting an FBI agent and a grieving father into the dark world of a demented killer. FBI Agent Cheryl Hammer, arrives in a small California town to catch an elusive killer. Seeing no help forthcoming from the Sheriff, she turns to the only other person who can help her, Jack Barone, a grieving father whose daughter, Lisa... Leer todo",88,Drama,time of fear,2002
6.8,David Cronenberg,"['Patrick Mc', 'Grath']",-,98,Drama,spider,2002
5.8,Brenda Keesal,Brenda Keesal,"A black man and a Jewish woman crash into each other and win a dream house in the suburbs. Love-starved neighbours invade their brand-new home, and an all-night party pushes every one of them to a climax of truth, hope and liberation.",97,Drama,jack & ella,2002
6.6,Ron Shelton,"['James Ellroy', 'David Ayer']",-,118,Drama,dark blue,2002
6.8,Oliver Parker,"['Oscar Wilde', 'Oliver Parker']",-,97,Drama,the importance of being earnest,2002
4.7,Damian Chapa,"['Damian Chapa', 'Aaron Pugliese']","The Leroy Jenkins Story, following the controversial life of evangelist Leroy Jenkins",116,Drama,man of faith,2002
6.1,Callie Khouri,"['Rebecca Wells', 'Mark Andrus', 'Callie Khouri']",-,116,Drama,divine secrets of the ya-ya sisterhood,2002
6.9,Fritz Lehner,Fritz Lehner,-,173,Drama,jedermanns fest,2002
7.3,Joseph Pierson,Mike Jones,"Set in a dirt-poor neighborhood in the fictional city of San Lovisa, Texas, EvenHand tells the story of two very different cops, working together for the first time. Rob Francis, recently divorced, finds the adjustment from his previous assignment in ""Sleepytown"" difficult. With his new partner, the volatile Ted Morning, he spends his days breaking up domestic dispute... Leer todo",92,Drama,evenhand,2002
5.8,Guita Schyfter,Hugo Hiriart,A revealing view into the lives of Latin American women. The drama follows five women from different walks of life as they converge in Mexico City to review the entries in the Latin American Women's Film Festival.,112,Drama,las caras de la luna,2002
5.5,Éric Heumann,"['Éric Heumann', 'Jacques Lebas', 'François-Olivier Rousseau']",-,90,Drama,les amants du nil,2002
5.1,Rachel Feldman,"['Rachel Feldman', 'Cornell Woolrich']",-,90,Drama,she's no angel,2002
6.1,Luis Mandoki,Greg Iles,-,106,Drama,trapped,2002
7.0,Justin Lin,"['Ernesto Foronda', 'Justin Lin', 'Fabian Marquez']",A group of over-achieving East Asian American high school seniors enjoy a power trip when they dip into extracurricular criminal activities.,101,Drama,better luck tomorrow,2002
5.8,Edward Burns,Edward Burns,Ash Wednesday is set in the Manhattan of the early 1980's and is about a pair of Irish-American brothers (Burns and Wood) who become embroiled in a conflict with the Irish Mob.,99,Drama,ash wednesday,2002
