puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
0,3.8,Jean Pellerin,"['Phillip J. Roth', 'Jim Christopher']",A car ferry carrying a valuable artifact is sunk by a group of international thieves.,87,Accion,under pressure,tt0197072
,4.0,J. Stephen Maunder,J. Stephen Maunder,"When a martial artist called Stryker resurrects three ancient Chinese master assassins so he can take over NYC's underworld, it's up to martial artist cop Tarek Richards to stop them. But he will need the aid of Stryker's former master.",95,Accion,tiger claws iii,tt0197951
,3.6,Jenõ Hódi,"['Christopher Pearce', 'Jenõ Hódi', 'Ian Patrick Williams']",Renegade CIA agent Rick Halsey assembles a team of special forces operatives to rescue a Russian nuclear scientist held in a fortified mental institution behind enemy lines.,82,Accion,black sea raid,tt0197299
,2.6,Jack Williams,Ashe Starr,Rock singer Erika is murdered with her cop boyfriend on the eve of Halloween. Then exactly one year later she is resurrected by a mysterious crow to exact vengeance on her attackers.,-,Accion,wings of the crow,tt0197104
61,6.2,Alex Hillkurtz,Dave Barry,-,-,Accion,recipe for disaster,tt0198970
14,5.7,Antony Hoffman,"['Chuck Pfarrer', 'Jonathan Lemkin']",-,106,Accion,red planet,tt0199753
,4.1,Godfrey Ho,Lisa Cory,"After six years as a guest of the state, mob hit man Jason Reed wants nothing more than to get an honest job and spend time with his young son, Tommy. He is not ten steps outside of the prison before being greeted by Keither, an old crony anxious to pick up where they left off. While out for a drive with his son, Jason saves a young woman from a gun wielding thug, not... Leer todo",97,Accion,manhattan chase,tt0199748
,6.9,A.J. Jamal,-,-,-,Accion,the cheapest movie ever made,tt0201519
5,3.1,"['Rodney Mc', 'Donald']","['Phillip J. Roth', 'Jim Christopher']",The future of Earth is in question when a strange reaction deep beneath its surface causes a massive rupture in the planet's inner structure.,80,Accion,deep core,tt0202314
75,3.1,Sam Firstenberg,Bryan Genesse,-,95,Accion,the alternate,tt0203835
,5.5,Harley Cokeliss,"['Harley Cokeliss', 'Peter Milligan', 'John Penney']",-,96,Accion,pilgrim,tt0203053
46,6.6,"['Christopher Mc', 'Quarrie']","['Christopher Mc', 'Quarrie']",-,-,Accion,the way of the gun,tt0202677
,4.8,"['Fred Anderson', 'Pierre Toresson', 'Markus Widegren']","['Fred Anderson', 'Leo Jacobsson', 'Pierre Toresson']",-,-,Accion,ninja mission 2000,tt0204499
,3.8,J. Christian Ingvordsen,"['Matthew M. Howe', 'J. Christian Ingvordsen']","An American attack submarine on patrol in the South China Sea intercepts an SOS from a Russian freighter. The freighter was attacked by unidentified frogmen on the high seas and high grade plutonium was stolen. The FBI suspects this attack is the work of Darian Cain, a former Russian Commando turned terrorist. When a special anti-terrorist team is formed, Special Oper... Leer todo",92,Accion,airboss iii: the payback,tt0205729
,5.2,Mikael Ruttkay Hylin,"['Olov Svedelid', 'Hans Rosenfeldt']",Roland Hassel meets the dangerous Russian mafia.,107,Accion,hassel/förgörarna,tt0208198
,4.0,J. Christian Ingvordsen,"['Matthew M. Howe', 'J. Christian Ingvordsen']",AirBoss does cool stuff (Again),-,Accion,airboss iv: the x factor,tt0207299
30,4.6,John Terlesky,T.L. Lankford,Secret Service agents must retrieve the briefcase allowing the President control of America's nuclear arsenal before massive destruction ensues.,96,Accion,chain of command,tt0207377
11,5.1,Stephen Kay,"['Ted Lewis', 'David Mc', 'Kenna']",-,102,Accion,get carter,tt0208988
47,4.5,Tibor Takács,"['David Bourla', 'Brian Irving', 'Stephen P. Jarchow']",-,88,Accion,nostradamus,tt0207631
,4.6,Terry Cunningham,"['Terry Cunningham', 'John J. Kelly']",An American army intelligence officer discovers corruption and murder by American soldiers in Vietnam.,95,Accion,the chaos factor,tt0208037
25,4.2,Gerry Lively,-,A young man is hired to protect a wealthy businessman from a killer.,100,Accion,the guardian,tt0207501
30,5.2,Raja Gosnell,"['Darryl Quarles', 'Don Rhymer']",-,99,Accion,big momma's house,tt0208003
97,6.6,Kory Juul,Kory Juul,-,-,Accion,aquarius,tt0212774
84,6.3,"['D-Shot', 'Hunter Mc', 'Cann', 'Harry Mok']",D-Shot,"Enemies since back in the day, two homeboys take a different path in life. College bound Daryll, desperate to keep a roof over his family's head and seduced by the money, power and respect of the hustler lifestyle moves in on his old nemesis' turf setting off a battle over territory in a war that rages throughout the inner city.",75,Accion,obstacles,tt0213127
41,6.3,Donald Petrie,"['Marc Lawrence', 'Katie Ford', 'Caryn Lucas']",-,109,Accion,miss congeniality,tt0212346
26,5.7,Antoine Fuqua,"['Andrew Scheinman', 'Adam Scheinman', 'Tony Gilroy']",-,119,Accion,bait,tt0211938
60,5.9,Lloyd Kaufman,"['Trent Haaga', 'Patrick Cassidy', 'Gabriel Friedman']",-,109,Accion,citizen toxie: the toxic avenger iv,tt0212879
50,3.6,Richard Friedman,Richard Friedman,"L.A. is struck by a series of minor earthquakes. The experts don't know what's happening since their advanced systems didn't detect any seismic activities. Kimberly Stevenson is sent to investigate the epicenter in a remote mountainous forest, and she is surprised to discover she's not alone. Somebody knows the real secret about the ""earthquakes"".",92,Accion,ground zero,tt0213690
,3.9,Lloyd A. Simandl,Chris Hyde,A small band of desperate freedom fighters must topple a vicious dictator before he destroys mankind's last hope.,94,Accion,last stand,tt0212881
,3.5,Michael J. Sarna,"['Bob Couttie', 'Michael D. Sellers']","A diabolical industrialist who thinks the world is dangerously overpopulated, prepares to use his space-based weapon to cause widespread nuclear meltdowns at power plants around the world.",93,Accion,doomsdayer,tt0214638
,5.9,Gordon Chan,"['Gordon Chan', 'Stuart Zicherman']","The Y2K Bug. Real Warfare vs Electronic Gaming. Peter Tong, a carefree Hong Kong youngster, finds himself drawn into web of a deadly espionage conspiracy.",109,Accion,gong yuan 2000 ad,tt0214728
,-,Rick Strom,Rick Strom,-,-,Accion,faith and the water dog,tt0214683
89,3.6,Sheldon Lettich,"['Stephen Brackley', 'Pamela K. Long']",-,95,Accion,the last patrol,tt0214871
,6.1,Alberto Graça,"['Alberto Graça', 'Leopoldo Serran']","Ex-drug dealer is forced to go back to business by a corrupt policeman. He must go to Colombia and bring back some cocaine, but discovers the whole thing is a set up. He then devises a suicidal plan for revenge.",113,Accion,o dia da caça,tt0215715
40,5.9,Roger Spottiswoode,"['Cormac Wibberley', 'Marianne Wibberley']",-,123,Accion,the 6th day,tt0216216
,6.3,Eric Rochant,"['Laurent Chalumeau', 'Eric Rochant']","After a drug deal gone wrong, Bédé goes into hiding in the countryside at a reformative school for criminal youth. His location is found out, and he and the pupils have to protect themselves with whatever means they have.",84,Accion,total western,tt0216750
,7.6,Yoshiaki Kawajiri,"['Hideyuki Kikuchi', 'Yoshiaki Kawajiri', 'Ellen Moore']",-,103,Accion,vampire hunter d: bloodlust,tt0216651
10,4.2,Robert Adetuyi,"[""Ray 'Cory' Daniels"", 'Chris Hudson', 'Kelly Hilaire']",A gifted musician struggles to rise above the crime-plagued urban streets and realize his dream.,86,Accion,turn it up,tt0216772
8,3.5,Jim Wynorski,"['Steve Latshaw', 'Fred Olen Ray']",-,89,Accion,militia,tt0217654
,4.9,Jack Williams,"['Jack Williams', 'Rachela Williams']",Father death takes control of a dead woman's body and wreaks bloody havoc wherever he/she roams.,-,Accion,mrs. death 2: hells fury,tt0216926
26,3.3,"['Damian Lee', 'Jim Wynorski']","['Kevin Bernhardt', 'Steve Latshaw', 'Damian Lee']",Captain Matt Hendricks and Dr. Linda Christian are locked in a submarine with Russian terrorists that threaten to launch a chemical virus on US territory.,95,Accion,agent red,tt0218080
,4.9,Patrick Lussier,"['Joel Soisson', 'Patrick Lussier']",-,99,Accion,dracula 2002,tt0219653
-,3.3,Fred Olen Ray,Steve Latshaw,Navy SEALs launch a rescue mission after terrorists plunge a jet carrying a missile-launching computer into the sea.,95,Accion,submerged,tt0218641
,6.6,-,-,Reparto principal,-,Accion,la máscara de zorro,tt0219169
56,6.7,Rajkumar Santoshi,"['Vijay Deveshwar', 'K.K. Raina', 'Anjum Rajabali']",-,176,Accion,pukar,tt0218533
,-,"['Marc Baron', 'Joe Cirillo']","['Marc Baron', 'Joe Cirillo']","A special diverse squad is assembled under the leadership of one of the first Chinese Americans to serve on the NYPD. and is deployed to combat the youth gangs of Chinatown. Follow the squad as they struggle in action sequences to find who the mysterious person is behind the Young Dragons, a gang terrorizing Chinatown. ""Blue Shirts"" is what the gangs called uniformed ... Leer todo",-,Accion,blue shirts,tt0220336
12,4.1,Jean Pellerin,"['Geri Cudia Barger', 'Jonathan Raymond', 'Phillip J. Roth']",People are trying to find their way out of subway tunnel after a devastating earthquake.,94,Accion,daybreak,tt0219640
,4.4,Christopher Coppola,"['Richard L. Albert', 'Mike Allred', 'Robert Cooper']","Two G-Men, returning from hell, must perform good deeds to save themselves from a doomed fate.",98,Accion,g-men from hell,tt0221197
38,4.5,Sanjay Gupta,"['Sanjay Gupta', 'Sutanu Gupta', 'Anand S. Vardhan']","An assassin is sent to kill the witness from testifying against the killers. In the process, the assassin falls in love with the witness.",124,Accion,khauff,tt0220596
0,3.3,Fred Olen Ray,Steve Latshaw,"Secret Service agents target a presidential candidate by hijacking the Concorde he is on and kill the pilots. It's up to an Air Force officer, nicknamed ""Washout"" because he can't fly a plane, to land the Concorde.",94,Accion,mach 2,tt0222020
25,3.3,Yossi Wein,"['Danny Lerner', 'Bernard Stone']",An elite task force is assigned to handle a Middle-Eastern terrorist mastermind who is using mind-control techniques to create an army of willing suicide bombers.,91,Accion,operation delta force 5: random fire,tt0227200
,6.0,Beda Docampo Feijóo,"['Enrique Cortés', 'Beda Docampo Feijóo']",It opens with a murder. Abelardo Sachs is the owner and editor of a famous political magazine He's gunned down in his luxurious home by a masked killer.,90,Accion,ojos que no ven,tt0226238
39,6.3,Taylor Hackford,"['Tony Gilroy', 'William Prochnau', 'Thomas Hargrove']",-,135,Accion,proof of life,tt0228750
,6.8,Hirochika Muraishi,Keiichi Hasegawa,"Two years after the events of 'Ultraman Tiga', Daigo is forced to pick up another Dark Spark Lens in an attempt to stop three evils the once, dark Tiga worked with 30 million years ago, to stop destruction in Japan once and for all.",85,Accion,ultraman tiga: the final odyssey,tt0228982
59,3.9,Michael Martin,"['Michael Martin', 'Snoop Dogg']","Killa Pop (Snoop Dogg), Young Loc (Darryl Brunson), Crackle (Tray Deee), and Snap (Goldie Loc) are top dogs in the Eastsidaz gang in Long Beach, California. Pop, also known as Killa Pop, is the alpha dog. He has Crackle and Big Long Beach (RBX), set up a big Jamaican drug deal that's going to put him on easy street. But Crackle and Big Long Beach have their own agenda... Leer todo",81,Accion,tha eastsidaz,tt0229362
,2.8,Rob Van Eyck,Rob Van Eyck,Two criminals form a pact to destroy Belgium so that their principals can take over the government and restore order with a firm hand.,93,Accion,blue belgium,tt0230049
11,5.2,Rama Rao Tatineni,"['Aadesh K. Arjun', 'Erode Sounder']",A noble family presides over a small town in India.,175,Accion,bulandi,tt0230055
33,5.2,Harry Ralston,Harry Ralston,"Alan, a timid anthropology graduate student is coming to terms with his fate as the last man on Earth, until he discovers Sarah, a beautiful, intelligent woman who can't stand that Alan is the last man she'll ever see.",95,Accion,the last man,tt0231956
13,3.7,Dharmesh Darshan,"['Robin Bhatt', 'Dharmesh Darshan', 'Sanjeev Duggal']","When a village belle's brother is killed by a bandit, she vows revenge and enlists the help of two truckers-come-theatre artists in her mission.",172,Accion,mela,tt0232079
,4.0,"['Norman Lesperance', 'André Øvredal']","['Norman Lesperance', 'André Øvredal']","The pathetic surgeon Simon Thorne suffers from paranoia, obsessions and hallucinations, and loses both his wife and his job. But then he meets a couple from one of his dreams where they kill him. So he has to kill them first.",92,Accion,future murder,tt0233764
23,3.6,Richard Pepin,"['Gregg Mc', 'Bride']",A detective assigned to transport a dangerous mobster discovers that she has been set-up to fail.,102,Accion,epicenter,tt0233656
,7.0,Graham Moore,"['Graham Moore', 'Shaun Prendergast', 'Stuart Urban']","On patrol in the South Seas, British Type-23 frigate HMS Monarch receives a distress call from the merchant vessel Corona, which has been carrying gold bullion and is under attack from pirates. Responding to the call, the Captain and crew of HMS Monarch find themselves drawn into a struggle against the megalomaniac ambitions of a despotic warlord. With the lives of ho... Leer todo",-,Accion,command approved,tt0234321
,6.9,Rakesh Roshan,"['Rakesh Roshan', 'Sagar Sarhadi', 'Honey Irani']",A young girl meets the doppelganger of her deceased boyfriend and now has a chance to find the people who have murdered him.,172,Accion,kaho naa... pyaar hai,tt0234000
,3.1,Oscar Petersson,Oscar Petersson,"A female assassin hides with a man from her past, when the organization she works for is trying to kill her instead.",97,Accion,inte bara mördare,tt0235485
,5.8,Kunihiko Yuyama,"['Takeshi ShudôHideki Sonoda', 'Satoshi Tajiri']","In the town of Greenfield, a young, lonely girl's dreams and wishes are brought into reality by a collective of reality-warping Pokémon.",93,Accion,pokémon 3: de film - in de greep van het onbekende,tt0235679
,5.2,Toshiyuki Mizutani,"['Hiroshi Hatajima', 'Mugita Kinoshita', 'Yûsuke Kishi']","When a woman, able to read the thoughts of others, comes to help survivors of the 1995 Kobe earthquake, she encounters a girl with Multiple Personality Disorder whose dangerous 13th personality, Isola, must be stopped.",94,Accion,isola: tajuu jinkaku shôjo,tt0233910
