,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
87,-,Eric Cherrière,"['Eric Cherrière', 'Math Saliva']","On the Mongolian border, in troubled times that historians and clerics have never mentioned in their epic tales, the Central Asian clans have fought each other, sowing chaos and desolation, helped by the Gweilos, their foreign mercenaries.",33,gweilo,2000
88,-,Vicky Shen,Vicky Shen,"A crying baby is left out of a hidden shelter, and ironically saves his own life when the shelter is blown-up by American soldiers in Vietnam. The baby is brought to America only to become a soldier in another generation of war.",9,the killing seasons,2001
89,6.7,Mario Avila,Mario Avila,True story about two Mexican students who were shot and killed by Oklahoma police officers in June of 1931. Made international news when it was discovered that one of the students that was killed was the son of the President of Mexico.,-,oklahoma tragedy,2001
90,-,Jaroslav Kasal,Jan Lipsansky,-,40,ortel,2001
91,7.9,Tyler Spangler,Tyler Spangler,"An unhappily married woman and her naive lover plot to murder her abusive husband. Unfortunately, their plan completely unravels, and they soon find themselves trapped by their own ill-conceived scheme. A gripping suspense thriller, told in real time.",9,killing time,2001
92,6.8,Ang Lee,David Carter,-,6,chosen,2001
93,7.9,Leone Marucci,Leone Marucci,-,-,meddle and steal,2001
94,7.0,John Frankenheimer,Andrew Kevin Walker,-,6,ambush,2001
95,9.0,Brian Joe,"['Brian Joe', 'Andre Sala']","In the near future where pencils and paper are prohibited, Trenton needs a NO. 2 pencil. He's almost done with the last chapter of a manifesto. But in a world where the sharing of ideas is under strict government regulation, this proves to be a daunting task. Culver, a young aspiring writer, runs an underground business selling illegal contraband to rebels like himsel... Leer todo",-,no2,2001
96,7.3,Kar-Wai Wong,Andrew Kevin Walker,-,8,the follow,2001
97,6.6,Daniel Kash,Hayley Tyson,"Germgirl is an urban superhero-with a slight phobia. Harnessing her superior physical and mental versatility, she navigates the treacherous terrain of everyday life, all the while masking her prowess behind the facade of 'plain Jane'.",5,germgirl,2001
98,5.8,Mark Wilkinson,Mark Wilkinson,"Salvatore and Angela are two of the toughest killers in the business - the family business. When their stolen car breaks down on the way to a hit, this tale of two hot-headed Italians (with a few too many guns) erupts.",12,sally and angela,2001
99,7.6,Guy Ritchie,"['Guy Ritchie', 'Joe Sweet']",The Driver carries an arrogant rock star who wants to get away from her bodyguards in the Driver's BMW.,7,star,2001
