,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
146,8.1,Jay Taylor,"['Courtney Shumway', 'Jay Taylor']","Jack Pappas has worked hard to separate himself from his troublesome past. Content to hustle pool for a living, Jack tries to get by without making any waves. It appears he just about has it all figured out, until Sara, an ex flame of his comes back into his life unexpectedly looking for help. Suddenly, Jack finds himself drawn back into a past he'd tried to escape...... Leer todo",93,massé,2015
147,8.4,Shihan Oyama,"['Shihan Oyama', 'Michael Stiles']","Even in Japan, the ancient lifestyle of Uchi Deshi training is all but forgotten. However, a teenager from Tokyo discovers that it's alive and well in the American Deep South.",92,take a chance,2015
148,6.8,Sam Mendes,"['John Logan', 'Neal Purvis', 'Robert Wade']",-,148,spectre,2015
149,7.4,"['Christopher Mc', 'Quarrie']","['Bruce Geller', 'Christopher Mc', 'Quarrie', 'Drew Pearce']",-,131,mission: impossible - rogue nation,2015
150,3.9,David A. Prior,"['Fabio Soldani', 'David A. Prior']","Former Australian Intelligence operative Victoria Dev Ries, lives a quiet life in suburban America where as a single mother she raises her only daughter and trains fighters in her own M.M.A. gym. But when her daughter goes on a camping trip and fails to return, she is forced to go back into action.",96,relentless justice,2015
151,5.5,Paul Hyett,"['Mark Huckerby', 'Nick Ostler']",-,92,howl,2015
152,7.3,Joss Whedon,"['Joss Whedon', 'Stan Lee', 'Jack Kirby']",-,141,avengers: age of ultron,2015
153,3.9,Mark Nuttall,Nigel Horne,-,103,soldiers of the damned,2015
154,5.6,Daniel Benmayor,"['Matt Johnson', 'T.J. Scott', 'Kevin Lund']",-,94,tracers,2015
155,2.5,Damien Dante,-,The outlaw Billie Gunn uses a child vampire as bait to lure Jezebeth back to a land that time forgot for a bloody final showdown at High Noon.,85,jezebeth 2 hour of the gun,2015
156,-,"['William Mc', 'Millan']","['Jerome Boyle', 'William Mc', 'Millan', 'Stuart Wilson']",-,-,call to arms: oracle,2015
