,titulo,anio,puntuacion_rotten
746,The Jim Kessel Saga,2008,
747,Top Secret - Ein neuer Agent,2008,
748,6th and Santa Fe,2008,
749,Estás muerto,2008,
750,Shabby Security,2008,
751,The Real Action Heroes,2008,
752,Federal Affair,2008,
753,Expendable,2008,
754,Wildlifeless,2008,
755,Expectations,2008,
756,Die Wildkatzen von St. Pauli,2008,
757,Emissary,2008,
758,Stop!,2008,
759,Soul Flyers,2008,
760,Runners,2008,
761,Demption,2008,
762,The Tunnel,2008,65
763,Mercenary,2008,27
764,Incrimination,2008,
765,Bookie,2008,90
766,Unusual,2008,
767,Gotta Go,2008,
768,God and Country,2008,
769,22 Hours,2008,
770,Soccer Mom,2008,46
771,Die Seilbahn,2008,
772,The List,2008,25
773,Counter-Blow,2008,
774,Gunnar: A Student Burns Out,2008,
775,Go! Godman,2008,
776,The Deadly Frontier,2008,
777,Believe- Bending the Truth,2008,
778,An Experiment in Motion,2008,
779,Open24,2008,
780,Adam + Eve,2008,
781,Noir,2008,
782,Shades of Gray,2008,
783,Domestics,2008,
784,The Morning Run,2008,
785,Recruited,2008,
786,Johnny Owes,2008,
787,Run,2008,89
788,The Lucky 7,2008,
789,Express 831,2008,
790,The Toaster That Toasted the Golden Toast,2008,
791,Cleaner,2008,17
792,Gideon Falls,2008,
793,Flash Back,2008,
794,Creepers,2008,
795,Engine sentai Go-onger: Boom boom! Bang bang! GekijoBang!!,2008,
796,Pelea de gallos,2008,
797,El viaje de Sergio,2008,
798,The Living Sword,2008,
799,Push,2008,23
800,Fifth Street,2008,
801,Hangar 18,2008,40
802,Out Cold,2008,8
803,Caravaggio,2008,82
804,Mercy,2008,0
805,Miracle Investigators,2008,
806,Subject,2008,85
807,Aim for the Heart: A Guide to Vampire Defense,2008,
808,Zero Trooper-F,2008,
809,The Breakout,2008,
810,The Hope Ruby,2008,
811,The Danger Zone,2008,29
812,Fertilize,2008,
813,Cleaning in Progress,2008,
814,Rakugoka,2008,
815,Reflection,2008,95
816,Aquaman Fan Film,2008,
817,Kung Fu Granny,2008,
818,N Word,2008,
819,Where Is My Mind?,2008,
820,The Hit,2008,20
821,9 to 5,2008,69
822,Eleven,2008,
823,Dead Run,2008,
824,Killian,2008,
825,Coming Attractions,2008,-
826,Ultra Obscura,2008,
827,Thirst,2008,21
828,The End,2008,33
829,Based on a True Story,2008,76
830,Last Meal,2008,
831,Dead Run 2,2008,
832,Saint Nick,2008,
833,Precious Cargo,2008,0
834,The Revengers,2008,33
835,Hard Time,2008,19
836,In the Shade of Poison Trees,2008,
837,Frozen Seed,2008,
838,Dominant Dream,2008,
839,In the Dark,2008,
840,Awake O'Sleeper,2008,
841,Q: Secret Agent,2008,
842,Doragon bôru: Ossu! Kaette kita Son Gokû to nakama-tachi!!,2008,
843,San Gabriel,2008,
844,The Transient,2008,
845,Hangar No. 5,2008,
846,The Migration,2008,
847,Kev y Bob vs. El malévolo Don Don,2008,
848,Sorry,2008,
849,Heroic Bloodshed,2008,
