,0,1,2,3,4,5,6
697,8.9,Peter Jackson,"['J R', 'R Tolkien', 'Fran Walsh', 'Philippa Boyens']",-,-,crush,2001
698,,,,,,un crime au paradis,2001
699,,,,,,jack the dog,2001
700,,,,,,alex in wonder,2001
701,,,,,,kingdom come,2001
702,,,,,,"oui, mais...",2001
703,,,,,,to tama,2001
704,,,,,,lucky break,2001
705,,,,,,who is cletis tout?,2001
706,,,,,,bella martha,2001
707,,,,,,elvis is alive,2001
708,,,,,,auf herz und nieren,2001
709,,,,,,thema nr. 1,2001
710,8.3,-,-,-,-,ein göttlicher job,2001
711,,,,,,the princess diaries,2001
712,,,,,,viktor vogel - commercial man,2001
713,,,,,,always greener,2001
714,,,,,,tomcats,2001
715,,,,,,the medicine show,2001
716,,,,,,rebelové,2001
717,,,,,,women in film,2001
718,,,,,,honolulu,2001
719,,,,,,green diggity dog,2001
720,,,,,,love & support,2001
721,,,,,,no such thing,2001
722,,,,,,large,2001
723,,,,,,super troopers,2001
724,,,,,,storytelling,2001
725,,,,,,goebbels und geduldig,2001
726,,,,,,legally blonde,2001
727,,,,,,hedwig and the angry inch,2001
728,,,,,,rat race,2001
729,,,,,,kevin of the north,2001
730,,,,,,plan b,2001
731,,,,,,spot,2001
732,,,,,,the search for john gissing,2001
733,,,,,,evolution,2001
734,,,,,,der schuh des manitu,2001
735,,,,,,vakvagányok,2001
736,,,,,,stickmen,2001
737,,,,,,honolulu baby,2001
738,,,,,,magic rock,2001
739,,,,,,high heels and low lifes,2001
740,,,,,,thank heaven,2001
741,,,,,,one leg kicking,2001
742,,,,,,mademoiselle,2001
743,,,,,,teddy bears' picnic,2001
744,,,,,,series 7: the contenders,2001
745,,,,,,all over the guy,2001
746,,,,,,the brothers,2001
747,,,,,,late night shopping,2001
748,,,,,,almost salinas,2001
749,,,,,,double whammy,2001
750,,,,,,buffalo soldiers,2001
751,,,,,,all the queen's men,2001
752,,,,,,corky romano,2001
753,,,,,,le vélo de ghislain lambert,2001
754,,,,,,american pie 2,2001
755,,,,,,my best friend's wife,2001
756,,,,,,cq,2001
757,,,,,,on appelle ça... le printemps,2001
758,,,,,,lansdown,2001
759,,,,,,negocio redondo,2001
760,,,,,,tortilla soup,2001
