,0,1,2
503,Don's Plum,2001,62
504,Horror in the Attic,2001,
505,Burning Down the House,2001,
506,Sticks,2001,
507,Heartbreakers,2001,54
508,Shrek,2001,88
509,Dead by Monday,2001,
510,Town & Country,2001,13
511,Silent Partner,2001,11
512,Camouflage,2001,17
513,The Homeboy,2001,71
514,Working Stiff,2001,-
515,Fat Chance,2001,-
516,Long Lost Love,2001,
517,What's the Worst That Could Happen?,2001,10
518,Ghost World,2001,93
519,Blue Shark Hash,2001,
520,Skippy,2001,
521,Net Worth,2001,
522,Early Bird Special,2001,
523,The Rules (For Men),2001,
524,Monkeybone,2001,20
525,Daddy and Them,2001,86
526,Memórias Póstumas de Brás Cubas,2001,
527,Hollywood Palms,2001,
528,O Xangô de Baker Street,2001,
529,Peroxide Passion,2001,
530,He Died with a Felafel in His Hand,2001,60
531,Play Dead,2001,80
532,Zigs,2001,15
533,Taking a Chance on Love,2001,
534,Kids World,2001,28
535,Killer Bud,2001,
536,Nice Guys Finish Dead,2001,
537,Understanding Jane,2001,
538,Hard Ball,2001,
539,Escanaba in da Moonlight,2001,50
540,Osmosis Jones,2001,56
541,Rubbernecking,2001,
542,The Cure for Boredom,2001,
543,Les Boys III,2001,70
544,Sugar & Spice,2001,29
545,Birthday Girl,2001,59
546,Very Annie Mary,2001,34
547,...Or Forever Hold Your Peace,2001,
548,Just Visiting,2001,33
549,Get Over It,2001,43
550,Head Over Heels,2001,10
551,Summer Rain,2001,62
552,The Order,2001,13
553,Lies... In Love,2001,
554,Zoolander,2001,65
555,Sam the Man,2001,20
556,Una milanese a Roma,2001,
557,See Jane Run,2001,
558,The Surprise Party,2001,
559,Mergers & Acquisitions,2001,
560,"Monsters, Inc.",2001,96
561,Ken tulta pyytää,2001,
562,Hitting the Wall,2001,
563,Totally Blonde,2001,42
564,Riding in Cars with Boys,2001,49
565,The Shrink Is In,2001,46
566,Longshot,2001,50
567,The Wise Ones,2001,
568,American Desi,2001,38
569,On Edge,2001,69
570,AmnesiA,2001,
571,One Night at McCool's,2001,33
572,Venus and Mars,2001,-
573,"Was tun, wenn's brennt?",2001,
574,My First Mister,2001,53
575,Friends and Family,2001,44
576,Lloyd,2001,73
577,Londinium,2001,21
578,Happy Campers,2001,57
579,Reaching Normal,2001,
580,The Wedding Planner,2001,17
581,Tomorrow by Midnight,2001,
582,The Private Public,2001,
583,Wish You Were Dead,2001,55
584,Delivering Milo,2001,43
585,The Resurrection Game,2001,-
586,Last Ball,2001,
587,Rustin,2001,84
588,La vérité si je mens! 2,2001,
589,Le fabuleux destin d'Amélie Poulain,2001,
590,Lip Service,2001,75
591,Kwik Stop,2001,100
592,Blow Dry,2001,19
593,Lava,2001,67
594,Soulkeeper,2001,35
595,Legion of the Dead,2001,
596,Ravanello pallido,2001,
597,The Penny Promise,2001,50
598,Nobody's Baby,2001,0
599,Dead Dog,2001,
600,Russian Doll,2001,97
601,Dinner and a Movie,2001,
602,To Protect and Serve,2001,
603,The New Women,2001,
604,Forbidden Highway,2001,
605,Human Nature,2001,48
606,The Beatnicks,2001,53
607,500!,2001,
608,Inbetweeners,2001,
609,Pata negra,2001,
610,Planet Alex,2001,
611,The Whole Shebang,2001,41
612,Bandits,2001,64
613,Mint Condition,2001,
614,"Hey, Happy!",2001,38
615,Christmas in the Clouds,2001,68
616,Seven and a Match,2001,63
617,Charmant garçon,2001,
618,Besotted,2001,11
619,The Woman Every Man Wants,2001,
620,Breathing Hard,2001,
621,Made,2001,71
622,One 2 Ka 4,2001,
623,The Last Prediction,2001,
624,Posljednja volja,2001,
625,Chica de Río,2001,
626,The Organization,2001,25
627,The 51st State,2001,25
628,"A Galaxy Far, Far Away",2001,57
629,Spy Kids,2001,93
630,Kiss Kiss (Bang Bang),2001,64
