,titulo,anio,puntuacion_rotten
809,Primary Concern,2021,
810,Taylor & Barinov 3,2021,
811,Our Friend Andrew,2021,
"812,""It's Not You, It's Her"",2021,"
813,The Announcement,2021,-
814,Teens,2021,
815,A Few Miles South,2021,
816,Up to Here,2021,
817,Hellige Høne,2021,
818,USA Holiday,2021,
819,Dead End,2021,78
820,Alex and Sam's Mixtape,2021,
821,Just the Two of Us,2021,
822,Troll,2021,90
823,Dot,2021,
824,The Dead Collectors,2021,
825,Tinsel over Twizel,2021,
826,Talponi,2021,
827,Empty Hands,2021,
828,Working Out the Kinks,2021,
829,Roy,2021,0
830,Ett liv för hundra spänn,2021,
831,Gud i himlen,2021,
832,Bunkern,2021,
833,Lie Low,2021,
834,Everything was fine,2021,
835,The Gospel According to Gail,2021,
836,Flushed,2021,-
837,Show Me What You Got,2021,80
838,Covid Tales: House Party,2021,
839,Hell in a Handbasket,2021,
"840,""Love, Carol"",2021,"
841,Sí,2021,
842,Bucket Hat!,2021,
843,From Here to Here,2021,
844,Crime Scene Ringer,2021,
845,Real Heroes Don't Die,2021,
846,The Ungrateful Son,2021,
847,Isaiah Nicks: Mother vs. Cable 2,2021,
848,Because of Mika,2021,
849,Dear Prospective Student,2021,
850,Danzamatta,2021,
851,Relax with Draco,2021,
852,Junkie Opera,2021,
853,FanFobia,2021,
854,The Rough Gig,2021,
855,Rated R,2021,
856,The Lesson,2021,76
857,Madd4_U,2021,
858,The Pink Elephant,2021,
859,GOLF - Tee Shot,2021,
860,Difficulties,2021,
861,Jouvencelle,2021,
862,Nacho,2021,
863,Catarina,2021,
864,Kisha Kissed Me,2021,
865,Nothing's Original,2021,
866,The Ring,2021,71
867,Welcome to Los Angeles,2021,
868,Ladies Room,2021,46
869,Managing,2021,
870,Reencuentro,2021,-
871,Plaisir,2021,
872,The Club,2021,88
873,Blue Ruby,2021,
874,One More Night,2021,
875,The First Sunday After the First Full Moon,2021,
876,Fish,2021,
877,Closest to the Pin,2021,
878,Ropey,2021,
879,Just a Friendly Obsession,2021,
880,Netflix & Chill,2021,
881,Fat Stripper,2021,
882,Leaf,2021,
883,Common Ground,2021,81
884,Daddy Daughter Drugs,2021,
885,Vårens första brasa,2021,
886,The Mystery Murder,2021,
887,To Have and to List,2021,
888,Soundman,2021,0
889,Crime City,2021,
890,Fruit Loops,2021,
891,The Social Doctor,2021,
892,Bad Mushroom,2021,
893,Pegged,2021,
894,Game Night,2021,85
895,Agent Love,2021,
896,Drama Mama,2021,
897,Percy & Reggie and the Great Parisian Air Exposition,2021,
898,Intriga,2021,
899,Putt,2021,
900,Santa's Night Out,2021,
"901,""Stand Up, Please"",2021,"
902,The Confessionist,2021,
903,Acrimonius Alfie Atkins,2021,
904,Lost for Words,2021,94
905,Fat Stripper,2021,
906,Photo Op,2021,
907,Mabrook,2021,
908,Girl Night Stand: Chapter 2,2021,
909,Brief Survey,2021,
910,Fat Stripper,2021,
911,Climate Strange,2021,
912,Forever Maybe,2021,
913,Benevolent,2021,
914,Taste the Difference!,2021,
