tipo,titulo,año estreno,mes estreno,id_pelicula
Cortometraje,Maximum Ride,2020,8,tt12837412
Cortometraje,Skin Deep,2020,11,tt12845078
Cortometraje,Dead End,2020,7,tt12843926
Cortometraje,Betrayal,2020,9,tt12843812
Cortometraje,Clear!,2020,-,tt12850274
Cortometraje,Run Hasan Run!,2020,7,tt12849460
Cortometraje,Crosswalk: Mercenaries,2020,9,tt12856790
Cortometraje,Girl's Night,2020,6,tt12861532
Cortometraje,Goalie,2020,9,tt12860676
Cortometraje,Bloody Finch,2020,1,tt12867254
Cortometraje,Devil,2020,,tt12871290
Cortometraje,Love in the Time of Cholula,2020,7,tt12874860
Cortometraje,Outcast,2020,8,tt12881484
Cortometraje,Ben 10 parody: If the Omnitrix was a Troll,2020,8,tt12887214
Cortometraje,Kamen Raidâ Den'ô: Puriti Den'ô tôjô!,2020,8,tt12888306
Cortometraje,Ethereal Living,2020,12,tt12894618
Cortometraje,Consignment: Betrayal,2020,8,tt12898012
Cortometraje,Unstopable,2020,9,tt12898634
Cortometraje,Obsession,2020,7,tt12903432
Cortometraje,Open Doom Crescendo,2020,10,tt12906170
Cortometraje,Pass the Strike,2020,7,tt12914248
Cortometraje,Red Hood vs Nightwing: Fallen Disciple,2020,10,tt12929302
Cortometraje,The Stocking,2020,8,tt12942146
Cortometraje,The Last Call: World War III,2020,1,tt12951620
Cortometraje,Feast of the Condor,2020,4,tt12959050
Cortometraje,Phantoms,2020,8,tt12960734
Cortometraje,Blood Hunter,2020,4,tt12969436
Cortometraje,Astaroth,2020,5,tt12979026
Cortometraje,Bad Rap Rising,2021,3,tt10036186
Cortometraje,Extraction: F-229's Day Off,2021,,tt10204148
Cortometraje,Cars and Coffee Movie,2021,4,tt10275878
Cortometraje,Aimbot,2021,,tt10308068
Cortometraje,Code Black: The Journey,2021,,tt10353874
Cortometraje,Untitled 2nd Epic Nerf Battle Project,2021,1,tt10627930
