,0,1,2,3,4,5,6
95,-,['Uros Raztresen'],"['Miomir Cikic', 'Uros Raztresen']",Farmer Pajo spends his days in the countryside visiting more or less interesting fellow citizens.,90,prigode kmeta pajota,2010
96,7.0,['Jeff Tremaine'],"['Jeff Tremaine', 'Johnny Knoxville', 'Bam Margera']",-,94,jackass 3d,2010
97,5.9,['Jim Kouf'],"['Jim Kouf', 'Alan Di', 'Fiore']","A prisoner escapes and hides in a barn. He sees a woman dragging a body out the house and into a car trunk. He helps with the body, that turns out to be alive.",105,a fork in the road,2010
98,5.6,['Taylor Hackford'],['Mark Jacobson'],-,117,love ranch,2010
99,6.5,['Roger Michell'],"['Aline Brosh Mc', 'Kenna']",-,107,morning glory,2010
100,7.1,['Dimitar Mitovski'],"['Delyana Maneva', 'Dimitar Mitovski', 'Alek Popov']","A concert to celebrate Bulgaria joining the EU is being planned at the Embassy in London and it is the job of VARADIN, the new ambassador, to ensure the Queen attends. But with corrupt staff, criminal gangs operating out of the kitchen, falling in love with a stripper and a little misunderstanding with a PR firm that provides look-alike royalties - his simple task tur... Leer todo",107,mission london,2010
101,5.5,['Abram Cox'],['Doug Steinberg'],A mild-mannered secretary discovers that she has a talent for murder as she ascends the corporate ladder.,92,miss nobody,2010
102,6.2,['Yule Caise'],['Yule Caise'],"SWISHBUCKLERS is an offbeat comedy about three macho martial artists who join an all-gay production of The Three Musketeers in order to save their dojo. The trials and tribulations of our heroes give new meaning to the phrase, ""All for one, and one for all!"" Swordplay and jokes ensue amidst a touching story of friendship and tolerance.",87,swishbucklers,2010
103,7.8,"['María Costa', 'Michael Mc', 'Carthy', 'Roman Wyden']","['María Costa', 'Rick Najera', 'Mike Batayeh']","Maria Costa, Called ""The Latina Lucille Ball"" honors traditional values in a modern world. Onstage, Costa portrays an array of outrageous and hilarious characters from her ultra-macho father to her overly critical mother-in-law. Maria brilliantly captures the diverse rhythms of Latin life with irresistible style to her journey of self-discovery.",69,maria costa's macho men and the women who love them,2010
104,6.3,"['Morag Mc', 'Kinnon']","['Colin Mc', 'Laren', 'Lone Scherfig']","Alfred is 64. He's lost touch with his family and a threat to his health makes him realise he wants to make amends. The more he tries to do right, the more he does wrong, and as his past comes back to haunt him, he is forced to face up to what his life means to him. Rounding Up Donkeys is the second film in Sigma and Zentropa's three feature film concept 'Advance Part... Leer todo",78,donkeys,2010
105,9.1,['V. Nagaraj'],-,-,-,undercover rascals,2010
106,3.1,['James Abadi'],"['Adam Abadi', 'James Abadi']",A frustrated music business executive accidentally creates a band called F**K and has to find a group of talentless no-hopers to take on the music industry and become rock stars.,-,the story of f***,2010
107,4.1,['David A.R. White'],"['Jill Gatsby', 'Sean Paul Murphy', 'Timothy Ratajczak']","An Amish man comes to Hollywood to be a missionary, and gets cast as Satan on a nighttime soap opera.",90,holyman undercover,2010
108,6.8,['Janis Streics'],"['Rudolfs Blaumanis', 'Janis Streics']",The old soldier of the emperor Rudolfs Rudups becomes very unmanageable when he is hit by Amor's arrow.,114,rudolfa mantojums,2010
109,6.0,['Pau Martínez'],"['Javier Domingo', 'Ferran Folch']",The city council would like to evict a group of squatters in order to use their Big House for a community center.,97,el kaserón,2010
